"family","contrast","n_genes","pct_of_total_from_top1pct","pct_of_total_from_top5pct","pct_of_total_from_top10pct","n_genes_for_50pct","pct_genes_for_50pct","n_genes_for_75pct","pct_genes_for_75pct","n_genes_for_90pct","pct_genes_for_90pct"
"intra_ExpA","split26",25487,21.0304033161512,58.7833674254145,78.1802185931251,945,3.70777258994782,2245,8.80841213167497,4617,18.1151175108879
"intra_ExpA","split27",25487,22.724767619162,61.4188173408613,79.976612656551,856,3.35857495978342,2079,8.1570996978852,4376,17.1695374112293
"intra_ExpA","split28",25487,20.4056352335091,56.2156733500548,74.2931202933885,1014,3.97849884254718,2626,10.3032918742889,5642,22.1367756110959
"intra_ExpA","split29",25487,22.6590341626533,56.1454998944221,73.7735735611924,999,3.91964530937341,2682,10.5230117314709,5730,22.482049672382
"intra_ExpA","split30",25487,21.0196086192732,53.1057523501544,71.3411982896004,1127,4.42186212578962,2938,11.5274453643034,5957,23.3726998077451
"intra_ExpA","split31",25487,20.3575477893121,52.8698093756296,71.1703306439356,1140,4.47286852120689,2975,11.6726174127987,6150,24.1299486012477
"intra_ExpA","split32",25487,20.0430783985774,55.1530809731082,73.5503412132912,1056,4.14328873543375,2708,10.6250245223055,5827,22.8626358535724
"intra_ExpA","split33",25487,17.5995338855762,50.9371833808063,70.1394265876208,1232,4.83383685800604,3073,12.0571271628673,6355,24.9342802212893
"intra_ExpA","split34",25487,19.3465997548707,51.2425501881934,69.1517109348644,1214,4.76321261819751,3249,12.7476752854396,6848,26.8685996782674
"intra_ExpA","split35",25487,16.9178448539996,45.076370628417,62.8391194823649,1559,6.11684388119433,4014,15.7492054773022,7700,30.2114803625378
"intra_ExpB","split1",25487,21.4687958044495,52.2319255928836,69.2696191720599,1162,4.55918703652843,3256,12.7751402675874,6736,26.4291599639032
"intra_ExpB","split2",25487,21.2867468371212,53.4606275026148,69.5977784602289,1100,4.31592576607682,3252,12.7594459920744,6779,26.597873425668
"intra_ExpB","split3",25487,24.7649461393563,58.0265258260736,74.1276011122144,906,3.554753403696,2656,10.4209989406364,5783,22.6899988229293
"intra_ExpB","split4",25487,25.1323084134463,60.3317600254914,76.6797686150446,839,3.29187428885314,2358,9.25177541491741,5042,19.7826342841449
"intra_ExpB","split5",25487,23.5606266957003,57.1667901470955,73.0481997304134,944,3.70384902106956,2798,10.9781457213481,6112,23.9808529838741
"intra_ExpB","split6",25487,23.1456875475095,56.7046940764435,72.8119646620041,964,3.7823203986346,2818,11.0566170989132,6030,23.6591203358575
"intra_ExpB","split7",25487,28.9413871325427,64.6604174068603,80.478539996334,701,2.75042178365441,1961,7.6941185702515,4246,16.6594734570565
"intra_ExpB","split8",25487,27.6605444736108,62.6377380606699,78.6904985355666,760,2.98191234747126,2142,8.40428453721505,4654,18.2602895593832
"intra_ExpB","split9",25487,25.0607150855793,60.437274456077,76.1840417684008,839,3.29187428885314,2409,9.45187742770824,5385,21.1284184093852
"intra_ExpB","split10",25487,22.0406232756806,53.822062312382,70.2265723500726,1084,4.2531486640248,3162,12.4063247930317,6647,26.0799623337388
