"","tan","greenyellow","purple","turquoise","grey60","darkred","cyan","green","magenta","plum1","blue","brown","red","salmon","skyblue","paleturquoise","yellow","black","darkolivegreen","darkgreen","white","lightgreen","darkturquoise","lightyellow","midnightblue","violet","pink","sienna3","darkorange2","darkmagenta","orange","brown4","lightcyan","saddlebrown","darkorange","orangered4","lightcyan1","bisque4","floralwhite","yellowgreen","royalblue","darkslateblue","thistle1","ivory","darkgrey","thistle2","mediumpurple3","steelblue","skyblue3","plum2","lightsteelblue1"
"Vitvi04g04029",0,0,0,0.000921517432038089,0,0,0.00226757369614512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558375634517767,0,0,0,0,0,0
"Vitvi05g00108",0,0,0,0,0.00508259212198221,0,0,0,0,0,0.0998596819457437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g00675",0,0.00134408602150538,0,0,0.0168224299065421,0,0,0,0,0,0.0401493930905696,0,0,0.0016260162601626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g00726",0.0138613861386139,0,0,0,0.0121654501216545,0,0,0,0,0,0.0102707749766573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g01579",0.017208413001912,0,0.00147710487444609,0,0,0,0,0,0.00145560407569141,0,0,0,0.00363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0870870870870871,0,0,0,0,0,0,0,0,0,0,0,0,0.0220994475138122,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g01674",0.0576208178438662,0.0337423312883436,0,0,0.012847965738758,0,0,0,0,0,0.0101359133840129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133155792276964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g02234",0,0,0,0.000455788514129444,0,0,0,0.00110253583241455,0,0,0,0,0,0,0,0,0.0906040268456376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00434782608695652,0,0,0
"Vitvi05g04062",0.0099403578528827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719754977029096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g04232",0.038135593220339,0,0,0,0,0,0,0,0,0,0,0,0.00127388535031847,0,0,0,0,0,0,0,0,0,0,0,0.0257611241217799,0,0,0,0,0,0,0,0,0,0,0,0.0185185185185185,0,0,0.0141843971631206,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g04487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697412823397075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g04494",0,0,0,0,0,0,0,0.00109170305676856,0,0,0,0,0,0,0,0,0.104377104377104,0,0,0,0,0,0,0.00266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi06g01410",0,0,0,0.0104534973097617,0,0,0,0.00674157303370787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi06g01618",0,0,0,0.000758035172832019,0,0,0,0.111913357400722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0,0
"Vitvi06g04121",0,0,0,0,0,0,0,0.0813106796116505,0,0,0,0,0,0,0,0,0,0,0,0,0.00823045267489712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
