"","lightyellow","brown","black","turquoise","darkred","lightcyan","bisque4","green","yellow","blue","violet","red","darkgreen","plum1","maroon","sienna3","paleturquoise","magenta","lavenderblush3","white","midnightblue","darkseagreen4","yellowgreen","darkturquoise","darkslateblue","cyan","salmon","purple","orangered4","darkorange2","lightsteelblue1","greenyellow","tan","brown4","skyblue","orange","grey60","floralwhite","ivory","royalblue","skyblue3","palevioletred3","plum2","darkolivegreen","pink","darkorange","honeydew1","darkmagenta","lightgreen","navajowhite2","coral2","steelblue","thistle1","darkgrey","saddlebrown","mediumpurple3","antiquewhite4","salmon4","thistle2","coral1","lightcyan1","lightpink4"
"Vitvi05g01400",0.0139275766016713,0.041958041958042,0,0,0,0,0,0,0,0.00240279598077763,0,0,0.00304878048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258064516129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g01579",0.02710027100271,0.00220507166482911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010989010989011,0,0,0,0,0.11697247706422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g01674",0.0223880597014925,0,0.0547945205479452,0,0,0,0,0,0,0.00870322019147084,0,0,0,0,0,0,0,0.00465116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156555772994129,0,0.00664451827242525,0,0,0,0,0,0,0,0.0116959064327485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g04232",0.0524691358024691,0,0,0,0,0,0,0,0.00236406619385343,0,0,0,0,0,0,0.00546448087431694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00447427293064877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00529100529100529,0,0,0,0,0,0,0.054726368159204,0,0,0,0,0,0,0
"Vitvi06g01410",0,0,0,0.0153526307372461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi06g01618",0,0,0,0.000314762354422411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146137787056367,0,0,0,0,0,0,0,0,0,0,0,0,0.253164556962025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393258426966292,0,0,0,0,0,0.00689655172413793,0,0
"Vitvi06g04121",0,0,0,0.00031640563202025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255707762557078,0,0,0,0,0,0.00674157303370787,0,0,0,0,0,0.00190839694656489,0,0,0,0,0,0,0,0.0254237288135593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00283",0,0,0,0.00479539641943734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00421940928270042,0,0,0,0,0,0,0,0,0,0,0,0.00618556701030928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00523",0.00791855203619909,0,0.00321027287319422,0,0,0,0,0,0,0.126128109178957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01267",0,0,0,0.108838101326514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000942507068803016,0,0,0,0,0,0,0,0,0,0,0.00263852242744063,0,0,0,0,0,0,0,0,0,0,0,0,0.000754716981132075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01315",0.0231362467866324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157728706624606,0,0,0,0,0,0,0,0,0,0.00175438596491228,0,0,0,0,0.163218390804598,0,0,0,0.0193704600484262,0,0,0,0,0,0,0,0,0,0,0.0040650406504065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01342",0,0,0,0.0420501428118058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746500777604977,0,0,0,0,0,0,0.00252206809583859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
