"","magenta","pink","turquoise","cyan","salmon","blue","purple","red","yellow","bisque4","brown","plum2","violet","green","greenyellow","black","mediumpurple3","midnightblue","skyblue3","steelblue","darkred","royalblue","grey60","thistle2","skyblue","yellowgreen","saddlebrown","paleturquoise","darkmagenta","lightcyan","darkolivegreen","darkgreen","tan","palevioletred3","darkorange","orange","ivory","white","thistle1","darkslateblue","darkorange2","lightyellow","darkturquoise","darkgrey","maroon","floralwhite","sienna3","brown4","lightgreen","lightsteelblue1","plum1","navajowhite2","orangered4","lightpink4","salmon4","lavenderblush3","lightcyan1"
"Vitvi01g01038",0,0,0,0,0,0.0593975392448027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00213675213675214,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01701",0,0,0.000904322662325918,0,0,0,0.00619834710743802,0.0664136622390892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416666666666667,0,0,0,0,0,0.00444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01751",0,0,0,0,0,0,0,0.00307219662058372,0,0,0,0,0,0.211023622047244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g02242",0,0,0,0,0,0,0,0.00322061191626409,0,0,0,0,0,0.158307210031348,0,0,0,0,0,0,0,0,0,0,0.00714285714285714,0,0.00359712230215827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04056",0,0,0.0025103102026179,0,0,0,0,0,0.0894117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0.012987012987013,0,0,0.0220588235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04115",0,0,0.00650524033249006,0,0,0,0.00191570881226054,0.0774774774774775,0.00110619469026549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04132",0,0,0.000544959128065395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669456066945607,0,0,0,0,0,0,0,0
"Vitvi02g00032",0,0,0.2193315266486,0,0,0,0,0.00112676056338028,0.0101793504604944,0,0,0,0,0,0,0.00921128382268279,0,0.00194805194805195,0,0,0,0,0,0,0,0,0,0.00282685512367491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00086",0,0,0.00742215785662563,0,0,0,0.00387596899224806,0.00168918918918919,0.00446428571428571,0,0,0,0,0.00424929178470255,0,0,0,0,0,0,0,0,0,0,0.110132158590308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00429",0,0,0,0,0,0.112454911945682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
