"","green","brown","pink","turquoise","tan","purple","magenta","blue","red","midnightblue","salmon","darkturquoise","yellow","greenyellow","darkred","black","orange","royalblue","lightyellow","lightgreen","cyan","lightcyan","grey60","darkgreen","darkgrey"
"Vitvi08g01897",0,0,0,0.00431674086065021,0,0,0,0,0,0,0,0,0.000681663258350375,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g02218",0,0,0,0.00106908993719097,0,0,0,0,0,0,0,0,0.0477508650519031,0,0,0,0,0,0,0,0.00216919739696312,0,0,0,0
"Vitvi08g02288",0.0484261501210654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g00419",0.0730337078651685,0.00383561643835616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g00867",0,0,0,0.00429299704856453,0,0,0,0,0,0,0,0,0.0279291553133515,0,0,0.00112739571589628,0,0,0,0,0,0,0,0,0
"Vitvi09g01646",0,0.000574382538770821,0.00126422250316056,0,0,0,0,0.000682904620987935,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0,0,0,0,0,0
"Vitvi09g01698",0.000792393026941363,0,0.0279898218829517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246305418719212,0,0,0,0
"Vitvi09g04280",0,0,0,0.000938589434164655,0,0,0,0,0,0,0,0,0.0319001386962552,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g04564",0.000753579502637528,0,0.107868020304569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862068965517241,0,0
"Vitvi10g00984",0,0,0,0.00200615220008025,0,0.0072463768115942,0,0,0,0,0,0,0.0376712328767123,0,0,0.00449438202247191,0,0,0,0,0,0,0,0,0
"Vitvi10g01812",0,0,0,0.0416891527253103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi10g04044",0,0,0,0.000267129691465206,0,0.0221565731166913,0,0,0,0,0,0,0.0377487989018531,0.00145348837209302,0,0.00337837837837838,0,0,0,0,0,0,0,0,0
"Vitvi10g04085",0,0,0,0.00444983818770227,0,0,0,0,0,0,0,0,0.00272479564032698,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi10g04282",0,0.00056369785794814,0,0,0,0,0,0.0079654073736914,0,0,0,0,0,0,0,0,0,0,0.029585798816568,0,0,0,0,0,0
"Vitvi10g04504",0,0,0,0.00494850876019794,0,0.00139664804469274,0,0,0,0,0,0,0.043448744059742,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi11g00075",0,0.000511770726714432,0,0,0,0,0,0.0498861047835991,0,0,0,0,0.000604229607250755,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi11g00217",0,0,0,0.0050653159157558,0,0.00951086956521739,0,0,0,0,0,0,0.0546558704453441,0,0,0.00212765957446809,0,0,0,0,0,0,0,0,0
"Vitvi11g00285",0,0,0,0.0317673980347288,0,0,0,0,0.0138888888888889,0,0,0,0.00118623962040332,0,0,0,0,0,0,0,0,0,0,0,0
