"","mediumpurple3","yellow","magenta","turquoise","grey60","cyan","orangered4","black","green","brown","blue","orange","darkred","sienna3","navajowhite2","steelblue","red","tan","darkmagenta","pink","greenyellow","darkgrey","darkorange","yellowgreen","skyblue","salmon","darkturquoise","plum2","darkorange2","royalblue","honeydew1","darkolivegreen","saddlebrown","purple","lightcyan","salmon4","thistle1","plum1","lightgreen","lightcyan1","floralwhite","lightpink4","white","ivory","brown4","paleturquoise","violet","midnightblue","darkslateblue","palevioletred3","lightyellow","darkgreen","lightsteelblue1","skyblue3","bisque4","thistle2","lavenderblush3","maroon"
"Vitvi04g01550",0,0.00928217821782178,0,0,0,0,0,0,0,0.00290275761973875,0.207375734901122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099601593625498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01555",0,0,0,0.00141118363026989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00447427293064877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169675090252708,0,0,0.0072202166064982,0,0,0,0,0,0,0
"Vitvi04g01887",0,0.0133214920071048,0,0,0,0,0,0,0,0,0.0778699491570779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00389863547758285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g02114",0,0,0,0.00266524520255864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00825082508250825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177935943060498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04009",0,0,0,0.000526131182041389,0,0,0,0.115963855421687,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116279069767442,0,0,0,0,0,0,0,0,0,0,0,0,0.00284900284900285,0,0,0,0,0.00578034682080925,0,0,0,0,0
"Vitvi04g04010",0,0,0,0.00123609394313968,0,0,0,0.00141843971631206,0,0,0,0,0,0,0,0,0,0,0,0.00156985871271586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150735294117647,0,0,0,0,0,0,0,0,0,0,0,0,0.00634920634920635,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04011",0,0,0,0.00176429075511644,0,0,0,0.00140252454417952,0,0,0,0,0,0,0,0,0,0,0,0.00155038759689922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0.0093167701863354,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04029",0,0,0,0.000532859680284192,0,0,0,0,0,0,0,0,0,0,0,0,0.00143472022955524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491071428571429,0,0,0,0,0,0,0
"Vitvi05g00028",0,0.0129224652087475,0,0,0,0,0,0,0,0.0110726643598616,0.0416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00561797752808989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g00108",0,0.00851063829787234,0,0,0,0,0,0,0,0.00123076923076923,0.0887700534759358,0,0.00886524822695036,0,0,0,0,0,0,0.00106609808102345,0,0,0,0,0,0,0.00359066427289048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g00145",0,0.00336700336700337,0,0,0,0,0,0,0,0,0.0139447573075892,0,0.025830258302583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g00726",0,0.0184544405997693,0,0,0,0,0,0,0,0,0.00910064239828694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g01400",0,0.00565610859728507,0.00527240773286467,0,0,0,0,0,0,0,0.00318809776833156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157446808510638,0,0,0,0,0,0
"Vitvi05g01579",0.0671140939597315,0,0.00341880341880342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153225806451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153061224489796,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g01674",0.0105820105820106,0.0552423900789177,0,0,0,0,0,0,0,0.00291120815138282,0.0105736188210415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176600441501104,0,0,0,0,0,0,0.00364963503649635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g04232",0.152380952380952,0,0,0,0,0,0,0,0.00120918984280532,0,0.000266524520255864,0,0,0,0,0.00497512437810945,0.00139664804469274,0,0,0,0,0,0,0,0,0.0051413881748072,0,0,0,0,0,0,0.0567010309278351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0
"Vitvi06g01410",0,0,0,0.0170848905499199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167785234899329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi06g01618",0,0,0,0.000874584572328144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202839756592292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33695652173913,0,0,0.0125,0,0,0,0,0,0,0
"Vitvi06g04121",0,0,0,0.000527611677805135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00766871165644172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194244604316547,0,0,0,0,0,0,0,0,0,0,0,0,0.0275229357798165,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00283",0,0,0,0.00569395017793594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068259385665529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00523",0,0.00639658848614072,0,0,0,0,0,0,0,0.00053850296176629,0.153928667203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01267",0,0,0,0.120511908993957,0,0,0,0,0,0,0,0,0,0,0,0,0.00293040293040293,0.00093984962406015,0,0.0015748031496063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843881856540084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01315",0.0470588235294118,0.00217155266015201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00460829493087558,0,0,0,0,0,0,0,0,0,0,0
