"","salmon","brown","magenta","turquoise","greenyellow","royalblue","tan","black","red","floralwhite","blue","yellow","pink","skyblue3","steelblue","green","yellowgreen","darkorange","darkgrey","lightcyan","grey60","skyblue","paleturquoise","mediumpurple3","darkgreen","purple","cyan","darkmagenta","white","thistle2","sienna3","lightyellow","maroon","midnightblue","navajowhite2","saddlebrown","lightgreen","lightcyan1","thistle1","bisque4","honeydew1","orange","brown4","lightpink4","plum1","darkred","ivory","darkslateblue","violet","salmon4","plum2","darkturquoise","lightsteelblue1","orangered4","palevioletred3","darkolivegreen","coral1","darkseagreen4","lavenderblush3","darkorange2"
"Vitvi02g04134",0,0,0,0,0,0,0,0.00111982082866741,0,0,0,0,0,0,0,0.146198830409357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04135",0,0,0,0,0,0,0,0.00111358574610245,0,0,0,0,0,0,0,0.152046783625731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g00318",0,0,0,0.000319948808190689,0,0,0,0.0025974025974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g00692",0,0,0,0.078594249201278,0,0,0,0.0055379746835443,0.00152905198776758,0,0,0,0,0,0,0.000737463126843658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149925037481259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g01258",0,0,0,0,0,0,0,0.0175,0.00235017626321974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134529147982063,0,0,0,0,0,0,0,0
"Vitvi03g01809",0.0278969957081545,0.00145137880986938,0.00170357751277683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150406504065041,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g04266",0,0,0,0,0,0,0,0.0530973451327434,0.0234741784037559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111524163568773,0,0,0,0,0,0,0,0
"Vitvi03g04466",0,0,0,0,0,0,0,0,0.00847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746268656716418,0,0,0,0,0,0,0.0837209302325581,0,0,0,0,0,0,0,0
"Vitvi04g00017",0,0,0,0.00558926860427978,0,0,0,0,0.0130331753554502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129032258064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01325",0,0.00679245283018868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00958466453674121,0,0,0,0,0.15962441314554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01375",0,0.00378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00986842105263158,0,0,0,0,0.138755980861244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01550",0.00078064012490242,0.00321691176470588,0,0,0,0,0,0,0,0,0.204005589194225,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000808407437348424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01887",0.0054127198917456,0.00366300366300366,0,0,0,0,0,0,0,0,0.0807467911318553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g02114",0,0,0,0.000478621569878749,0,0,0.00235294117647059,0.00381194409148666,0.0184275184275184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04010",0,0,0,0,0,0,0,0.0739299610894942,0.00115473441108545,0,0,0,0,0,0,0.00219298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04011",0,0,0,0.000158328055731476,0,0,0,0.0815006468305304,0.00344036697247706,0,0,0,0,0,0,0.001085776330076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
