"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g00047"	-0.345887440687687	0.174351492460933	0.4	0.367655455778416	0.624856733524355	0.345887440687687	"F6HFU4"
"Vitvi01g00048"	0.0803484490468205	0.608562649992651	0.7	0.752228421971331	0.807792035983596	-0.0803484490468236	"F6HFU3"
"Vitvi01g00049"	-0.148249912617102	0.162234239059793	0.2	0.35376283659326	0.404873520538408	0.1482499126171	"D7T9W2"
"Vitvi01g00050"	1.14653637921556	0.00129745950815691	0.1	0.0417115698635851	0.266758409785933	-1.14653637921556	"D7T9W1"
"Vitvi01g00051"	0.355390198610266	0.108661662666721	0.2	0.292517956005083	0.404873520538408	-0.355390198610266	"A5AZD0"
"Vitvi01g01841"	-0.041117567977169	0.259223077505641	0.4	0.461778308044445	0.624856733524355	0.0411175679771674	"D7T9V9"
"Vitvi01g00052"	1.65831228972506	0.00932401303014924	0.1	0.0884557421640052	0.266758409785933	-1.65831228972506	"F6HF88"
"Vitvi01g00053"	0.687001318407532	0.059720528460295	0.1	0.219374860931704	0.266758409785933	-0.687001318407532	"D7T9V7"
"Vitvi01g00054"	-0.0146509372148655	0.906771952724115	1	0.947966998732768	1	0.0146509372148653	"D7T9V6"
"Vitvi01g00055"	-0.128136261553566	0.56629482911755	1	0.721123716832419	1	0.128136261553566	"F6HF87"
"Vitvi01g01842"	0.0385193366182786	0.856175427202389	0.7	0.918561162147397	0.807792035983596	-0.0385193366182799	"F6HF86"
"Vitvi01g00056"	0.435009030914532	0.026926523584961	0.1	0.145707236496039	0.266758409785933	-0.435009030914534	"D7T9V3"
"Vitvi01g00058"	-0.0415068084393689	0.60278779765602	1	0.748085393045689	1	0.041506808439367	"F6HF85"
"Vitvi01g01843"	-0.153807671614231	0.328903853166295	0.4	0.52921082965499	0.624856733524355	0.15380767161423	"F6HF84"
"Vitvi01g00059"	0.523234084706476	0.163163722182993	0.2	0.354466437531839	0.404873520538408	-0.523234084706476	"A5BGC6"
"Vitvi01g00060"	-0.0228132888584366	0.878501180412915	1	0.931125856226228	1	0.0228132888584334	"A5BGC5"
"Vitvi01g00061"	0.857007533739433	0.0676238023110003	0.1	0.232909618672883	0.266758409785933	-0.857007533739434	"F6HF82"
"Vitvi01g00062"	-0.0767934960765345	0.276242721430458	0.2	0.479217486053275	0.404873520538408	0.0767934960765331	"F6HF81"
"Vitvi01g00063"	0.20571687223507	0.332444382250911	0.2	0.532191658354688	0.404873520538408	-0.20571687223507	"F6HF80"
"Vitvi01g01844"	-0.0204902562106227	0.954205295186696	0.7	0.975795168805809	0.807792035983596	0.0204902562106213	"F6HF79"
"Vitvi01g00064"	0.913314018652946	0.00997039654668203	0.1	0.0909112568746069	0.266758409785933	-0.913314018652947	"F6HF78"
"Vitvi01g00065"	0.340853159246016	0.110874847183955	0.2	0.294910055351037	0.404873520538408	-0.340853159246016	"F6HF77"
"Vitvi01g00066"	-1.27982863152079	0.0626713359013168	0.1	0.224633089878312	0.266758409785933	1.27982863152079	"F6HF76"
"Vitvi01g00067"	-0.166056870423141	0.60876198879389	1	0.752334946150995	1	0.16605687042314	"F6HF75"
"Vitvi01g04012"	-0.231594433195032	0.0918543066491202	0.2	0.27228033945625	0.404873520538408	0.231594433195031	"F6HF74"
"Vitvi01g04013"	-0.504369354869635	0.0324602418857804	0.1	0.159551478194776	0.266758409785933	0.504369354869635	"F6HF74"
"Vitvi01g00070"	0.218928076624365	0.0458393736315946	0.1	0.190468492944617	0.266758409785933	-0.218928076624367	"F6HF73"
"Vitvi01g04014"	0.130393596868222	0.0214447311099578	0.1	0.130332264520804	0.266758409785933	-0.130393596868223	NA
"Vitvi01g00071"	-0.272356039349567	0.0130585642392513	0.1	0.102590683751717	0.266758409785933	0.272356039349567	"F6HF72"
"Vitvi01g00073"	-0.078065465413707	0.420531779964777	1	0.606798420263468	1	0.078065465413707	"D7T9T6"
"Vitvi01g01845"	-0.055066221799048	0.77181069782098	1	0.863178518367333	1	0.0550662217990467	"D7T9T5"
"Vitvi01g01846"	0.142035913616166	0.345058653465275	0.7	0.543213613820175	0.807792035983596	-0.142035913616166	"F6HF70"
"Vitvi01g00074"	-0.124139769111967	0.383753009030008	0.7	0.576919198788205	0.807792035983596	0.124139769111968	"F6HF69"
"Vitvi01g00075"	0.134002862687799	0.451224111532732	1	0.629902042355669	1	-0.134002862687801	"A5BTC6"
"Vitvi01g00076"	0.021744529797699	0.756111758066559	1	0.8530351479466	1	-0.0217445297977008	"F6HEZ4"
"Vitvi01g00077"	0.195895482843133	0.0188131716309419	0.1	0.122012859581194	0.266758409785933	-0.195895482843135	"D7T9T0"
"Vitvi01g00078"	0.141623858379699	0.519612974073921	0.7	0.685612459967752	0.807792035983596	-0.141623858379701	"F6HEZ3"
