"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g01887"	-0.40596215057487	0.0384559516838373	0.1	0.192125582209687	0.263508206625717	0.40596215057487	"A5BPH3"
"Vitvi01g00151"	0.066844627352724	0.306283535801385	0.4	0.516605468797063	0.621776061776062	-0.0668446273527241	"F6HFR9"
"Vitvi01g00152"	0.313358435603471	0.0542759330736175	0.1	0.222378973348793	0.263508206625717	-0.313358435603473	"F6HFR8"
"Vitvi01g04038"	0.261706781784656	0.134822756667402	0.2	0.338726643551195	0.409658735128366	-0.261706781784656	NA
"Vitvi01g00155"	0.108050320992231	0.131472003066555	0.1	0.335181447420147	0.263508206625717	-0.108050320992232	"D7T9I6"
"Vitvi01g00156"	0.944097798297688	0.107449927818125	0.2	0.305969223185257	0.409658735128366	-0.944097798297689	"F6HFR7"
"Vitvi01g01888"	1.35499270844079	0.0356297733237644	0.1	0.186815375297453	0.263508206625717	-1.35499270844079	"F6HFR6"
"Vitvi01g01889"	-0.0363071267484398	0.354147788620384	0.4	0.558799727489107	0.621776061776062	0.0363071267484399	"F6HF62"
"Vitvi01g00157"	0.0106116781227864	0.972898597221064	1	0.985382150861792	1	-0.0106116781227863	"D7T9I4"
"Vitvi01g00160"	-1.36432605645	0.00735794226713205	0.1	0.0992938498151009	0.263508206625717	1.36432605645	"D7T9I1"
"Vitvi01g00161"	0.205618500594799	0.0434325611061948	0.1	0.201451026513295	0.263508206625717	-0.205618500594799	"F6HFR3"
"Vitvi01g04039"	0.317816385254403	0.029768942557301	0.1	0.171026006099234	0.263508206625717	-0.317816385254403	"D7T9H9"
"Vitvi01g00162"	0.36363750330307	0.286077193636586	0.4	0.498091030483436	0.621776061776062	-0.363637503303071	"F6HF53"
"Vitvi01g01893"	0.0132584924207424	0.912129601368463	1	0.951014763066708	1	-0.0132584924207428	"A5C8X7"
"Vitvi01g00163"	-0.460172869063302	0.0103382097150806	0.1	0.112874360819952	0.263508206625717	0.4601728690633	"F6HF51"
"Vitvi01g04040"	0.230604695755243	0.178013795052826	0.2	0.387074615931649	0.409658735128366	-0.230604695755243	"F6HF50"
"Vitvi01g04041"	0.0603206720031645	0.716916858866385	1	0.830088824450778	1	-0.0603206720031668	"F6HF50"
"Vitvi01g00166"	0.204189282773576	0.0143511310415184	0.1	0.128967976725788	0.263508206625717	-0.204189282773577	"F6HF49"
