literature_name	vitvi_id	mapping_status	mapping_method	Rpv12|0	Rpv12|6	Rpv12|24	Rpv12+1|0	Rpv12+1|6	Rpv12+1|24	Rpv12+1+3|0	Rpv12+1+3|6	Rpv12+1+3|24
RPS5	Vitvi09g00416	MULTIPLE_CANDIDATES	annotation common name	-0.659429339066976	-0.557328214582868	0.750531328191215	-0.185737390306718	-1.04085814015533	-0.022694869090971	-0.715544359757307	-0.806304343468961	-0.248206884651096
RPS5	Vitvi09g00418	MULTIPLE_CANDIDATES	annotation common name	-0.95140305472808	-1.41733691155124	-1.06324851246941	0.180497910237889	-0.0730821210183432	-0.0871429374133109	-0.506019174153985	-0.75299003202216	-1.22585347602022
RPS5	Vitvi09g00419	MULTIPLE_CANDIDATES	annotation common name	4.85953936980922	5.09514263541279	5.53029285270913	-0.784145552506476	-0.430376562242837	0.0291428036793852	4.60873634029855	4.60902724476113	5.1173040317341
RPS5	Vitvi09g00426	MULTIPLE_CANDIDATES	annotation common name	-0.158579549094083	-0.288161393772435	0.633997708406649	0.481853582015922	-0.0741838384143611	0.300392354603102	-0.374550378852567	-0.455625197420409	-0.268610507392994
RPS5	Vitvi09g00502	MULTIPLE_CANDIDATES	annotation common name	1.32026918349239	0.708020421206209	1.47397239474166	1.35178035853917	0.766808765049877	0.49248068002453	0.808545372880107	0.869736319707605	0.199874807914934
RPS5	Vitvi09g01565	MULTIPLE_CANDIDATES	annotation common name	0.194921612644487	0.0925809777161323	0.668800404700735	0.0185179611080764	-0.136990810440513	0.0626515097360487	-0.263383817234292	-0.24767413918758	0.242428698022997
RPS5	Vitvi09g01588	MULTIPLE_CANDIDATES	annotation common name	-0.129816779330606	-0.777149795814761	-1.46572336876526e-05	-0.156690833057589	-1.5481716079362	-1.86278811404812	-1.09118748241405	-0.924863413169759	-0.967485309510031
RPS5	Vitvi09g01622	MULTIPLE_CANDIDATES	annotation common name	-0.0181571728116559	-0.522484995700886	-0.195347159332325	0.653496285930758	0.00256397389469261	0.251344213862478	-0.113447116819813	-0.42938079135685	0.0106224031872535
RPS5	Vitvi09g01651	MULTIPLE_CANDIDATES	annotation common name	1.1799028294732	0.156279500389761	1.79432856545924	2.04588530676312	0.256107862889681	1.18365727681664	1.2907983454741	0.468634258714294	0.452067165511983
RPS5	Vitvi09g02033	MULTIPLE_CANDIDATES	annotation common name	3.2967824101774	3.7610561977536	3.33479946765535	3.24403068441054	3.90052190115142	3.4002404433488	3.80776273253581	3.95507916585019	3.28264564930135
RPS5	Vitvi09g04095	MULTIPLE_CANDIDATES	annotation common name	0.829821316443558	0.1586999023059	1.09789478987879	1.26972712579182	0.323075056740161	1.83008790890729	-0.128926849970132	0.0377753212484094	0.811399666779091
RPS5	Vitvi09g04098	MULTIPLE_CANDIDATES	annotation common name	1.47908390935575	-0.153368642100923	0.907791884950901	2.1075594813731	0.291092306225174	1.36726278650693	0.128322817159488	-0.142410062274743	0.930985225050967
RPS5	Vitvi09g04134	MULTIPLE_CANDIDATES	annotation common name	1.01268825955082	-0.788411788675219	-0.0476810546014847	0.262905709282933	-1.11084831513587	-0.547827011833845	-0.509924073618716	-1.31952368043897	-1.60317403458687
RPS5	Vitvi09g04139	MULTIPLE_CANDIDATES	annotation common name	-0.435891758277398	-0.0263084223320795	-0.0385025299473492	0.0937997632524064	-0.103276470781055	-0.0575516992454519	-0.212179586224626	-0.122997150548515	-0.343972454223206
RPS5	Vitvi09g04162	MULTIPLE_CANDIDATES	annotation common name	-0.107987786550271	-0.574428581375333	0.0449919897229983	1.19052192228856	0.164831519325258	0.43403642522252	-0.107921874203479	-0.578550618839152	-0.272338623654995
RPS5	Vitvi09g04351	MULTIPLE_CANDIDATES	annotation common name	-1.812685069745	0.128484380283635	-0.521456900640645	-2.37978340120325	-0.665003035297616	-0.986369587351362	0.0481290786203443	0.642323732355352	-0.483565443256046
RPS5	Vitvi09g04375	MULTIPLE_CANDIDATES	annotation common name	0.125548851806777	0.0462448394266591	0.114573468007451	0.101492520970062	-0.00759897252363666	0.102391563254747	0.0865012091516645	-0.0240930283486488	0.096962992609195
RPS5	Vitvi19g01643	MULTIPLE_CANDIDATES	annotation common name	0.116632419541611	-0.0339444918572652	0.100753664367746	0.0661477350991937	-0.0264341974269359	0.0617561009467815	0.0949291297579954	-0.0851528236133251	-0.028608171162092
RPS5	Vitvi19g01648	MULTIPLE_CANDIDATES	annotation common name	-3.9200939498295	-0.333644475484258	-2.88631486296296	0.111047302794415	0.152564039681025	0.029335352281457	-7.09022175885217	-1.15876946188176	-2.69649203582551
RPS5	Vitvi19g01649	MULTIPLE_CANDIDATES	annotation common name	-0.472242754332649	-2.00811817554422	0.125235389892329	-0.34113101110879	-1.30861124580788	-0.1348976738429	-2.40081686509865	-1.78644987161455	-1.26904532459346
RPS5	Vitvi19g01651	MULTIPLE_CANDIDATES	annotation common name	0.12852074543262	-0.00615027356122856	-0.0026234502335715	0.0459088642101257	0.0126372068248189	-0.00248456146878865	-0.00430390541094485	-0.0138579121781126	0.00174779573389317
