gene	common_name	Rpv12|0	Rpv12|6	Rpv12|24	Rpv12+1|0	Rpv12+1|6	Rpv12+1|24	Rpv12+1+3|0	Rpv12+1+3|6	Rpv12+1+3|24	layer	label
Vitvi13g04528	RGA4	-8.76813459958422	-2.65125220189204	-0.420305142424139	-0.0402605474947295	0.0178414506756017	-0.513468811030876	-9.96964485031169	-9.38840107193503	-8.36591690058447	Effector recognition	RGA4 (Vitvi13g04528)
Vitvi13g04529	RGA4	-5.61803597983844	-1.96483823560933	-0.671970038813373	-0.0180631889961752	-0.0962288106609276	-0.549135849355075	-5.69363205514078	-5.46186003208091	-6.47307559688314	Effector recognition	RGA4 (Vitvi13g04529)
Vitvi13g04537	RGA4	-2.64400808323191	-1.13051479104912	-0.978947732146923	-0.487693465191443	0.412421834628741	-0.242208254834982	-2.88519730857027	-2.31072786327467	-2.98215687793637	Effector recognition	RGA4 (Vitvi13g04537)
Vitvi13g04656	RGA4	-0.0634702296014922	-0.97775947888421	-1.91055037759296	0.761727606563414	0.0894324303075471	-0.0808079791598832	-1.30627573817571	-1.73066258464285	-2.12156392209402	Effector recognition	RGA4 (Vitvi13g04656)
Vitvi19g01610	RGA4	-5.63344104049073	-5.35007118601172	-4.11575757873149	1.61022699326716	1.81810602192682	0.236322366930555	-6.45656817719032	-7.50402636515294	-8.47255464953786	Effector recognition	RGA4 (Vitvi19g01610)
Vitvi03g01373	RPP13	-5.27827933589866	0.0426514513938209	-1.2282459564703	-0.957179426021867	0.127122224593151	-0.0473240796489562	-0.182062859410373	0.404522884962721	0.0492175731352161	Effector recognition	RPP13 (Vitvi03g01373)
Vitvi03g04047	RPP13	3.8025817992001	4.39923009126217	3.42774752375171	3.97385076607681	4.3369612676551	2.77206403774716	3.70065922123808	4.28638957641378	2.77160316127659	Effector recognition	RPP13 (Vitvi03g04047)
Vitvi03g04050	RPP13	7.8329582436346	7.98330249171179	7.624549283554	7.65934864999363	8.10921368636916	7.09579469726787	7.55315447649543	8.02734620914757	6.94150972169822	Effector recognition	RPP13 (Vitvi03g04050)
Vitvi15g01670	RPP13	-0.370543255848464	-0.257308255128464	-0.254276354747378	-0.350406789907755	-0.238204254245171	-8.03522481899155	-4.91485607144176	-5.39390234173621	-3.00648046176798	Effector recognition	RPP13 (Vitvi15g01670)
Vitvi15g01686	RPP13	1.71377438694429	1.50322627198734	4.84263896979562	2.86919413523267	1.42548617451045	4.49021903385243	2.48006030927809	1.89373214568191	4.51709283350402	Effector recognition	RPP13 (Vitvi15g01686)
Vitvi16g00787	RPP8	-12.9934200667827	-0.147291703505202	-0.0150781252907782	-0.0822921814970231	-0.0330484432986122	10.2434109184158	-0.374834298215121	-13.7586749869636	-0.0268383529595168	Effector recognition	RPP8 (Vitvi16g00787)
Vitvi09g00368	RPS5	-0.15288027249295	-0.0918663803970483	-0.156420327045639	-6.63525063503684	-0.336991746187115	-8.31008184524432	-0.315282897613439	-0.238420880881502	-1.71068369793916	Effector recognition	RPS5 (Vitvi09g00368)
Vitvi09g00419	RPS5	4.85953936980922	5.09514263541279	5.53029285270913	-0.784145552506476	-0.430376562242837	0.0291428036793852	4.60873634029855	4.60902724476113	5.1173040317341	Effector recognition	RPS5 (Vitvi09g00419)
Vitvi09g01588	RPS5	-0.129816779330606	-0.777149795814761	-1.46572336876526e-05	-0.156690833057589	-1.5481716079362	-1.86278811404812	-1.09118748241405	-0.924863413169759	-0.967485309510031	Effector recognition	RPS5 (Vitvi09g01588)
Vitvi09g02033	RPS5	3.2967824101774	3.7610561977536	3.33479946765535	3.24403068441054	3.90052190115142	3.4002404433488	3.80776273253581	3.95507916585019	3.28264564930135	Effector recognition	RPS5 (Vitvi09g02033)
