common_name	vitvi_id	source	genotype	timing	log2FC_apeglm	padj_threshold_test	DE_primary
WRKY55	Vitvi13g00189	41_retained_homologs	Rpv12	24	0.0909655448017984	1	FALSE
MIK2	Vitvi14g03057	41_retained_homologs	Rpv12	24	-0.525117501885156	1	FALSE
RPP13	Vitvi15g01670	41_retained_homologs	Rpv12	24	-0.254276354747378	1	FALSE
RPP13	Vitvi15g01686	41_retained_homologs	Rpv12	24	4.84263896979562	3.17603529582394e-09	TRUE
RPP8	Vitvi16g00787	41_retained_homologs	Rpv12	24	-0.0150781252907782	1	FALSE
SARD4	Vitvi16g01127	41_retained_homologs	Rpv12	24	-1.74444712690513	0.196821826639529	TRUE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12	24	-0.285394209876725	1	FALSE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12	24	-0.688322165016468	1	FALSE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12	24	-0.869682577905013	1	FALSE
SRC2	Vitvi18g02114	41_retained_homologs	Rpv12	24	-0.200903923477892	1	FALSE
ZAR1	Vitvi19g04138	41_retained_homologs	Rpv12	24	-0.113527292989618	1	FALSE
ZAR1	Vitvi19g02165	41_retained_homologs	Rpv12	24	0.787935423889577	1	FALSE
NAC21/22	Vitvi19g01484	41_retained_homologs	Rpv12	24	0.212653727424431	1	FALSE
RPS5	Vitvi19g04600	41_retained_homologs	Rpv12	24	-0.650630787258659	1	FALSE
RPS5	Vitvi19g01648	41_retained_homologs	Rpv12	24	-2.88631486296296	0.192684624870715	TRUE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12	24	-1.97505480186106	0.459240561842968	TRUE
SRG1	Vitvi02g01473	41_retained_homologs	Rpv12	24	-4.24818893880307	0.00404983898642057	TRUE
RPP13	Vitvi03g01373	41_retained_homologs	Rpv12	24	-1.2282459564703	0.949022542134457	FALSE
RPP13	Vitvi03g04047	41_retained_homologs	Rpv12	24	3.42774752375171	3.61251227283545e-10	TRUE
RPP13	Vitvi03g04050	41_retained_homologs	Rpv12	24	7.624549283554	8.19080915779082e-21	TRUE
RIPK	Vitvi04g00179	41_retained_homologs	Rpv12	24	-2.49614880752427	0.0307188223035079	TRUE
WRKY51	Vitvi04g00760	41_retained_homologs	Rpv12	24	-3.27562899260403	0.0304615385648219	TRUE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12	24	-0.213764054421374	1	FALSE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12	24	0.78930908973821	1	FALSE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12	24	-1.95224324350318	0.463454814166315	TRUE
SRC2	Vitvi07g02185	41_retained_homologs	Rpv12	24	-3.43124870517982	0.0026293398839335	TRUE
MYB12	Vitvi07g00393	41_retained_homologs	Rpv12	24	-1.6514692015923	0.590271559618602	TRUE
WRKY47	Vitvi07g00523	41_retained_homologs	Rpv12	24	-2.07198987769428	0.109011919513094	TRUE
WRKY51	Vitvi07g01847	41_retained_homologs	Rpv12	24	-1.0100516944504	1	TRUE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12	24	-1.12024497545935	1	TRUE
RPS5	Vitvi09g01588	41_retained_homologs	Rpv12	24	-1.46572336876526e-05	1	FALSE
RPS5	Vitvi09g00368	41_retained_homologs	Rpv12	24	-0.156420327045639	1	FALSE
RPS5	Vitvi09g00419	41_retained_homologs	Rpv12	24	5.53029285270913	9.50709555489982e-25	TRUE
RPS5	Vitvi09g04351	41_retained_homologs	Rpv12	24	-0.521456900640645	1	FALSE
RPS5	Vitvi09g02033	41_retained_homologs	Rpv12	24	3.33479946765535	2.92103759321049e-13	TRUE
NAC29	Vitvi01g01038	41_retained_homologs	Rpv12+1	0	2.21184895772315	0.047924049955603	TRUE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12+1	0	-0.145708460376845	1	FALSE
SRG1	Vitvi10g00685	41_retained_homologs	Rpv12+1	0	1.94447420121897	0.429091339590074	TRUE
SRG1	Vitvi10g00687	41_retained_homologs	Rpv12+1	0	2.50879947364243	0.275655789329296	TRUE
SRG1	Vitvi10g00694	41_retained_homologs	Rpv12+1	0	0.0673574189627545	1	FALSE
MAPKKK1	Vitvi12g01776	41_retained_homologs	Rpv12+1	0	-10.3031412522806	3.63254205759272e-07	TRUE
WRKY55	Vitvi13g00189	41_retained_homologs	Rpv12+1	0	2.21349155421053	0.175804467463361	TRUE
MIK2	Vitvi14g03057	41_retained_homologs	Rpv12+1	0	2.33388093733393	0.0865639289961402	TRUE
RPP13	Vitvi15g01670	41_retained_homologs	Rpv12+1	0	-0.350406789907755	0.825118449751873	FALSE
RPP13	Vitvi15g01686	41_retained_homologs	Rpv12+1	0	2.86919413523267	0.0113211696442297	TRUE
RPP8	Vitvi16g00787	41_retained_homologs	Rpv12+1	0	-0.0822921814970231	1	FALSE
SARD4	Vitvi16g01127	41_retained_homologs	Rpv12+1	0	-0.260416708440491	1	FALSE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12+1	0	1.74429070799955	0.377984011024901	TRUE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12+1	0	0.330824396369905	1	FALSE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12+1	0	0.667319261132091	1	FALSE
SRC2	Vitvi18g02114	41_retained_homologs	Rpv12+1	0	-0.139905319626796	1	FALSE
ZAR1	Vitvi19g04138	41_retained_homologs	Rpv12+1	0	2.69692648123399	0.0419285050505491	TRUE
ZAR1	Vitvi19g02165	41_retained_homologs	Rpv12+1	0	-0.862325525026075	1	FALSE
NAC21/22	Vitvi19g01484	41_retained_homologs	Rpv12+1	0	0.0626317071331742	1	FALSE
RPS5	Vitvi19g04600	41_retained_homologs	Rpv12+1	0	0.238403755031311	1	FALSE
RPS5	Vitvi19g01648	41_retained_homologs	Rpv12+1	0	0.111047302794415	1	FALSE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12+1	0	-5.23103491005715	0.0175109111816776	TRUE
SRG1	Vitvi02g01473	41_retained_homologs	Rpv12+1	0	-0.129574922305964	1	FALSE
RPP13	Vitvi03g01373	41_retained_homologs	Rpv12+1	0	-0.957179426021867	1	FALSE
RPP13	Vitvi03g04047	41_retained_homologs	Rpv12+1	0	3.97385076607681	3.37956753620218e-08	TRUE
RPP13	Vitvi03g04050	41_retained_homologs	Rpv12+1	0	7.65934864999363	2.83357258093262e-13	TRUE
RIPK	Vitvi04g00179	41_retained_homologs	Rpv12+1	0	0.376941319629812	1	FALSE
WRKY51	Vitvi04g00760	41_retained_homologs	Rpv12+1	0	0.00954947643723061	1	FALSE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12+1	0	-0.372360828488821	1	FALSE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12+1	0	0.474768395599836	1	FALSE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12+1	0	0.29265237209651	1	FALSE
SRC2	Vitvi07g02185	41_retained_homologs	Rpv12+1	0	-0.399630492146012	1	FALSE
MYB12	Vitvi07g00393	41_retained_homologs	Rpv12+1	0	1.33898458211353	0.729645857753594	FALSE
WRKY47	Vitvi07g00523	41_retained_homologs	Rpv12+1	0	-0.349322422434332	1	FALSE
WRKY51	Vitvi07g01847	41_retained_homologs	Rpv12+1	0	0.130711218073784	1	FALSE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12+1	0	-0.441396235758737	1	FALSE
RPS5	Vitvi09g01588	41_retained_homologs	Rpv12+1	0	-0.156690833057589	1	FALSE
RPS5	Vitvi09g00368	41_retained_homologs	Rpv12+1	0	-6.63525063503684	0.0221668624578308	TRUE
RPS5	Vitvi09g00419	41_retained_homologs	Rpv12+1	0	-0.784145552506476	1	FALSE
