literature_name	vitvi_id	log2FC_Rpv12+1+3|0	DE_primary.Rpv12+1+3|0	log2FC_Rpv12+1+3|24	DE_primary.Rpv12+1+3|24	log2FC_Rpv12+1+3|6	DE_primary.Rpv12+1+3|6	log2FC_Rpv12+1|0	DE_primary.Rpv12+1|0	log2FC_Rpv12+1|24	DE_primary.Rpv12+1|24	log2FC_Rpv12+1|6	DE_primary.Rpv12+1|6	log2FC_Rpv12|0	DE_primary.Rpv12|0	log2FC_Rpv12|24	DE_primary.Rpv12|24	log2FC_Rpv12|6	DE_primary.Rpv12|6
RPP13	Vitvi15g01670	-4.91485607144176	TRUE	-3.00648046176798	TRUE	-5.39390234173621	TRUE	-0.350406789907755	FALSE	-8.03522481899155	TRUE	-0.238204254245171	FALSE	-0.370543255848464	FALSE	-0.254276354747378	FALSE	-0.257308255128464	FALSE
RPP13	Vitvi15g01686	2.48006030927809	TRUE	4.51709283350402	TRUE	1.89373214568191	TRUE	2.86919413523267	TRUE	4.49021903385243	TRUE	1.42548617451045	TRUE	1.71377438694429	TRUE	4.84263896979562	TRUE	1.50322627198734	TRUE
RPP8	Vitvi03g04039	-0.0198738107902539	FALSE	0.0769890600533068	FALSE	-0.0938226854644576	FALSE	-0.0451262181328171	FALSE	-1.76581291573975	TRUE	-0.79966080898956	FALSE	-1.89211178905565	TRUE	-0.11484862608334	FALSE	-0.00655528650334234	FALSE
RPP8	Vitvi13g01890	-0.718463316233768	FALSE	-0.525446423385938	FALSE	-0.599481493395221	FALSE	-0.568313212733081	FALSE	-0.0484107113958493	FALSE	-0.0210887301466201	FALSE	-1.61426893279292	TRUE	0.49720638322696	FALSE	-0.0690726375544572	FALSE
RPP8	Vitvi16g00787	-0.374834298215121	FALSE	-0.0268383529595168	FALSE	-13.7586749869636	TRUE	-0.0822921814970231	FALSE	10.2434109184158	TRUE	-0.0330484432986122	FALSE	-12.9934200667827	TRUE	-0.0150781252907782	FALSE	-0.147291703505202	FALSE
RPS5	Vitvi09g00368	-0.315282897613439	FALSE	-1.71068369793916	TRUE	-0.238420880881502	FALSE	-6.63525063503684	TRUE	-8.31008184524432	TRUE	-0.336991746187115	FALSE	-0.15288027249295	FALSE	-0.156420327045639	FALSE	-0.0918663803970483	FALSE
RPS5	Vitvi09g00412	-0.148271128244181	FALSE	-0.749658703133831	FALSE	-0.766570461939006	FALSE	1.12301021553691	TRUE	0.385741365851621	FALSE	0.291306065749911	FALSE	-0.295892305412433	FALSE	-0.472173056758463	FALSE	-0.736379248164456	FALSE
RPS5	Vitvi09g00416	-0.715544359757307	FALSE	-0.248206884651096	FALSE	-0.806304343468961	FALSE	-0.185737390306718	FALSE	-0.022694869090971	FALSE	-1.04085814015533	TRUE	-0.659429339066976	FALSE	0.750531328191215	FALSE	-0.557328214582868	FALSE
RPS5	Vitvi09g00418	-0.506019174153985	FALSE	-1.22585347602022	TRUE	-0.75299003202216	FALSE	0.180497910237889	FALSE	-0.0871429374133109	FALSE	-0.0730821210183432	FALSE	-0.95140305472808	FALSE	-1.06324851246941	TRUE	-1.41733691155124	TRUE
RPS5	Vitvi09g00419	4.60873634029855	TRUE	5.1173040317341	TRUE	4.60902724476113	TRUE	-0.784145552506476	FALSE	0.0291428036793852	FALSE	-0.430376562242837	FALSE	4.85953936980922	TRUE	5.53029285270913	TRUE	5.09514263541279	TRUE
