"anchor","anchor_label","partner","r_protected"
"Vitvi17g04216","EDS1","Vitvi06g00447",0.870276944179309
"Vitvi17g04216","EDS1","Vitvi06g00452",0.825429130322238
"Vitvi17g04216","EDS1","Vitvi06g00483",0.81566826690827
"Vitvi17g04216","EDS1","Vitvi06g00495",0.879486267111738
"Vitvi17g04216","EDS1","Vitvi06g00558",0.818800339738
"Vitvi17g04216","EDS1","Vitvi06g00591",0.854236943209812
"Vitvi17g04216","EDS1","Vitvi06g00648",0.878445953944088
"Vitvi17g04216","EDS1","Vitvi06g00947",0.862656682535324
"Vitvi17g04216","EDS1","Vitvi06g01212",0.793737543159002
"Vitvi17g04216","EDS1","Vitvi06g01297",0.850633168800956
"Vitvi17g04216","EDS1","Vitvi06g01559",0.869892340409451
"Vitvi17g04216","EDS1","Vitvi06g01597",0.841696277153752
"Vitvi17g04216","EDS1","Vitvi06g01937",0.857255013809152
"Vitvi17g04216","EDS1","Vitvi06g04092",0.844657764120267
"Vitvi17g04216","EDS1","Vitvi06g04143",0.799052416184861
"Vitvi17g04216","EDS1","Vitvi07g00064",0.839990412094361
"Vitvi17g04216","EDS1","Vitvi07g00260",0.848308829461572
"Vitvi17g04216","EDS1","Vitvi07g00586",0.836254014084164
"Vitvi17g04216","EDS1","Vitvi07g00626",0.828540889896064
"Vitvi17g04216","EDS1","Vitvi07g00665",0.846963057703188
"Vitvi17g04216","EDS1","Vitvi07g00691",0.842376942094132
"Vitvi17g04216","EDS1","Vitvi07g01113",0.86532383519832
"Vitvi17g04216","EDS1","Vitvi07g01280",0.867966854439094
"Vitvi17g04216","EDS1","Vitvi07g01595",0.853095749951675
"Vitvi17g04216","EDS1","Vitvi07g01599",0.845500604140655
"Vitvi17g04216","EDS1","Vitvi07g01614",0.922288597125021
"Vitvi17g04216","EDS1","Vitvi07g01697",0.831750749507709
"Vitvi17g04216","EDS1","Vitvi07g01733",0.913638481884314
"Vitvi17g04216","EDS1","Vitvi07g01752",0.84933051899239
"Vitvi17g04216","EDS1","Vitvi07g02005",0.862528801281261
"Vitvi17g04216","EDS1","Vitvi07g02247",0.841591206620287
"Vitvi17g04216","EDS1","Vitvi07g02294",0.838167921049724
"Vitvi17g04216","EDS1","Vitvi07g02637",0.897749575322476
"Vitvi17g04216","EDS1","Vitvi07g03153",0.818232964831806
"Vitvi17g04216","EDS1","Vitvi07g04089",0.845559175594545
"Vitvi17g04216","EDS1","Vitvi07g04569",0.850005129247859
"Vitvi17g04216","EDS1","Vitvi08g00235",0.889326956060915
"Vitvi17g04216","EDS1","Vitvi08g00240",0.906349069923208
"Vitvi17g04216","EDS1","Vitvi08g00256",0.850411785932992
