"","PearsonCorr","Pvals","Padj","FDR"
"Vitvi05g00675",0.67618685082502,5.99900909659363e-06,0.0193408053274179,0.000154726442619343
"Vitvi05g00726",-0.697693386650656,2.25225754908549e-06,0.00726127833825162,7.48585395696043e-05
"Vitvi05g01579",-0.718648196784035,7.96599470119536e-07,0.00256823669166539,3.66890955952198e-05
"Vitvi05g01674",0.688537295588947,3.45252458433688e-06,0.0111309392599021,0.000101190356908201
"Vitvi05g02234",0.707800676832578,1.37960969568661e-06,0.00444786165889365,5.29507340344482e-05
"Vitvi05g04062",0.675004170824618,6.31632119611018e-06,0.0203638195362592,0.000159092340127026
"Vitvi05g04232",-0.741181050317228,2.33856126291111e-07,0.000753952151162543,1.53867785951539e-05
"Vitvi05g04487",-0.686348778737637,3.81502240835494e-06,0.0122996322445363,0.000110054580110441
"Vitvi05g04494",0.691529396905392,3.0078044278422e-06,0.00969716147536324,9.41471987899344e-05
"Vitvi06g01410",-0.700887740352874,1.93323218581868e-06,0.00623274056707942,6.63057507136115e-05
"Vitvi06g01618",0.707062962734838,1.43083923232173e-06,0.00461302568500526,5.30232837356939e-05
"Vitvi06g04121",0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09
"Vitvi07g00283",0.707062962734838,1.43083923232173e-06,0.00461302568500526,5.30232837356939e-05
"Vitvi07g00523",0.67618685082502,5.99900909659363e-06,0.0193408053274179,0.000154726442619343
"Vitvi07g00890",0.691529396905392,3.0078044278422e-06,0.00969716147536324,9.41471987899344e-05
"Vitvi07g01267",-0.704684849121036,1.60809274047068e-06,0.00518449099527748,5.89146704008804e-05
"Vitvi07g01315",-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09
"Vitvi07g01342",-0.729160155023937,4.56480733012947e-07,0.00147169388323374,2.49439641226058e-05
"Vitvi07g01407",0.669834357002478,7.89120547599315e-06,0.0254412464546019,0.000188453677441496
"Vitvi07g01719",-0.657661183679129,1.31078878160574e-05,0.0422598303189691,0.000274414482590708
"Vitvi07g01829",0.657661183679129,1.31078878160574e-05,0.0422598303189691,0.000274414482590708
"Vitvi07g02323",0.680681876953935,4.92121579230629e-06,0.0158659997143955,0.000131155446250368
"Vitvi07g03086",-0.732662225581432,3.77039214575745e-07,0.0012155744277922,2.1706686210575e-05
"Vitvi08g00795",0.657661183679129,1.31078878160574e-05,0.0422598303189691,0.000274414482590708
"Vitvi08g00957",0.670011628443056,7.8317607041287e-06,0.0252495965101109,0.00018842982470232
"Vitvi08g01235",0.675004170824618,6.31632119611018e-06,0.0203638195362592,0.000159092340127026
