"gene","is_DE_panel_gene","R2_precorrection","R2_unprotected_ComBat","R2_protected_ComBat"
"Vitvi19g00927",FALSE,0.447361043146788,0.510700062500606,0.542588341367898
"Vitvi19g00928",FALSE,0.737726197861327,0.742595393276804,0.75524333725709
"Vitvi19g00929",FALSE,0.632924150560135,0.65341519494778,0.672541989793967
"Vitvi19g00930",FALSE,0.751949060383562,0.837105443699334,0.858335853670048
"Vitvi19g00931",FALSE,0.751864576165283,0.736558776996328,0.755559190913574
"Vitvi19g00933",FALSE,0.618866905106888,0.697273487924427,0.719984704951856
"Vitvi19g04315",FALSE,0.445292331080155,0.411817719875891,0.440491521428764
"Vitvi19g00935",FALSE,0.567979654218071,0.556548006221208,0.566319807263247
"Vitvi19g04320",FALSE,0.198221447663607,0.181269732641946,0.293670013673783
"Vitvi19g04322",FALSE,0.459042064226933,0.455843092582167,0.495249590568249
"Vitvi19g00954",FALSE,0.79822731869225,0.708660168973837,0.88095360214079
"Vitvi19g00956",FALSE,0.742230446014079,0.754656123558528,0.768423554217326
"Vitvi19g00958",FALSE,0.616354156648802,0.654722949953523,0.679222877563778
"Vitvi19g00961",FALSE,0.914070218114477,0.925207972882213,0.923929367024545
"Vitvi19g00962",FALSE,0.434443282648882,0.455627818972997,0.471693984925278
"Vitvi19g04330",FALSE,0.524862849703188,0.635043681409925,0.774638332144228
"Vitvi19g04331",FALSE,0.411847806234603,0.338696178865556,0.354644328357118
"Vitvi19g04332",FALSE,0.68713306489424,0.707679347251603,0.701594994780931
"Vitvi19g02130",FALSE,0.52754724744936,0.594953258095813,0.665242208189989
"Vitvi19g04338",FALSE,0.364238418927185,0.362984822577631,0.408310448967866
"Vitvi19g00974",FALSE,0.553559772022987,0.492705711471827,0.509863326797655
"Vitvi19g00978",TRUE,0.900888149569512,0.906324027397319,0.922299898130886
"Vitvi19g04339",TRUE,0.923945359700116,0.91800161062238,0.930632899089629
"Vitvi19g02133",FALSE,0.530025418403448,0.530237884715306,0.54830946664136
"Vitvi19g00980",FALSE,0.54823169743002,0.541706015852063,0.557086589538862
"Vitvi19g04341",FALSE,0.872730014395117,0.883862565430741,0.878032157248336
"Vitvi19g04343",FALSE,0.887964894247165,0.889895556453093,0.893413443622882
"Vitvi19g02136",FALSE,0.340165628474126,0.369665094998631,0.378319421419975
"Vitvi19g00987",FALSE,0.399519601113856,0.374735437800446,0.467075605652969
"Vitvi19g04345",FALSE,0.277513306081809,0.239210025578849,0.2782230268579
"Vitvi19g00994",FALSE,0.808175841012492,0.861192621318606,0.871241872288941
"Vitvi19g04349",FALSE,0.670446757302029,0.726797532471796,0.807561627883279
"Vitvi19g04350",FALSE,0.41799500899995,0.426653393014901,0.447421216751897
"Vitvi19g04352",FALSE,0.608960072024892,0.575312415965936,0.611278987706638
"Vitvi19g04354",FALSE,0.486320809632558,0.499524044685078,0.509676743614433
"Vitvi19g04357",FALSE,0.347645637448888,0.308648309396482,0.352449722134683
"Vitvi19g04358",FALSE,0.373897632223387,0.411591382094911,0.417113224646863
"Vitvi19g04359",FALSE,0.781038010028049,0.87454321219176,0.883339901222918
"Vitvi19g02141",FALSE,0.875733155387869,0.939969907341156,0.967350517653111
"Vitvi19g01005",FALSE,0.731189972651731,0.77751759687784,0.799652101118584
