"matrix","grouping","level","n","method","r","slope"
"sizeFactor","condition","Rpv12.1.3.0",3,"pearson",-0.399055855580712,-0.0954166699012942
"sizeFactor","condition","Rpv12.1.3.24",3,"pearson",-0.251063580250222,-0.118771843494765
"sizeFactor","condition","Rpv12.1.3.6",3,"pearson",-0.351670779462127,-0.0850947589256763
"sizeFactor","condition","Rpv12.1.6",3,"pearson",-0.269902380600749,-0.111800641500508
"sizeFactor","condition","Rpv12.24",3,"pearson",-0.498652899879364,-0.0717729386557416
"sizeFactor","condition","Rpv12.6",3,"pearson",-0.282707459909693,-0.115624750639831
"sizeFactor","condition","Susceptible.0",3,"pearson",-0.216096969185553,-0.169540388559711
"sizeFactor","condition","Susceptible.24",3,"pearson",-0.239791897564283,-0.135764362616331
"sizeFactor","condition","Susceptible.6",3,"pearson",-0.520969803628156,-0.0728200255782961
"sizeFactor","myTime","GLOBAL",36,"spearman",-0.659265419941247,-0.180970250324328
"sizeFactor","myTime","0",12,"spearman",-0.631649541487446,-0.190138459160159
"sizeFactor","myTime","6",12,"spearman",-0.637969006276781,-0.173483431951283
"sizeFactor","myTime","24",12,"spearman",-0.618742034973312,-0.184180079947503
"sizeFactor","myTime","GLOBAL",36,"pearson",-0.32904430715529,-0.180970250324328
"sizeFactor","myTime","0",12,"pearson",-0.305510417283716,-0.190138459160159
"sizeFactor","myTime","6",12,"pearson",-0.317692160546668,-0.173483431951283
"sizeFactor","myTime","24",12,"pearson",-0.310365119026082,-0.184180079947503
"sizeFactor","myResistance","GLOBAL",36,"spearman",-0.659265419941247,-0.180970250324328
"sizeFactor","myResistance","Rpv1",9,"spearman",-0.582827552398154,-0.127780487037563
"sizeFactor","myResistance","Rpv1.12",9,"spearman",-0.556409747177899,-0.123984730618585
"sizeFactor","myResistance","Rpv1.12.3",9,"spearman",-0.590297897399295,-0.129423828923547
"sizeFactor","myResistance","Susceptible",9,"spearman",-0.575305314556749,-0.12739393642749
"sizeFactor","myResistance","GLOBAL",36,"pearson",-0.32904430715529,-0.180970250324328
"sizeFactor","myResistance","Rpv1",9,"pearson",-0.350201380395483,-0.127780487037563
"sizeFactor","myResistance","Rpv1.12",9,"pearson",-0.307850794309314,-0.123984730618585
"sizeFactor","myResistance","Rpv1.12.3",9,"pearson",-0.410471086413601,-0.129423828923547
"sizeFactor","myResistance","Susceptible",9,"pearson",-0.28802415645542,-0.12739393642749
"rlog_blind","condition","GLOBAL",36,"spearman",-0.00413696695316863,-0.000718481200564319
"rlog_blind","condition","Rpv12.0",3,"spearman",-0.0421079677287899,-0.00114944222792155
"rlog_blind","condition","Rpv12.1.0",3,"spearman",-0.141156280838266,-0.00267159299135271
"rlog_blind","condition","Rpv12.1.24",3,"spearman",0.0612836487390133,0.00261028028765951
"rlog_blind","condition","Rpv12.1.3.0",3,"spearman",-0.0508413559905586,-0.00273040475924462
"rlog_blind","condition","Rpv12.1.3.24",3,"spearman",0.02155448998228,0.000122828296774356
