"matrix","grouping","level","n","method","r","slope"
"rlog_blind_CB_mod","myResistance","GLOBAL",36,"pearson",-0.0161726191810272,-0.00225664283509291
"rlog_design_CB","condition","GLOBAL",36,"spearman",0.126075929707405,0.00663479620485919
"rlog_design_CB","condition","GLOBAL",36,"pearson",0.0363685977925182,0.00663479620485919
"rlog_design_CB","myTime","GLOBAL",36,"spearman",0.126075929707405,0.00663479620485919
"rlog_design_CB","myTime","GLOBAL",36,"pearson",0.0363685977925182,0.00663479620485919
"rlog_design_CB","myResistance","GLOBAL",36,"spearman",0.126075929707405,0.00663479620485919
"rlog_design_CB","myResistance","GLOBAL",36,"pearson",0.0363685977925182,0.00663479620485919
"rlog_design_CB_mod","condition","GLOBAL",36,"spearman",0.120089519457613,0.0062965703646819
"rlog_design_CB_mod","condition","GLOBAL",36,"pearson",0.031495378598327,0.0062965703646819
"rlog_design_CB_mod","myTime","GLOBAL",36,"spearman",0.120089519457613,0.0062965703646819
"rlog_design_CB_mod","myTime","GLOBAL",36,"pearson",0.031495378598327,0.0062965703646819
"rlog_design_CB_mod","myResistance","GLOBAL",36,"spearman",0.120089519457613,0.0062965703646819
"rlog_design_CB_mod","myResistance","GLOBAL",36,"pearson",0.031495378598327,0.0062965703646819
"vst_blind_CB","condition","GLOBAL",36,"spearman",-0.0605298664749059,0.00247900385964126
"vst_blind_CB","condition","GLOBAL",36,"pearson",0.0107442991109494,0.00247900385964126
"vst_blind_CB","myTime","GLOBAL",36,"spearman",-0.0605298664749059,0.00247900385964126
"vst_blind_CB","myTime","GLOBAL",36,"pearson",0.0107442991109494,0.00247900385964126
"vst_blind_CB","myResistance","GLOBAL",36,"spearman",-0.0605298664749059,0.00247900385964126
"vst_blind_CB","myResistance","GLOBAL",36,"pearson",0.0107442991109494,0.00247900385964126
"vst_blind_CB_mod","condition","GLOBAL",36,"spearman",-0.0648000421647019,0.00154784304256334
"vst_blind_CB_mod","condition","GLOBAL",36,"pearson",0.00620007787647768,0.00154784304256334
"vst_blind_CB_mod","myTime","GLOBAL",36,"spearman",-0.0648000421647019,0.00154784304256334
"vst_blind_CB_mod","myTime","GLOBAL",36,"pearson",0.00620007787647768,0.00154784304256334
"vst_blind_CB_mod","myResistance","GLOBAL",36,"spearman",-0.0648000421647019,0.00154784304256334
"vst_blind_CB_mod","myResistance","GLOBAL",36,"pearson",0.00620007787647768,0.00154784304256334
"vst_design_CB","condition","GLOBAL",36,"spearman",0.0918720765146665,0.0122036162544416
"vst_design_CB","condition","GLOBAL",36,"pearson",0.0565729812866129,0.0122036162544416
"vst_design_CB","myTime","GLOBAL",36,"spearman",0.0918720765146665,0.0122036162544416
"vst_design_CB","myTime","GLOBAL",36,"pearson",0.0565729812866129,0.0122036162544416
"vst_design_CB","myResistance","GLOBAL",36,"spearman",0.0918720765146665,0.0122036162544416
"vst_design_CB","myResistance","GLOBAL",36,"pearson",0.0565729812866129,0.0122036162544416
"vst_design_CB_mod","condition","GLOBAL",36,"spearman",0.0863102317676467,0.0119895186030239
"vst_design_CB_mod","condition","GLOBAL",36,"pearson",0.0515769496396224,0.0119895186030239
"vst_design_CB_mod","myTime","GLOBAL",36,"spearman",0.0863102317676467,0.0119895186030239
"vst_design_CB_mod","myTime","GLOBAL",36,"pearson",0.0515769496396224,0.0119895186030239
"vst_design_CB_mod","myResistance","GLOBAL",36,"spearman",0.0863102317676467,0.0119895186030239
"vst_design_CB_mod","myResistance","GLOBAL",36,"pearson",0.0515769496396224,0.0119895186030239
"rlog_design_noBE_CB","condition","GLOBAL",36,"spearman",0.116067335954257,0.00545939249220484
"rlog_design_noBE_CB","condition","GLOBAL",36,"pearson",0.0328927545395014,0.00545939249220484
"rlog_design_noBE_CB","myTime","GLOBAL",36,"spearman",0.116067335954257,0.00545939249220484
"rlog_design_noBE_CB","myTime","GLOBAL",36,"pearson",0.0328927545395014,0.00545939249220484
"rlog_design_noBE_CB","myResistance","GLOBAL",36,"spearman",0.116067335954257,0.00545939249220484
"rlog_design_noBE_CB","myResistance","GLOBAL",36,"pearson",0.0328927545395014,0.00545939249220484
"rlog_design_noBE_CB_mod","condition","GLOBAL",36,"spearman",0.109960848848727,0.0050857976131888
"rlog_design_noBE_CB_mod","condition","GLOBAL",36,"pearson",0.0279090761679077,0.0050857976131888
"rlog_design_noBE_CB_mod","myTime","GLOBAL",36,"spearman",0.109960848848727,0.0050857976131888
"rlog_design_noBE_CB_mod","myTime","GLOBAL",36,"pearson",0.0279090761679077,0.0050857976131888
"rlog_design_noBE_CB_mod","myResistance","GLOBAL",36,"spearman",0.109960848848727,0.0050857976131888
"rlog_design_noBE_CB_mod","myResistance","GLOBAL",36,"pearson",0.0279090761679077,0.0050857976131888
"vst_design_noBE_CB","condition","GLOBAL",36,"spearman",0.10609685991457,0.0130361525405854
"vst_design_noBE_CB","condition","GLOBAL",36,"pearson",0.0608146603291196,0.0130361525405854
"vst_design_noBE_CB","myTime","GLOBAL",36,"spearman",0.10609685991457,0.0130361525405854
"vst_design_noBE_CB","myTime","GLOBAL",36,"pearson",0.0608146603291196,0.0130361525405854
"vst_design_noBE_CB","myResistance","GLOBAL",36,"spearman",0.10609685991457,0.0130361525405854
"vst_design_noBE_CB","myResistance","GLOBAL",36,"pearson",0.0608146603291196,0.0130361525405854
"vst_design_noBE_CB_mod","condition","GLOBAL",36,"spearman",0.100412189283218,0.0128829285790059
"vst_design_noBE_CB_mod","condition","GLOBAL",36,"pearson",0.0557921928272026,0.0128829285790059
"vst_design_noBE_CB_mod","myTime","GLOBAL",36,"spearman",0.100412189283218,0.0128829285790059
"vst_design_noBE_CB_mod","myTime","GLOBAL",36,"pearson",0.0557921928272026,0.0128829285790059
"vst_design_noBE_CB_mod","myResistance","GLOBAL",36,"spearman",0.100412189283218,0.0128829285790059
"vst_design_noBE_CB_mod","myResistance","GLOBAL",36,"pearson",0.0557921928272026,0.0128829285790059
"combatSeq_raw","condition","GLOBAL",36,"spearman",0.961270142986395,49568.7081488823
"combatSeq_raw","condition","GLOBAL",36,"pearson",0.63673359502422,49568.7081488823
"combatSeq_raw","myTime","GLOBAL",36,"spearman",0.961270142986395,49568.7081488823
"combatSeq_raw","myTime","GLOBAL",36,"pearson",0.63673359502422,49568.7081488823
"combatSeq_raw","myResistance","GLOBAL",36,"spearman",0.961270142986395,49568.7081488823
"combatSeq_raw","myResistance","GLOBAL",36,"pearson",0.63673359502422,49568.7081488823
"combatSeq_log2","condition","GLOBAL",36,"spearman",-0.70250491414387,-0.225220472028827
"combatSeq_log2","condition","GLOBAL",36,"pearson",-0.41018107205006,-0.225220472028827
"combatSeq_log2","myTime","GLOBAL",36,"spearman",-0.70250491414387,-0.225220472028827
"combatSeq_log2","myTime","GLOBAL",36,"pearson",-0.41018107205006,-0.225220472028827
"combatSeq_log2","myResistance","GLOBAL",36,"spearman",-0.70250491414387,-0.225220472028827
"combatSeq_log2","myResistance","GLOBAL",36,"pearson",-0.41018107205006,-0.225220472028827
