"rep","n_significant","median_module_size","anchor_identity_jaccard","mean_partner_set_jaccard"
63,138,191.5,0.532258064516129,0.385227039419948
64,331,241,0.361823361823362,0.417416111681508
65,106,134,0.429378531073446,0.407284240554725
66,265,181,0.415807560137457,0.433885112543471
67,109,81,0.471264367816092,0.512343905427242
68,232,111.5,0.516,0.478643925433093
69,160,66.5,0.421296296296296,0.531839390205956
70,225,145,0.40377358490566,0.400498173487796
71,104,90,0.394444444444444,0.568517238254888
72,452,373.5,0.263713080168776,0.189252616790313
73,193,173,0.459227467811159,0.346686899357808
74,281,103,0.407894736842105,0.462690439235569
75,575,208,0.242685025817556,0.449402393065123
76,244,102.5,0.515503875968992,0.492510084446484
77,149,86,0.458128078817734,0.512627988962636
78,314,122,0.418461538461538,0.506668383361442
79,171,68,0.407079646017699,0.573426479699684
80,132,67,0.262443438914027,0.517476545331614
81,171,78,0.36480686695279,0.466397124707751
82,262,122,0.476534296028881,0.589118890962594
83,243,181,0.368421052631579,0.377565492716435
84,137,84,0.405940594059406,0.524274760265861
85,284,102,0.47098976109215,0.580363215211221
86,228,151.5,0.447876447876448,0.451894430475864
87,378,177.5,0.3125,0.407587862898956
88,403,128,0.297169811320755,0.467717993639837
89,494,119.5,0.276892430278884,0.448755964458812
90,104,142.5,0.512048192771084,0.370902628888365
91,387,251,0.355329949238579,0.352841800686682
92,292,105,0.407051282051282,0.546816568619551
93,156,117.5,0.478048780487805,0.510984368049478
94,290,261.5,0.369905956112853,0.461772356973831
95,115,67,0.343589743589744,0.555176256763626
96,129,102,0.623529411764706,0.495753511806715
97,110,66,0.396739130434783,0.565967993153845
98,282,123,0.444444444444444,0.525873491520515
99,112,94,0.541666666666667,0.475675664888854
100,377,93,0.350515463917526,0.616191058856767
101,419,154,0.260579064587973,0.369622199217698
102,101,91,0.433526011560694,0.532396102717431
103,736,357.5,0.161842105263158,0.375748764247875
104,142,66,0.319634703196347,0.471931654997099
105,376,128,0.347938144329897,0.485767500624104
106,215,97,0.471544715447154,0.453341314595141
107,350,132.5,0.35054347826087,0.475315735212506
108,138,91.5,0.469072164948454,0.546703482009073
109,117,106,0.48314606741573,0.45762375826909
110,295,103,0.31547619047619,0.43666318130801
111,249,83,0.333333333333333,0.448741965966996
112,324,156.5,0.369186046511628,0.521590179725852
113,222,104,0.397727272727273,0.471848743386979
114,231,136,0.345195729537367,0.444095643151665
115,114,94.5,0.39572192513369,0.489236884038447
116,161,183,0.595854922279793,0.355605475904234
117,135,98,0.566666666666667,0.49373859253114
118,186,105,0.454148471615721,0.433703691162158
119,140,162.5,0.649425287356322,0.365483143922971
120,436,289.5,0.304250559284116,0.316713797884753
121,94,82,0.57516339869281,0.607438797591401
122,103,97,0.533742331288344,0.46241915851999
123,386,87,0.158695652173913,0.29491092988714
124,402,115.5,0.316546762589928,0.519306650224489
125,90,83.5,0.385964912280702,0.474515307631385
126,183,113,0.222222222222222,0.390464739011703
127,158,103,0.431924882629108,0.449176761339818
128,267,221,0.417808219178082,0.419910018004656
129,139,110,0.653179190751445,0.575740535055723
130,332,102.5,0.263852242744063,0.533994766255557
131,176,107.5,0.454954954954955,0.426040722404575
132,146,123.5,0.487309644670051,0.473162381594638
133,277,170,0.442176870748299,0.521748498832841
134,395,172,0.338271604938272,0.476773835934216
135,363,192,0.314432989690722,0.470030187087033
136,236,146.5,0.43984962406015,0.518499420469072
137,325,139,0.380116959064327,0.416969039562537
138,55,85,0.337748344370861,0.55305752645239
139,234,98.5,0.454198473282443,0.532830328760541
140,399,114,0.338235294117647,0.517345135982283
141,325,207,0.340909090909091,0.415774915366338
