"rep","n_significant","median_module_size","anchor_identity_jaccard","mean_partner_set_jaccard"
52,2598,114,0.603779628443306,0.406125397761508
53,2856,136,0.616518268345103,0.496955545853926
54,2681,107,0.580745341614907,0.515667298921258
55,2326,134,0.661986661986662,0.499130814889113
56,2372,167,0.617935702199662,0.449700280549938
57,1912,91,0.595642540620384,0.499564692425139
58,2102,83,0.579481792717087,0.453598676335699
59,2008,119,0.632902033271719,0.448547195996023
60,2410,209,0.668051228798892,0.409896567571325
61,3004,109,0.604802846131041,0.465181817420398
62,2572,202,0.731317344456031,0.471735167912757
63,1724,187,0.549100449775112,0.404001260914573
64,3276,260.5,0.652136006974717,0.450680874012626
65,2201,141,0.651146131805158,0.44310719866798
66,2350,185.5,0.706346360702761,0.470709475292698
67,2300,114,0.681185290967512,0.49838814665762
68,2481,121,0.706806282722513,0.474488652043925
69,2652,109,0.696045576407507,0.527208084334902
70,3093,213,0.52621359223301,0.428927362403503
71,2529,107,0.612144955925563,0.547401494843731
72,2714,439,0.621715732826844,0.314101112688206
73,2356,206,0.686725663716814,0.38681546739118
74,2900,185.5,0.707623029913155,0.424292903591281
75,3994,354.5,0.498829588014981,0.451123876873793
76,2485,178,0.665192242259272,0.502796847973878
77,2212,118,0.677313974591652,0.504531029366017
78,2697,111,0.669172932330827,0.51569838791475
79,2813,164,0.603808353808354,0.546175541150043
80,2070,73,0.480661157024793,0.440930304326729
81,2226,93,0.562184024266936,0.413211104896652
82,2450,113,0.738461538461539,0.59129953529279
83,3310,220.5,0.541925047182529,0.430780215518715
84,1814,92,0.582833583208396,0.478245405459747
85,2608,122,0.761587078651685,0.584348784214631
86,2251,157,0.664880314397999,0.453575957014076
87,2777,203,0.704799474030243,0.426022820467401
88,3592,165,0.474084991402604,0.470443943553839
89,3316,120,0.574532453245325,0.473124430845032
90,2196,252.5,0.689908256880734,0.411741634802682
91,3834,362.5,0.59016811003566,0.355804505403592
92,2516,123,0.643858477970627,0.556010327754647
93,3129,225,0.683794466403162,0.530225317331357
94,2395,203,0.625719120135364,0.492203139015529
95,2179,84,0.564802182810368,0.480297536074427
96,1963,170,0.684778420038536,0.512228504540182
97,2872,98,0.586838942307692,0.540996310352804
98,3041,131,0.676407259304829,0.542455261092256
99,2885,187,0.659041052961454,0.443350231512289
100,2273,99,0.712509144111192,0.61172283068499
101,2088,158.5,0.529071744304658,0.392519974369897
102,2170,125,0.679750550256787,0.546628098672724
103,2929,538,0.593908629441624,0.427187310188187
104,2276,108,0.497762148337596,0.483639425683682
105,2791,145,0.64504903511547,0.498125177607855
106,2919,313,0.596643691938867,0.479430724698364
107,2657,118,0.603672048116493,0.475492447076762
108,2727,121,0.611546909319109,0.52472732175072
109,2144,122,0.665325530358449,0.456290425270379
110,3043,203,0.581206496519722,0.468255345777297
111,2847,139,0.593693147362038,0.451702260812197
112,2908,149.5,0.69385154507805,0.55302350765618
113,3139,235,0.578827546955037,0.431371013389773
114,3397,143,0.561592253899946,0.488277705605445
115,2565,124,0.58609693877551,0.493209606939319
116,2173,173,0.68579838116262,0.41779391347272
117,2486,117,0.70201668984701,0.486248655464924
118,2191,159,0.674554058973426,0.473465883588374
119,2310,190,0.704225352112676,0.3979104156064
120,3439,311,0.532896461336828,0.390406689726469
121,2259,127,0.774904942965779,0.592463081164974
122,2057,110,0.66517524235645,0.453813075849042
123,2298,129,0.326289095519865,0.284809349245826
124,2540,136,0.685626702997275,0.526156096580993
125,1748,129,0.54477889260498,0.427588312687224
126,2716,127,0.400273224043716,0.430172313424661
127,2854,288,0.68631848766421,0.432190989766518
128,2971,186,0.66460396039604,0.489463746929281
129,2542,192.5,0.824917065978621,0.549841467581513
130,2068,112,0.596647646219686,0.514478217400628
131,2584,166,0.640814985211962,0.457675729265563
132,2948,131,0.616963477210987,0.492495480162062
133,2541,153,0.747881355932203,0.543325304430344
134,2565,166,0.682679296346414,0.496269647797021
135,4008,202.5,0.507045561296383,0.488040208764579
136,2366,138,0.684303350970018,0.525021145704862
137,2894,142,0.652539732003739,0.439243549160885
138,1546,99.5,0.499810390595374,0.434768525724166
139,2748,128.5,0.712151394422311,0.529054524064814
140,3045,169,0.664327128471163,0.517776839849455
141,2549,143,0.625040970173714,0.445533391948169
142,2930,119,0.571680894907271,0.471785969536977
143,3516,179,0.52352789920288,0.489428668831373
144,2605,106,0.635355512067841,0.492655451684722
145,2253,180,0.650849858356941,0.446056156769796
146,2297,135,0.743608743979252,0.568245428633504
147,2349,102,0.735862823786939,0.557436668146388
148,1776,81,0.484042553191489,0.410761348032821
149,3281,153,0.654550741494621,0.459297101808834
150,3319,212,0.543935309973046,0.411295820856748
151,3981,357,0.476091476091476,0.403519144410254
152,3215,175,0.644444444444444,0.518485627021541
153,2215,237,0.663907880532566,0.430469052619943
154,2077,197,0.560347826086957,0.421298630879247
155,3001,157,0.619275665968273,0.551951023151849
156,3064,142,0.703922789539228,0.524557841689266
157,1639,87,0.468262604280014,0.406172725213921
158,1955,105,0.563597276961663,0.458486051592092
159,2207,353,0.561041596212377,0.343912930923454
160,2313,113,0.693079956973826,0.52507386426142
161,2915,160,0.62962962962963,0.402582557291202
162,1953,106,0.532677442023893,0.355523728550882
163,1696,82.5,0.514201401696791,0.451217505684953
164,1913,160,0.457181389076197,0.405791540225518
165,3030,133,0.595014662756598,0.465730280705182
166,2450,248,0.735977134690961,0.458207099434786
167,2123,95,0.717968157695224,0.598679251779785
168,2314,107,0.728770131771596,0.527260233394882
169,1972,162,0.572505384063173,0.480661288436509
170,1947,106,0.679907443116082,0.58226159718106
171,2996,122,0.466757123473541,0.453433475206489
172,2444,165.5,0.6631254283756,0.499186660021528
173,3182,436.5,0.604764638346728,0.425008338191666
174,2451,132,0.628686327077748,0.465443615165108
175,2415,126,0.761226725082147,0.557038953579827
176,1898,168,0.566181818181818,0.363276849355653
177,2052,111,0.590374331550802,0.441607217212639
178,1930,91.5,0.593463092177745,0.460266210085415
179,2213,132,0.727204783258595,0.519112205791633
180,2513,113,0.66059379217274,0.488090268549574
181,2581,165,0.757042253521127,0.44580103177068
182,2836,249,0.685953069752491,0.401166815010581
183,3298,267,0.457354443309499,0.385336231341184
184,3351,220,0.638691322901849,0.518032644838054
185,2682,116,0.712411705348133,0.491826608568595
186,2654,245.5,0.724455040871935,0.431309690873968
187,2082,140,0.664566345441067,0.439784917952643
188,2308,183,0.691893830703013,0.471355226145551
189,1936,166,0.513409961685824,0.326560979500083
190,2265,123,0.693478260869565,0.472216841227012
191,2276,185.5,0.6816223977028,0.401416699938523
192,2114,99,0.559117545673906,0.457918248909412
193,2099,115,0.670867309117865,0.475014171247925
194,2933,188,0.624695863746959,0.426664064474077
195,2099,124,0.632150615496017,0.446500127708652
196,1828,80,0.538489469862019,0.489057326523838
197,3299,209,0.471892728210418,0.383956784745305
198,2599,161,0.729281767955801,0.469323796264452
199,2979,133,0.674852346907056,0.551060567662412
200,2218,142,0.70360824742268,0.526501884796169
