"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g04009"	-0.146898368033048	0.304021384555862	0.4	0.504754194419639	0.640455212922173	0.146898368033047	NA
"Vitvi01g00042"	0.150165169413291	0.171282291024141	0.2	0.364939740181692	0.422660098522168	-0.150165169413293	"D7T9W8"
"Vitvi01g00043"	-0.119806254441653	0.153486527688995	0.2	0.345423885714939	0.422660098522168	0.11980625444165	"D7T9W7"
"Vitvi01g00045"	0.05420794406458	0.596508622356837	0.7	0.734970297022273	0.807934547699907	-0.0542079440645793	"D7T9W6"
"Vitvi01g00046"	-0.359641414375517	0.060828901335294	0.1	0.21162344044713	0.27000619067272	0.359641414375517	"D7T9W5"
"Vitvi01g00047"	0.0995205594564883	0.524510883083142	0.7	0.679972520529216	0.807934547699907	-0.0995205594564901	"F6HFU4"
"Vitvi01g00048"	1.20448051073171	0.00483474186533264	0.1	0.0615670850967834	0.27000619067272	-1.20448051073171	"F6HFU3"
"Vitvi01g00049"	0.439236914117864	0.0154404794374633	0.1	0.107463272978451	0.27000619067272	-0.439236914117865	"D7T9W2"
"Vitvi01g00050"	-0.190331152716428	0.573858402596856	0.7	0.717330253034994	0.807934547699907	0.190331152716425	"D7T9W1"
"Vitvi01g00051"	-0.108756293409568	0.451632395900098	0.7	0.621942228506534	0.807934547699907	0.108756293409566	"A5AZD0"
"Vitvi01g01841"	0.267753731880865	0.00202612071219568	0.1	0.0415724392955534	0.27000619067272	-0.267753731880866	"D7T9V9"
"Vitvi01g00052"	-1.45062311478783	0.172132007651617	0.7	0.366128622287498	0.807934547699907	1.45062311478783	"F6HF88"
"Vitvi01g00053"	-0.299066861493717	0.395949533779094	0.7	0.577035506973741	0.807934547699907	0.299066861493714	"D7T9V7"
"Vitvi01g00054"	-0.210505439524015	0.164458131861903	0.4	0.356911605571688	0.640455212922173	0.210505439524013	"D7T9V6"
"Vitvi01g00055"	-0.115084928164098	0.524033938965664	0.7	0.679589878031243	0.807934547699907	0.115084928164098	"F6HF87"
"Vitvi01g01842"	0.182374885514152	0.309297585894656	0.7	0.509313398268138	0.807934547699907	-0.182374885514154	"F6HF86"
"Vitvi01g00056"	0.0813158044407322	0.60717275158523	1	0.743176040048358	1	-0.0813158044407327	"D7T9V3"
"Vitvi01g00058"	0.166121965348364	0.109903340312238	0.2	0.290322058276868	0.422660098522168	-0.166121965348367	"F6HF85"
"Vitvi01g01843"	-0.382757954420334	0.0378916486033798	0.1	0.164989442978677	0.27000619067272	0.382757954420335	"F6HF84"
"Vitvi01g00059"	0.376459847050637	0.442449300065789	1	0.614730859220687	1	-0.376459847050637	"A5BGC6"
"Vitvi01g00060"	0.31088451681023	0.0037451506275666	0.1	0.0547524283646874	0.27000619067272	-0.310884516810233	"A5BGC5"
"Vitvi01g00061"	0.883972851152266	0.0707824615550375	0.1	0.229047389196708	0.27000619067272	-0.883972851152267	"F6HF82"
"Vitvi01g00062"	0.176190054352798	0.116954912575188	0.2	0.300103574504458	0.422660098522168	-0.1761900543528	"F6HF81"
"Vitvi01g00063"	-0.246540025347818	0.512820036936872	0.7	0.670395832862064	0.807934547699907	0.246540025347817	"F6HF80"
"Vitvi01g01844"	0.986467303949839	0.0814752845824885	0.1	0.246696983187821	0.27000619067272	-0.986467303949841	"F6HF79"
"Vitvi01g00064"	-0.350936384256823	0.164186908832856	0.7	0.356804758298502	0.807934547699907	0.350936384256823	"F6HF78"
"Vitvi01g00065"	0.215229779593733	0.259115547475626	0.4	0.461341322757495	0.640455212922173	-0.215229779593733	"F6HF77"
"Vitvi01g00066"	0.690978036773046	0.21349389388605	0.2	0.412562524671691	0.422660098522168	-0.690978036773047	"F6HF76"
"Vitvi01g00067"	0.0697880208887736	0.593702496238427	0.7	0.732754192279638	0.807934547699907	-0.0697880208887733	"F6HF75"
"Vitvi01g04012"	-0.0593829286768467	0.652634886391973	1	0.775956489867858	1	0.059382928676845	"F6HF74"
