run_accession	sample_alias	library_name	experiment_title	fastq_bytes
SRR29330604	MV102-T5-R10-2	MV102-T5-R10-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	1684918468;1949823970
SRR29330607	MV102-T4-R9-2	MV102-T4-R9-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	2692712588;3086740197
SRR29330608	MV102-T4-R9-1	MV102-T4-R9-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	2212494169;2508201474
SRR29330612	MV032-T1-S6-1	MV032-T1-S6-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	2419421998;2771499790
SRR29330613	MV102-T2-S7-3	MV102-T2-S7-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	2627777557;2988451824
SRR29330614	MV102-T2-S7-2	MV102-T2-S7-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	2984480375;3453217974
SRR29330618	MV102-T1-S6-1	MV102-T1-S6-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	2376425243;2719785560
SRR29330620	MV102-T0-L5-2	MV102-T0-L5-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	1931843863;2220272890
SRR29330621	MV102-T0-L5-1	MV102-T0-L5-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	2576443911;2594954761
SRR29330622	MV032-T6-SH11-3	MV032-T6-SH11-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	2570217834;2978737450
SRR29330625	MV032-T6-SH11-1	MV032-T6-SH11-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	3175029385;3638027726
SRR29330627	MV032-T5-R10-2	MV032-T5-R10-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	3095624896;3602134090
SRR29330630	MV032-T4-R9-2	MV032-T4-R9-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	3030427844;3311413289
SRR29330632	MV032-T3-R8-3	MV032-T3-R8-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	2310779850;2512076046
SRR29330634	MV032-T0-L5-2	MV032-T0-L5-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	1764542003;1936514462
SRR29330635	MV032-T0-L5-1	MV032-T0-L5-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	2090952772;2017656176
SRR29330597	MV032-T2-S7-1	MV032-T2-S7-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	2160149980;2490149976
SRR29330602	MV102-T6-SH11-1	MV102-T6-SH11-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	1854111457;2102128319
SRR29330605	MV102-T5-R10-1	MV102-T5-R10-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	3527024330;3545830620
SRR29330606	MV102-T4-R9-3	MV102-T4-R9-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	1849632728;2141799559
SRR29330610	MV102-T3-R8-2	MV102-T3-R8-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	2170816393;2511151971
SRR29330615	MV102-T2-S7-1	MV102-T2-S7-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	2361779452;2699861867
SRR29330617	MV102-T1-S6-2	MV102-T1-S6-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	2383163428;2704694457
SRR29330619	MV102-T0-L5-3	MV102-T0-L5-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	2122665569;2470487660
SRR29330623	MV032-T0-L5-3	MV032-T0-L5-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	1777387472;2055826806
SRR29330628	MV032-T5-R10-1	MV032-T5-R10-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	2024910955;1989727098
SRR29330631	MV032-T4-R9-1	MV032-T4-R9-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	3105882713;3527309572
