"geneID","spearman_rho","pvalue","padj","fdr","module_size"
"Vitvi06g00180",-0.487897282267239,0.00253992909673463,1,0.00430079792173087,246
"Vitvi06g00182",-0.824392187992147,6.42105911361328e-10,5.44826865790087e-06,1.04109350158145e-08,1487
"Vitvi06g00184",-0.624221522900733,4.73386834040076e-05,0.401668728683004,0.000119473149519038,1689
"Vitvi06g00191",0.638571442967416,2.77964224488528e-05,0.235852644478516,7.48500934555746e-05,4
"Vitvi06g00199",-0.0241867853382913,0.888644610531406,1,0.890744184330653,24
"Vitvi06g00201",0.478898349698169,0.00312849885508842,1,0.00444943224697037,18
"Vitvi06g00209",-0.581171762700682,0.000201731083518182,1,0.000422534742940454,6
"Vitvi06g00214",-0.382151208345003,0.0214447164072558,1,0.025139322839951,1129
"Vitvi06g00226",0.478898349698169,0.00312849885508842,1,0.00444943224697037,29
"Vitvi06g00227",-0.596032931351327,0.000125192354329375,1,0.000279027351322497,1477
"Vitvi06g00244",-0.602582743783759,0.000100689603007756,0.854351281520807,0.000228741976310792,1826
"Vitvi06g00245",-0.645746403000758,2.10820008752169e-05,0.178880777426215,5.91341412979231e-05,2483
"Vitvi06g00248",0.353127065939054,0.0346365270501542,1,0.0392482548104379,1004
"Vitvi06g00259",-0.824392187992147,6.42105911361328e-10,5.44826865790087e-06,1.04109350158145e-08,2250
"Vitvi06g00263",-0.565032847949674,0.000330175842845806,1,0.000660896915910992,31
"Vitvi06g00266",-0.745986927832182,1.77160876753437e-07,0.00150321003925291,9.43042684600319e-07,1655
"Vitvi06g00268",-0.443105017283777,0.00679911695396563,1,0.00900429332829692,1456
"Vitvi06g00272",-0.324102923533104,0.0538052002373616,1,0.0593290609504891,305
"Vitvi06g00281",-0.731763852262692,3.96103875756545e-07,0.00336094138579428,1.85931320991869e-06,1151
"Vitvi06g00283",-0.824356049428621,6.44165101155286e-10,5.4657408833026e-06,1.04109350158145e-08,2365
"Vitvi06g00284",-0.36280178007437,0.0296534634974876,1,0.0339829332490792,1733
