"set","gene","mean_within_condition_variance","median_within_condition_variance"
"Shared","Vitvi17g01521",0.171895599146553,0.0861641648048494
"Shared","Vitvi17g00936",0.966004282034997,0.394621345430121
"Shared","Vitvi17g01576",0.788627497359865,0.0844576975606173
"Shared","Vitvi17g00964",0.214446564011605,0.0762512598593473
"Shared","Vitvi17g00972",0.0758900018007236,0.0531265699146819
"Shared","Vitvi17g00975",0.664706882274452,0.146947946503927
"Shared","Vitvi18g00065",0.133673338685941,0.0613121129115929
"Shared","Vitvi18g00096",0.550371332553639,0.134155287580205
"Shared","Vitvi18g00106",0.212633161906857,0.0734715099713953
"Shared","Vitvi18g00135",0.331026427469276,0.115115513641995
"Shared","Vitvi18g00191",0.0792345350961135,0.0731347624329398
"Shared","Vitvi18g00271",0.650318774213756,0.371039538504969
"Shared","Vitvi18g00427",0.322724797955565,0.196207439774573
"Shared","Vitvi18g02585",0.162731292143752,0.107771592189093
"Shared","Vitvi18g00473",1.09446386354091,0.443344532508433
"Shared","Vitvi18g00480",1.55659070214439,0.286708013119636
"Shared","Vitvi18g00635",0.337765704525418,0.128204759574439
"Shared","Vitvi18g00708",0.116650041771012,0.057226759420178
"Shared","Vitvi18g02695",0.079640557845887,0.0458954199796841
"Shared","Vitvi18g02837",0.847134317491163,0.14300869880973
"Shared","Vitvi18g01504",0.854208326323321,0.275863460368286
"Shared","Vitvi18g01959",0.0289217965162915,0.0201224155171288
"Shared","Vitvi18g01970",0.268523687532379,0.0553244190627862
"Shared","Vitvi18g01995",0.195741642619928,0.0369937700504504
"Shared","Vitvi18g04559",0.221978842157429,0.0478510864886437
"Shared","Vitvi18g02059",0.428836327643533,0.225654933979277
"Shared","Vitvi18g04593",0.12177357184996,0.0270367134217437
"Shared","Vitvi18g04656",0.0421500197702797,0.0324429548445967
"Shared","Vitvi18g04749",0.192449959995988,0.0352273535176842
"Shared","Vitvi18g03244",0.81153061188201,0.253482946739452
"Shared","Vitvi18g04767",0.420458739143577,0.0981659097318461
"Shared","Vitvi18g03250",0.346848592502009,0.0664616361706409
"Shared","Vitvi18g04771",0.061147215810858,0.00994218594763597
"Shared","Vitvi19g00057",0.413665613971626,0.266452837406784
"Shared","Vitvi19g00084",0.49393217109389,0.181615815587457
"Shared","Vitvi19g01790",0.377183985508175,0.129016906762589
"Shared","Vitvi19g00218",0.120165603196413,0.0771837375656379
"Shared","Vitvi19g01869",0.106683043546502,0.0518568369615384
"Shared","Vitvi19g01873",0.213005915168429,0.0914435320314135
"Shared","Vitvi19g04105",0.164291943565381,0.0627285945068284
"Shared","Vitvi19g00270",0.534986993469957,0.215288537508975
"Shared","Vitvi19g00388",0.621182147014724,0.235877700276476
"Shared","Vitvi19g02001",0.139658053783671,0.0405515730135618
"Shared","Vitvi19g00476",0.0472568711030599,0.0346010341024758
"Shared","Vitvi19g00626",0.215613516082552,0.0595159389718341
"Shared","Vitvi19g04259",0.0966140869040619,0.0535910543233925
"Shared","Vitvi19g00700",0.785911896058592,0.139182967028101
"Shared","Vitvi19g00709",0.022505620891867,0.0219290332026403
"Shared","Vitvi19g01356",0.484660872370276,0.144019021812356
"Shared","Vitvi19g01484",1.4223459424703,0.252641524877719
"Shared","Vitvi19g04530",0.170697423476546,0.0431404193392432
"Shared","Vitvi19g01610",0.0858718585376409,0.0508845261635286
"Shared","Vitvi19g04572",0.0442731404816478,0.0460424664274357
"Shared","Vitvi19g01612",0.281932921128138,0.0403138833459129
"Shared","Vitvi19g04600",0.0350473699249913,0.0159455232496121
"Shared","Vitvi19g01720",0.0161390617571939,0.0101097379985281
"Shared","Vitvi02g00032",0.426678145412817,0.151244211688184
"Shared","Vitvi02g01319",0.975161034385519,0.466062653935519
"Shared","Vitvi02g00056",0.198276486971212,0.0269474634153727
"Shared","Vitvi02g01323",0.838618836560114,0.403167317646677
"Shared","Vitvi02g01324",0.345359967945512,0.112209827214536
"Shared","Vitvi02g01341",1.35908233710886,0.175461372767806
"Shared","Vitvi02g01355",0.115939856203011,0.0310957829761662
"Shared","Vitvi02g01405",0.354569674044805,0.114381564126149
"Shared","Vitvi02g00673",0.794920609173091,0.0723681537130989
"Shared","Vitvi02g01227",0.797289322438999,0.120698448481129
"Shared","Vitvi03g01348",0.300067987077013,0.236949517225538
"Shared","Vitvi03g01350",0.683635216391176,0.240323193686459
"Shared","Vitvi03g04029",0.442756589762296,0.183454809120749
"Shared","Vitvi03g01353",0.457085014709673,0.206637839379761
"Shared","Vitvi03g04050",0.0299941108607125,0.0176916617113266
"Shared","Vitvi03g04165",0.283453641371454,0.0541931588702871
"Shared","Vitvi03g01566",0.114865092839353,0.106430578187623
"Shared","Vitvi03g01572",0.148971090035969,0.067092289074541
"Shared","Vitvi03g00614",0.127796370983978,0.0982536284698141
"Shared","Vitvi03g00745",0.0495131438539343,0.0167008593230994
"Shared","Vitvi03g00936",0.631562870926224,0.190902971499294
"Shared","Vitvi03g01809",0.0183480037561195,0.0146922926500377
"Shared","Vitvi03g04424",0.266544901827191,0.068340390984167
"Shared","Vitvi03g04463",0.110840473209186,0.0158099261048409
"Shared","Vitvi04g00017",0.424666134995817,0.0704611208249579
"Shared","Vitvi04g04009",0.11323899254237,0.000438620026137602
"Shared","Vitvi04g04010",0.206010395230079,0.0109429679931872
"Shared","Vitvi04g04011",0.439040359202771,0.0481073682537073
