"gene","historical_3553","new_min_FDR","new_max_abs_log2FC","FDR_percentile","absLFC_percentile"
"Vitvi04g01678",FALSE,0.0264755188381286,0.23834331962685,0.616531009973633,0.878711452481944
"Vitvi04g01679",FALSE,0.0207689506717423,0.56250725636734,0.590278573885131,0.606939508578853
"Vitvi04g01680",FALSE,Inf,0.0914309757797062,0.970728724827085,0.938629676334594
"Vitvi04g01682",FALSE,0.0180442144525368,0.367381949007239,0.574458328556689,0.777370170812794
"Vitvi04g01684",FALSE,0.00206031907129319,0.563167987024314,0.370056173334862,0.606480950743246
"Vitvi04g01685",TRUE,0.000386719746955516,6.8648712780384,0.265027322404372,0.0223929076388093
"Vitvi04g01689",TRUE,4.88038693329208e-06,1.97502356176804,0.121288547518056,0.190225075470977
"Vitvi04g01691",FALSE,0.113759395485833,0.269052981094836,0.789751232374183,0.859299170774581
"Vitvi04g01692",FALSE,0.111043719535746,0.666294279983508,0.786655966983836,0.528717184454889
"Vitvi04g01693",FALSE,0.000220960670227198,0.705776835105059,0.237571171997401,0.503763995567274
"Vitvi04g01694",FALSE,0.000118555614635236,0.797571464968211,0.212274064733081,0.453399059956437
"Vitvi04g01695",FALSE,4.9247138943848e-05,1.10892633583443,0.1786464901219,0.336199319805877
"Vitvi04g01696",TRUE,2.25692199860322e-05,3.26634397490744,0.155603958882647,0.0953418166532921
"Vitvi04g01697",FALSE,0.296758108974563,0.216631320721336,0.890022545760251,0.890710382513661
"Vitvi04g01699",FALSE,0.0182178398872375,0.333572711789799,0.575757575757576,0.807978906339562
"Vitvi04g01700",FALSE,0.00278986106822408,1.10671208371076,0.393977607092361,0.336963582865222
"Vitvi04g01701",TRUE,4.31806859680541e-05,2.36673673885954,0.174825174825175,0.151935496197791
"Vitvi04g01702",FALSE,3.95174276047027e-05,1.21433162269594,0.172608811953074,0.308876915434292
"Vitvi04g01705",FALSE,0.0015678416718469,0.684848734492612,0.350299973250793,0.517138599105812
"Vitvi04g01706",FALSE,0.00134649720288817,1.77050629423205,0.34032634032634,0.214872559134854
"Vitvi04g01708",FALSE,0.21722969664265,0.26447398239212,0.860521991669533,0.862623715082732
"Vitvi04g01709",FALSE,0.00107243543534056,0.377845868926463,0.324353242386029,0.768733998242195
"Vitvi04g01711",FALSE,1.93696836366151e-07,0.980709380210645,0.0773052084527494,0.376552409339295
"Vitvi04g01714",TRUE,5.49086233230261e-06,2.6368463814946,0.123275631472353,0.130574343689098
"Vitvi04g01715",FALSE,9.07081451200014e-07,1.041438260571,0.0955328824181283,0.356681569796324
"Vitvi04g01720",FALSE,3.60694261637327e-07,1.55724562220062,0.0833810997745424,0.244182047460736
"Vitvi04g01721",TRUE,0.00360679420970933,0.610084908758295,0.414555389965226,0.568573502999733
"Vitvi04g01722",FALSE,0.0130431175779763,0.553601223284282,0.539455080438687,0.613703236654056
"Vitvi04g01723",FALSE,0.000199723085697781,0.879348851682014,0.233176659406168,0.416485154190072
"Vitvi04g01724",FALSE,0.0028998048538786,0.70855937278566,0.396385035729298,0.502006190530781
"Vitvi04g01726",FALSE,0.00258984417674026,0.563328356470944,0.389162749818488,0.606366311284344
"Vitvi04g01728",FALSE,2.31560370819522e-05,1.18054096803872,0.156215369330123,0.317780580075662
"Vitvi04g01729",FALSE,0.00498337301015477,0.64509247833964,0.441896900913294,0.543811379876954
"Vitvi04g01730",FALSE,Inf,0.0906661021826993,0.970728724827085,0.939011807864267
"Vitvi04g01731",FALSE,0.410748611060154,0.119299670689336,0.914173258435554,0.928656043410142
"Vitvi04g01733",FALSE,0.00395982210982849,1.07085745024213,0.422064274523291,0.347930757766823
"Vitvi04g01734",FALSE,0.0273955628614993,0.650406109498343,0.620906415988383,0.540142917192098
"Vitvi04g01735",FALSE,0.00489353929516464,0.453119504662745,0.440100882723834,0.698230731017616
"Vitvi04g01736",FALSE,0.00011166230808078,0.945875482111684,0.209713783484275,0.389812373418931
"Vitvi04g01737",FALSE,0.11866526915256,0.389581394048516,0.794680729106959,0.75753754442279
"Vitvi04g01738",FALSE,0.0235013131095921,0.373860409341906,0.603882456341473,0.771829263632542
"Vitvi04g01739",FALSE,0.334469090979179,0.137881022117533,0.900149031296572,0.922236233711644
"Vitvi04g01740",TRUE,1.0822865094222e-13,2.89092629477801,0.0192594290954947,0.114180901066147
"Vitvi04g01741",FALSE,0.307236080609842,0.307675658607058,0.893805647904009,0.82941648515419
"Vitvi04g01742",FALSE,0.0817744387590828,0.255604539303197,0.75100309526539,0.868279261721885
"Vitvi04g01743",FALSE,8.72994556171693e-16,1.29280636381878,0.0134128166915052,0.291604570293095
"Vitvi04g01745",FALSE,0.00257455397875544,0.541304004948354,0.388704191982881,0.62268332760136
"Vitvi04g01746",FALSE,0.0539856487704359,0.472520061913538,0.701841873973022,0.681225877947189
"Vitvi04g01747",FALSE,0.0109978128569337,1.94404549964941,0.519698880354618,0.193626046085062
"Vitvi04g01748",FALSE,0.0123906581148,1.08003012035632,0.534067025870305,0.344988344988345
"Vitvi04g01750",FALSE,0.0429023042514151,0.293370221343148,0.67495892086056,0.840192594290955
