"gene","baseMean","LRT_statistic","pvalue","padj"
"Vitvi09g00216",2126.05632971186,3.14496543457278,0.790444605870059,0.929701452110844
"Vitvi09g01545",5041.41169301521,6.38491707389898,0.381479887892854,0.671458090106851
"Vitvi09g01546",1.87024204152942,2.5911760661794,0.858127308328092,NA
"Vitvi09g00217",1777.2719069854,5.81467669566689,0.444267241195796,0.725144812074865
"Vitvi09g00218",9734.80519182246,14.8257180034726,0.0216564210302897,0.119127261222955
"Vitvi09g00219",164.606978535433,4.24545550177533,0.643498043659429,0.854216939812263
"Vitvi09g01548",618.741057430067,4.57478117801293,0.59938536574357,0.830287935520123
"Vitvi09g00220",3316.53662363166,4.88886679848417,0.558143920970826,0.805422873299674
"Vitvi09g04055",1010.10609223734,6.52007751808293,0.36751493860987,0.65848938425976
"Vitvi09g00223",78.7396577756804,12.8696401641064,0.045153416180884,0.193343561250341
"Vitvi09g00224",1274.86037247407,9.51971947561231,0.146389597198838,0.398574309956558
"Vitvi09g00225",2702.19503519137,4.02225262215961,0.673664882241924,0.871982075784778
"Vitvi09g00226",184.296205858901,9.56391426440953,0.144258828876388,0.394862907333293
"Vitvi09g04057",1030.75339398524,6.58878923173165,0.360553431885151,0.652430019601701
"Vitvi09g00227",2338.63345040088,5.97800087161539,0.425658955623149,0.709554815207888
"Vitvi09g00228",1.37691029231948,0.257325566206035,0.999677570191126,NA
"Vitvi09g00230",0.906137185932799,0.394236246279483,0.998898098433913,NA
"Vitvi09g04058",1.09948979718564,0.504506054012083,0.997783237032028,NA
"Vitvi09g00232",2.51492062296543,3.21053434818307,0.781996415282048,NA
"Vitvi09g01550",31.7177477316915,4.45035226318808,0.615970942393779,0.838343143734266
"Vitvi09g00233",61.7476884183955,48.1033324852854,1.12675311116679e-08,1.12621910495297e-06
"Vitvi09g01551",1.3753611591029,1.172714264173,0.978210983025676,NA
"Vitvi09g04063",6.79229629904327,16.1995821148618,0.0127218883117172,NA
"Vitvi09g00239",4404.76049358375,14.6563519004559,0.0231046976248859,0.124879055076587
"Vitvi09g00241",103.969743150866,23.0947408470989,0.000765360423477524,0.0112378020531427
"Vitvi09g04064",11968.9919362838,25.9477047027058,0.000227692241280502,0.00436548124418708
"Vitvi09g01555",5545.88308244213,20.5668958194289,0.00219384934668951,0.024289267451235
"Vitvi09g04065",0.585874083344165,0.394312522143736,0.998897489950583,NA
"Vitvi09g01556",3978.99055185137,17.3607785562216,0.00804489510544459,0.0613845288617317
"Vitvi09g00253",2217.20419164974,15.9391054665593,0.014084571979286,0.0897612069321854
"Vitvi09g00255",17.5631348092511,12.3401918708386,0.054795870577564,0.218375833424192
"Vitvi09g04067",12.2534622616756,8.53322822682092,0.201580192225411,NA
"Vitvi09g00258",2449.04958520005,10.820841727956,0.0940738832584194,0.307218674190162
