"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","pvalue_threshold_test","padj_threshold_test","FSOS_svalue","DE_primary_threshold_test","DE_zero_null_plus_effect_filter","DE_primary","leading_signal","genotype","timing","max_Cooks_distance","exceeds_DESeq2_0.99_F_cutoff","mixed_cell_batch_by_condition_pvalue","mixed_cell_batch_by_condition_padj","batch_interaction_warning"
"Vitvi05g00637",407.785368990083,3.10808733961432,2.99444048641525,0.421355981815033,7.39393416357421,1.42547011613473e-13,2.95372413011707e-11,2.65166888506712e-07,4.75102783318293e-05,1.1543433439984e-07,TRUE,TRUE,TRUE,TRUE,"Rpv12",6,1.12758664052755,FALSE,4.73200856969074e-05,0.00124281520217656,TRUE
"Vitvi05g00637",407.785368990083,1.70616611283669,1.47784125311541,0.484731638643251,3.80243337901339,0.000143281803114467,0.00157937599307977,0.0577678393434739,0.593538807202222,0.0413598723252892,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",0,1.12758664052755,FALSE,4.73200856969074e-05,0.00124281520217656,TRUE
"Vitvi05g00637",407.785368990083,-0.596659846272441,-0.372360828488821,0.40387236228188,-1.29046466170471,0.196889373816045,0.360583304589064,0.808768172516587,1,0.577388531996626,FALSE,FALSE,FALSE,FALSE,"Rpv12+1",0,1.12758664052755,FALSE,4.73200856969074e-05,0.00124281520217656,TRUE
"Vitvi09g01951",56.8604637561174,-2.66669761508956,-1.78573064636606,1.20717605659351,-2.82958329681871,0.00466086655343757,0.0290314863261207,0.0385385044984697,0.54581956641877,0.0576943451960303,FALSE,TRUE,TRUE,FALSE,"Rpv12+1",24,0.183256108526017,FALSE,0.0014781072197127,0.0183264440116055,TRUE
"Vitvi09g01951",56.8604637561174,-2.15028234088603,-0.699007976815778,0.962662470279069,-1.98804811011555,0.0468063693984008,0.119360694061933,0.145570708448386,0.900204105564737,0.230002536149242,FALSE,FALSE,FALSE,FALSE,"Rpv12+1+3",6,0.183256108526017,FALSE,0.0014781072197127,0.0183264440116055,TRUE
"Vitvi09g01951",56.8604637561174,-4.14803678525286,-3.18871859398274,1.43711874722893,-3.19831213957375,0.00138234566171876,0.00973410214387407,0.00764250347312312,0.142832985661193,0.0154895846038586,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",0,0.183256108526017,FALSE,0.0014781072197127,0.0183264440116055,TRUE
"Vitvi09g01951",56.8604637561174,-3.15217923845365,-2.33953382504063,1.1897586958658,-3.40179809016118,0.000669440769179882,0.00459013158628321,0.0101038038308237,0.171324443172134,0.0334846281864275,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",24,0.183256108526017,FALSE,0.0014781072197127,0.0183264440116055,TRUE
"Vitvi09g01951",56.8604637561174,3.38601621215522,2.74906197277145,1.11627969313579,3.41578298997694,0.000635989084291259,0.00411967264828558,0.00804709497014961,0.12617116936388,0.0151022543118811,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,0.183256108526017,FALSE,0.0014781072197127,0.0183264440116055,TRUE
"Vitvi09g01951",56.8604637561174,-0.367126588890293,-0.0443018925100425,0.346772959751494,-0.361611315437473,0.717642507643617,0.865626678011039,0.822534339958425,1,0.851222969849977,FALSE,FALSE,FALSE,FALSE,"Rpv12+1",6,0.183256108526017,FALSE,0.0014781072197127,0.0183264440116055,TRUE
"Vitvi09g01951",56.8604637561174,-1.82336143965552,-0.504174308853922,0.738755978758159,-1.96508536432304,0.0494043582561876,0.142269693324209,0.188614816919353,1,0.307654723799626,FALSE,FALSE,FALSE,FALSE,"Rpv12",24,0.183256108526017,FALSE,0.0014781072197127,0.0183264440116055,TRUE
"Vitvi09g01951",56.8604637561174,1.7823855582997,0.271849365182394,0.482244068456048,1.900441197404,0.0573752448404883,0.184221562270221,0.203587485000519,1,0.553651686223253,FALSE,FALSE,FALSE,FALSE,"Rpv12",6,0.183256108526017,FALSE,0.0014781072197127,0.0183264440116055,TRUE
"Vitvi09g01951",56.8604637561174,-0.121552776934004,-0.0251355835694078,0.483463988574809,-0.120216663950941,0.904311517584198,0.946536030386384,0.941185998878804,1,0.718754914768681,FALSE,FALSE,FALSE,FALSE,"Rpv12+1",0,0.183256108526017,FALSE,0.0014781072197127,0.0183264440116055,TRUE
"Vitvi09g04536",110.220592174211,-4.5216223392232,-4.1055431431442,0.946697935231205,-4.9636590094632,6.91773547688716e-07,1.7715730894864e-05,5.53411855403464e-05,0.00267591510637694,7.25076893454367e-05,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",24,0.460719976852515,FALSE,0.0368139259337333,0.169409927545807,FALSE
"Vitvi09g04536",110.220592174211,-1.19837620711846,-0.307119210899687,0.560190122238866,-1.38041396547968,0.167459222680759,0.337079125424377,0.415290345802644,1,0.477629750945824,FALSE,FALSE,FALSE,FALSE,"Rpv12",24,0.460719976852515,FALSE,0.0368139259337333,0.169409927545807,FALSE
"Vitvi09g04536",110.220592174211,-0.0870115699775853,-0.0307229129305678,0.554047364953849,-0.0886211889931263,0.929382967958989,0.959115591030428,0.957903803598429,1,0.645918967821582,FALSE,FALSE,FALSE,FALSE,"Rpv12+1+3",6,0.460719976852515,FALSE,0.0368139259337333,0.169409927545807,FALSE
"Vitvi09g04536",110.220592174211,-0.113747734909194,-0.0277093223711152,0.480119319043258,-0.114055169962143,0.909194059430947,0.951800476278797,0.944952668638157,1,0.722043146959497,FALSE,FALSE,FALSE,FALSE,"Rpv12+1+3",0,0.460719976852515,FALSE,0.0368139259337333,0.169409927545807,FALSE
"Vitvi09g04536",110.220592174211,0.246149476067904,0.0237934675908111,0.343552825994668,0.252754554136107,0.800457888105083,0.911508314125573,0.880902985765019,1,0.860686771889493,FALSE,FALSE,FALSE,FALSE,"Rpv12+1",6,0.460719976852515,FALSE,0.0368139259337333,0.169409927545807,FALSE
"Vitvi09g04536",110.220592174211,3.12669094823639,2.32397937917266,1.19632386295599,3.27727331563721,0.00104814855703668,0.00782064657965911,0.0129108045953148,0.260522058415088,0.0373658536356289,FALSE,TRUE,TRUE,FALSE,"Rpv12+1",0,0.460719976852515,FALSE,0.0368139259337333,0.169409927545807,FALSE
"Vitvi09g04536",110.220592174211,-1.54318249749579,-0.53036066671086,0.719583665167707,-1.8060861428934,0.0709048849769347,0.162418665392075,0.263936990954243,1,0.322969896601555,FALSE,FALSE,FALSE,FALSE,"Rpv12+1+3",24,0.460719976852515,FALSE,0.0368139259337333,0.169409927545807,FALSE
"Vitvi09g04536",110.220592174211,5.77512688304174,5.40471044228229,1.03642080381012,6.08114825705714,1.19324893444728e-09,6.9211306584804e-08,2.47606459611248e-07,2.71425354508039e-05,1.28897154597973e-06,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,0.460719976852515,FALSE,0.0368139259337333,0.169409927545807,FALSE
"Vitvi09g04536",110.220592174211,3.98530226265238,3.53341729711266,0.939120954931186,4.47544757802456,7.62514067235562e-06,0.000270858756334413,0.000400495847441286,0.0317471844642927,0.000494099207190319,TRUE,TRUE,TRUE,TRUE,"Rpv12",6,0.460719976852515,FALSE,0.0368139259337333,0.169409927545807,FALSE
"Vitvi09g04548",54.9234654216041,4.32652596778112,3.91131337321591,0.981750132052032,4.51666387905138,6.28215027211047e-06,0.000103177146007554,0.000257622732441048,0.00967537439216006,0.000275073637317786,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,1.20682283656293,FALSE,0.00610704230440284,0.050709834815726,FALSE
"Vitvi09g04548",54.9234654216041,-3.30662371039308,-2.7057261638237,1.01841221818671,-3.63247093762149,0.000280720200523007,0.00297802839715688,0.00564072591283233,0.126984293591894,0.00905833753446819,FALSE,TRUE,TRUE,FALSE,"Rpv12+1",24,1.20682283656293,FALSE,0.00610704230440284,0.050709834815726,FALSE
"Vitvi09g04548",54.9234654216041,-0.476555444795662,-0.0611098838719153,0.348956154050909,-0.460049908510848,0.645480397551956,0.82375821190729,0.770349861470725,1,0.815905602797878,FALSE,FALSE,FALSE,FALSE,"Rpv12+1",6,1.20682283656293,FALSE,0.00610704230440284,0.050709834815726,FALSE
"Vitvi09g04548",54.9234654216041,-1.2518345236788,-0.330041262785756,0.656954221590107,-1.15733281300664,0.247136412357287,0.405165903049248,0.426627715860672,1,0.407760024109981,FALSE,FALSE,FALSE,FALSE,"Rpv12+1+3",6,1.20682283656293,FALSE,0.00610704230440284,0.050709834815726,FALSE
"Vitvi09g04548",54.9234654216041,-2.41020781169724,-0.779473269901264,1.14959999880443,-2.07292483936767,0.0381792749435926,0.119568953828057,0.114269467968826,0.918615553963278,0.194364586080199,FALSE,FALSE,FALSE,FALSE,"Rpv12+1+3",0,1.20682283656293,FALSE,0.00610704230440284,0.050709834815726,FALSE
"Vitvi09g04548",54.9234654216041,-1.25328109055782,-0.334832339785953,0.57482583871751,-1.42931357332101,0.15291412648562,0.317254080651033,0.391433974667976,1,0.453800443241234,FALSE,FALSE,FALSE,FALSE,"Rpv12",24,1.20682283656293,FALSE,0.00610704230440284,0.050709834815726,FALSE
"Vitvi09g04548",54.9234654216041,3.32543996087183,2.74960413753594,1.00236805971863,3.6770871768378,0.000235912434142018,0.00417120023899907,0.00506611679975872,0.228885232063711,0.00898520982562241,FALSE,TRUE,TRUE,FALSE,"Rpv12",6,1.20682283656293,FALSE,0.00610704230440284,0.050709834815726,FALSE
"Vitvi09g04548",54.9234654216041,1.26471291831236,0.36215170491129,0.595734754260087,1.29902650621388,0.193934832852176,0.357016816213265,0.402856445361906,1,0.442820194566394,FALSE,FALSE,FALSE,FALSE,"Rpv12+1",0,1.20682283656293,FALSE,0.00610704230440284,0.050709834815726,FALSE
"Vitvi09g04548",54.9234654216041,-1.8416705653676,-0.790247265372704,0.911544612415586,-2.12454334391744,0.0336247356730169,0.0937610625965416,0.166309658368469,1,0.224767904246936,FALSE,FALSE,FALSE,FALSE,"Rpv12+1+3",24,1.20682283656293,FALSE,0.00610704230440284,0.050709834815726,FALSE
"Vitvi09g04565",3454.89992091396,4.99179724317641,4.78601396217021,0.733595780433143,6.95873264551878,3.43347384153249e-12,3.63360922466392e-10,1.31302548362239e-08,2.00478670716654e-06,1.22993165728168e-08,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,1.53404896084295,FALSE,5.63949785112037e-05,0.00143240034553423,TRUE
"Vitvi09g04565",3454.89992091396,-0.978899140926874,-0.498762875983644,0.596616415525624,-1.3617195542405,0.173286407723185,0.314118227928234,0.514662872374822,1,0.358503711824395,FALSE,FALSE,FALSE,FALSE,"Rpv12+1+3",6,1.53404896084295,FALSE,5.63949785112037e-05,0.00143240034553423,TRUE
"Vitvi09g04565",3454.89992091396,-1.64711815472592,-1.02620684104854,0.779876606530582,-2.41333450974774,0.0158073045126506,0.0735764041619602,0.171579482248615,1,0.132925876842267,FALSE,FALSE,FALSE,FALSE,"Rpv12+1",24,1.53404896084295,FALSE,5.63949785112037e-05,0.00143240034553423,TRUE
"Vitvi09g04565",3454.89992091396,-0.147011089656082,-0.0456754470040249,0.43747984543333,-0.215547326193705,0.829340618121337,0.910344197523911,0.940778117382593,1,0.752449009052825,FALSE,FALSE,FALSE,FALSE,"Rpv12",24,1.53404896084295,FALSE,5.63949785112037e-05,0.00143240034553423,TRUE
"Vitvi09g04565",3454.89992091396,2.9078686214393,2.56204659869171,0.72289055500402,4.26129878601473,2.03242293695395e-05,0.00059491814890615,0.00258808311737321,0.140169081298894,0.00294226446585852,FALSE,TRUE,TRUE,FALSE,"Rpv12",6,1.53404896084295,FALSE,5.63949785112037e-05,0.00143240034553423,TRUE
"Vitvi09g04565",3454.89992091396,-0.839444107798756,-0.338654678588884,0.510370474383248,-1.1668802688028,0.24325872519949,0.42981955319488,0.593583209075955,1,0.478196764378404,FALSE,FALSE,FALSE,FALSE,"Rpv12+1+3",0,1.53404896084295,FALSE,5.63949785112037e-05,0.00143240034553423,TRUE
"Vitvi09g04565",3454.89992091396,0.981619105366733,0.226076353979099,0.403624459413874,1.36844765357345,0.171171996610968,0.405957254396112,0.513089349819029,1,0.632647178673423,FALSE,FALSE,FALSE,FALSE,"Rpv12+1",6,1.53404896084295,FALSE,5.63949785112037e-05,0.00143240034553423,TRUE
"Vitvi09g04565",3454.89992091396,2.07044427557625,1.52943934021016,0.820586579880859,2.88530069100967,0.00391039975859568,0.0212757527501686,0.0678937442519296,0.726083731324964,0.080326328490396,FALSE,TRUE,TRUE,FALSE,"Rpv12+1",0,1.53404896084295,FALSE,5.63949785112037e-05,0.00143240034553423,TRUE
"Vitvi09g04565",3454.89992091396,-1.10017532898141,-0.516982824769465,0.603460763094644,-1.64115916834733,0.100764379125725,0.209434847223603,0.441471059419947,1,0.36182262105686,FALSE,FALSE,FALSE,FALSE,"Rpv12+1+3",24,1.53404896084295,FALSE,5.63949785112037e-05,0.00143240034553423,TRUE
