"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","DE_primary"
"Vitvi07g01892",2937.93968923445,0.0524284719557244,0.0507948071842193,0.0851501511207586,0.606355157110271,0.5442789392354,0.698576278885319,FALSE
"Vitvi07g01893",14695.483077989,-0.920611979985819,-0.838500812496203,0.241667450449802,-3.84760433093389,0.000119278487063613,0.000866048676878653,FALSE
"Vitvi07g01894",3401.79201036238,-0.0250545435901489,-0.021749534750775,0.163794776221863,-0.144022560343951,0.885482654780824,0.93416994723476,FALSE
"Vitvi07g01896",2359.97154435921,-0.022165243230006,-0.0179106785848057,0.218154911290415,-0.0907605359612847,0.927682868320566,0.960273877506096,FALSE
"Vitvi07g02702",207.325640655146,1.77915605178881,1.70383323823837,0.278653864135256,6.48723858990263,8.74238398324766e-11,2.67835944968249e-09,TRUE
"Vitvi07g01897",1433.35864297623,0.216346735808612,0.20685781158169,0.107270947123188,1.97836447795868,0.0478876040227065,0.122820595801921,FALSE
"Vitvi07g01898",5.30481933965083,-1.77530278699276,-0.110107226848165,0.489850374274482,-0.96696398643585,0.333562037361941,0.508412921752651,FALSE
"Vitvi07g01901",270.081057587178,-0.0642502603290654,-0.0557093533197057,0.174810652903385,-0.343095726209071,0.731526446204778,0.837026059200652,FALSE
"Vitvi07g01902",4462.48177005281,0.303789608024336,0.290426589182383,0.109454602937104,2.73321539879122,0.00627193005689047,0.0244462977121452,FALSE
"Vitvi07g04746",256.6584362344,0.429083538795463,0.355284383801032,0.236133106184651,1.71608450954781,0.0861465759792853,0.192111595399037,FALSE
"Vitvi07g01903",1615.49258135765,0.703746164312004,0.666822302856345,0.159989250706693,4.3952729791247,1.10633634424519e-05,0.000109428325564092,FALSE
"Vitvi07g04747",45.5442247778428,-0.505076295807954,-0.375395875315283,0.297879970010365,-1.55719539417192,0.119424101580496,0.24449152462902,FALSE
"Vitvi07g01905",71.5409733034243,0.319486365882175,0.234823674249577,0.272501027848638,1.03176332798596,0.302183002548603,0.474376550145534,FALSE
"Vitvi07g01906",53.6319488361156,-0.256728301572246,-0.134275216514314,0.346704195431071,-0.545333397578394,0.585524238294356,0.730972517499506,FALSE
"Vitvi07g02703",7008.94081073684,-0.0296261177769107,-0.0277494236928607,0.116112282463113,-0.247764852864637,0.804316350488625,0.885505183717657,FALSE
"Vitvi07g04749",2.3789193868425,0.231667527954471,0.0215471796939113,0.463145121508014,0.15235581745256,0.878906302751429,NA,FALSE
"Vitvi07g01908",25009.5085868825,-1.46283094550723,-1.42936073671451,0.158279848974819,-9.29410575883538,1.48448783194539e-20,1.7089974865293e-18,TRUE
"Vitvi07g01909",1859.80455021306,-0.116347430753736,-0.091974827219261,0.222263295718846,-0.468566723714529,0.639379367371575,0.770927970138572,FALSE
"Vitvi07g01910",631.90950614305,-0.455581253851584,-0.420825671908613,0.159660166285777,-2.80311413520195,0.00506117547958423,0.0204961546982836,FALSE
