"gene","bio1_0_mock","bio1_120_mock","bio1_12_mock","bio1_12_inoculated","bio1_24_mock","bio1_24_inoculated","bio1_48_mock","bio1_48_inoculated","bio1_96_mock","bio1_96_inoculated","bio2_0_mock","bio2_120_mock","bio2_12_mock","bio2_12_inoculated","bio2_24_mock","bio2_24_inoculated","bio2_48_mock","bio2_48_inoculated","bio2_96_mock","bio2_96_inoculated","bio3_0_mock","bio3_12_mock","bio3_12_inoculated","bio3_24_mock","bio3_24_inoculated","bio3_48_mock","bio3_48_inoculated","bio3_96_mock","bio3_96_inoculated"
"Vitvi03g00124",5.51625586467597,4.25559634863698,5.61436926404407,5.40535902966563,5.09625152103145,5.54805999751859,5.16825611638927,5.59709977372299,5.08497600199287,4.83922596978897,5.90238919545773,5.0145768720324,4.92529682647214,5.18797919092546,5.37471709332657,5.02452135103496,5.95905874693782,5.17601433846437,4.57019218376275,5.03837084512542,4.76647985538719,4.29100198068508,4.80957015617202,5.09808383023548,4.96478566799163,5.01738660075776,4.77235291346382,4.49992512109171,4.55946978066133
"Vitvi03g00125",5.23972052993473,4.0633636617203,5.25418855694782,5.18840776927675,5.54359092558247,5.17165437262343,4.94880463100928,4.79790284275898,3.98891337354089,4.07243822151843,4.31948046263668,3.22780639969132,4.53640364391711,4.44345669700104,4.25027888996063,4.28446331472166,4.35063635952507,4.17892906249419,3.23423851543138,3.8336357597941,4.54832713736847,4.35540469162432,4.53456092187254,4.41251308669182,3.96477532176548,4.17657820206565,4.40142571733197,3.55850702019283,3.48192062438347
"Vitvi03g00126",9.73011820142288,8.66914881906818,10.6555891834322,11.1685937128588,9.29810836920427,9.25270186129479,9.67072020788658,9.20841698232239,8.54458074990851,8.2465434353609,9.82463092796602,9.06249811344902,11.2142950813595,10.7333573289321,9.24676629049128,9.31887934271515,9.49135414526307,9.38044891671623,8.97199880721066,8.78914261864984,9.65934165213844,11.359949587997,10.8325046853918,9.17756109163223,9.4667853179969,9.43389261913916,9.71265792519805,8.7323901920314,8.536662985061
"Vitvi03g00127",9.4854879089934,9.34482804208992,9.61879033069219,9.46411733713649,9.22104974933871,9.21489829356048,9.18712433260904,9.10117498119197,9.47066324908377,9.46762763202784,9.50527075138745,9.4651779092006,9.3803985635287,9.57322832685177,9.22194907816943,9.36740978478139,9.29555508334092,9.13509265194383,9.43395824342695,9.4083316640442,9.40312082122983,9.31134640870555,9.42607019172006,9.12440323002993,9.27722113951081,9.1996018549016,9.17054800972479,9.42914921780706,9.43345753180908
"Vitvi03g00128",11.0639492610383,11.3566218633344,11.2826756510816,11.1414898143774,10.8064714723792,10.9193114513925,11.1221467193891,11.1540482808961,11.5399021572247,11.6427402711329,10.9176494404469,11.1786316408647,10.8423347444045,11.0712035807179,10.7543609849079,10.8915057553264,10.9966728388238,10.9999325774588,11.4721175991142,11.5618896237569,11.0648477697764,10.8602831163149,11.0696918620154,10.8150381387857,10.972262587113,11.0716346920906,10.9941836743951,11.6029781907671,11.6019849996686
"Vitvi03g00129",10.0008684470602,9.68820930171739,9.81572995319434,9.44994412216849,9.89826452875228,10.1543823170562,9.88812982537303,9.64641980948355,9.6261320638435,9.2617223130966,10.4757304733636,8.75263319854317,9.45911215348774,9.4125186847968,9.84462808299621,9.82383920986271,9.20187919321064,9.06715149462045,8.33979503209323,8.06349014767205,10.3553036017949,9.51593958177538,9.69243986888815,10.2647286548919,10.2036785475513,9.91455280428643,9.86437857174371,9.80458612330249,9.23347686292948
"Vitvi03g00130",11.366132138836,11.0446630321224,11.2362935764033,10.8399068253068,11.0550550977242,11.156707451324,10.8380657425346,10.8476875709419,11.2422266289725,10.9520716296678,12.1059794331529,10.7563435371529,10.6066220242425,11.0806987490438,11.2404905288417,11.2051178182449,11.0713337421259,10.8720014944999,11.0374721567532,10.7601882220228,12.3252646456887,10.4416188590583,10.5956792236886,11.2198146433346,11.1619714246788,10.9617270131615,10.61146680432,11.4101677639368,11.1746605538024
"Vitvi03g04061",4.80196376640194,4.7208385551216,6.02323406069666,5.51152649490131,4.74034858582749,5.23546215694013,5.64492539762466,5.37319587887494,5.11902396245255,4.69967648486083,5.09772134823172,4.31237366494975,4.68125212609582,5.63291210800472,5.40855382392334,5.31737886345742,5.90632711923425,5.4064859181404,4.64776910001027,4.66385403181529,5.19362600923749,4.71843789015911,5.59545176536923,5.36797620772804,5.44282106663208,5.37316579283945,5.18903046532394,4.87439847088797,4.49910811323256
"Vitvi03g00131",11.9893416338406,12.2542710976429,11.8419134389772,11.8980563862075,12.111639905532,12.0441507640283,12.1431877356159,12.0523345987245,11.9892640109127,12.2028380131334,11.9887324618777,12.279340039741,11.8891673008064,11.811400453094,12.1498722653173,12.0007732564128,11.9561285543291,12.1063700352099,11.9232843398012,12.0072197902059,12.0471026697112,12.0199168305074,11.992240261847,12.0850005574922,12.0206509050214,12.0883646212375,12.2709940002788,11.9815430521107,11.9928738958655
"Vitvi03g04062",7.66369398540726,8.22263323261303,8.0109524655886,7.99973045861451,8.29243160615824,8.24133133614421,8.07834883203021,8.27872098404998,8.02713882414906,8.31475948591711,7.45219740361732,8.16635909601768,8.09039508983159,7.95854190358165,8.19054701750572,8.03385616160874,8.16242162435817,8.38045906825731,8.07893939632471,8.20252734103854,7.95480816098688,7.9944335570051,8.30285798349276,8.27002798083824,8.18287278330535,8.19946185948902,8.35953013680673,7.94307248621223,8.03647977747616
