"run_accession","ERR2987432","ERR2987433","ERR2987435","ERR2987436","ERR2987437","ERR2987438","ERR2987439","ERR2987440","ERR2987441","ERR2987442","ERR2987443","ERR2987444","ERR2987446","ERR2987447","ERR2987448","ERR2987449","ERR2987450","ERR2987451","ERR2987452","ERR2987453","ERR2987454","ERR2987457","ERR2987458","ERR2987459","ERR2987460","ERR2987461","ERR2987462","ERR2987463","ERR2987464"
"ERR2987443",0.995488174591836,0.982081871636153,0.988549683612338,0.989995596790069,0.992572273159732,0.992816278698245,0.988998683154791,0.988478007985592,0.977660052767391,0.978649653830606,1,0.98367574043627,0.990886848658135,0.991560235468378,0.993306864914797,0.993634310875497,0.990046666278101,0.990235813481582,0.978403731066795,0.97804683404065,0.996809183738001,0.988132028897696,0.990121397055163,0.993744091356081,0.992803402675216,0.990947558231912,0.989427723722804,0.976732412724949,0.977669683775647
"ERR2987444",0.982899864081722,0.997597711096873,0.983816928286045,0.984306528594376,0.986803577804074,0.990172177424328,0.987753823586078,0.990703866467224,0.99419401327212,0.994955595382984,0.98367574043627,1,0.983993092903515,0.986680097474374,0.987635829452553,0.991104798764883,0.989472638537536,0.991108365298903,0.995383066888855,0.996284350570845,0.98189945301845,0.980700214018681,0.985502700440065,0.988958361024059,0.99078763302319,0.989391371963974,0.989413671728745,0.993974090146617,0.994928091808551
"ERR2987446",0.990752072680695,0.983175393267277,0.994594656939837,0.995476794514645,0.995400595561914,0.993811068523164,0.992375328558032,0.991255456979475,0.980450001971895,0.980884005457488,0.990886848658135,0.983993092903515,1,0.996670494388402,0.994857790965214,0.994119864610222,0.99197009848438,0.992320081586321,0.980833617254582,0.980732820473525,0.98799195629877,0.997261467498358,0.997579240085286,0.994525201477791,0.994030888479629,0.992733418927756,0.99299049373214,0.979960327512279,0.980399538233767
"ERR2987447",0.990810631739046,0.985216197257808,0.996632543299288,0.99659718770266,0.99438600076779,0.995066070074188,0.993398643589236,0.993762267884266,0.985406409445196,0.983857141077879,0.991560235468378,0.986680097474374,0.996670494388402,1,0.993796142229927,0.995091885674764,0.994167638985328,0.993834012278098,0.986118467140317,0.985044215331674,0.98920452222041,0.994946125908773,0.997471965978833,0.994888899304118,0.994914930627396,0.994227626994763,0.992162848466334,0.985184690354605,0.985106634037933
"ERR2987448",0.991993520937795,0.986692472736708,0.990513965283654,0.99166037310746,0.997214638086994,0.99629108659763,0.99411430229456,0.993587905488751,0.981888266411701,0.982764256341158,0.993306864914797,0.987635829452553,0.994857790965214,0.993796142229927,1,0.997298394610388,0.994709352775556,0.995616270942899,0.982519731221108,0.98287259871862,0.990713670086652,0.992560441294832,0.99406289310879,0.997521320236866,0.997031932813066,0.995243413380642,0.995297280047711,0.981316156578884,0.981791518384111
"ERR2987449",0.991717184600883,0.989788246152038,0.991240877568852,0.992316303478878,0.996119685880617,0.99736236354743,0.994237038386094,0.9954522479569,0.986202223341836,0.986535231069455,0.993634310875497,0.991104798764883,0.994119864610222,0.995091885674764,0.997298394610388,1,0.996007088799963,0.99689255100725,0.987265417055893,0.987227689312917,0.991464643846013,0.990995927817581,0.994197278019944,0.997756572392518,0.998226866536539,0.996096791167769,0.996041600649969,0.985809686646341,0.986508484489198
"ERR2987450",0.987713997112145,0.987776483866533,0.990806661949956,0.990261644850023,0.993423343928472,0.994713274457251,0.99539459994727,0.995930413203715,0.986799040949608,0.984505505638568,0.990046666278101,0.989472638537536,0.99197009848438,0.994167638985328,0.994709352775556,0.996007088799963,1,0.997493833639989,0.988210691129973,0.986902593631149,0.98848002746984,0.989698483372369,0.992389841806227,0.995602184257754,0.995306250447469,0.997821845829966,0.994484747821002,0.986843521035129,0.986628628357336
"ERR2987451",0.98858947931097,0.988999078717816,0.989966151652972,0.990709571531398,0.99455762586025,0.996024485073971,0.995449227998656,0.996875921701251,0.986496898226444,0.986163873511366,0.990235813481582,0.991108365298903,0.992320081586321,0.993834012278098,0.995616270942899,0.99689255100725,0.997493833639989,1,0.988117320289698,0.987993567986861,0.987532058879079,0.989725828984654,0.992658402130902,0.995957201557525,0.996390116803541,0.997292691445009,0.996796697981774,0.986176919739802,0.987116044672763
"ERR2987452",0.977314557754043,0.993944928995774,0.984190448063977,0.982992932140313,0.982149124830773,0.986663235616952,0.985505261457935,0.988908601268286,0.997234424423607,0.993488901414965,0.978403731066795,0.995383066888855,0.980833617254582,0.986118467140317,0.982519731221108,0.987265417055893,0.988210691129973,0.988117320289698,1,0.997500897673969,0.977557514781397,0.977919760118376,0.983294394574225,0.985057083362098,0.986827675404085,0.987269123330976,0.984174771459233,0.997902407466767,0.997204093350079
"ERR2987453",0.977660279476217,0.9953773650628,0.983156259197143,0.982716412348984,0.982504162881951,0.986733529912502,0.985675723098059,0.988879928300289,0.996806926155621,0.996307074400095,0.97804683404065,0.996284350570845,0.980732820473525,0.985044215331674,0.98287259871862,0.987227689312917,0.986902593631149,0.987993567986861,0.997500897673969,1,0.976706623943501,0.977761229263814,0.983022118422438,0.984551351310591,0.98681100477831,0.986438978724178,0.98532400222319,0.99666735299049,0.997960772914834
"ERR2987454",0.992799968724937,0.980751364059861,0.986366358501144,0.987013579454989,0.989830981683353,0.990525562983948,0.986217476014308,0.986119648858617,0.97701531355777,0.976670135736468,0.996809183738001,0.98189945301845,0.98799195629877,0.98920452222041,0.990713670086652,0.991464643846013,0.98848002746984,0.987532058879079,0.977557514781397,0.976706623943501,1,0.985836900762232,0.987630909234901,0.992818678526419,0.991147188286097,0.989557112689037,0.986319720810456,0.976593519136404,0.976853308775593
"ERR2987457",0.989500172222012,0.980249320451215,0.994119738921223,0.994477093206997,0.993831442439548,0.991632991644556,0.991500749011562,0.989122247706972,0.977857878165369,0.978311014552832,0.988132028897696,0.980700214018681,0.997261467498358,0.994946125908773,0.992560441294832,0.990995927817581,0.989698483372369,0.989725828984654,0.977919760118376,0.977761229263814,0.985836900762232,1,0.997259325015611,0.992565224461615,0.99168398966356,0.991556999114779,0.990849591914945,0.977720760914997,0.977960272489549
"ERR2987458",0.991286144751034,0.984935867167631,0.996210332388028,0.996929387595681,0.995245102600481,0.994860751956383,0.993576207309966,0.992788912869569,0.983210659182651,0.983401043063481,0.990121397055163,0.985502700440065,0.997579240085286,0.997471965978833,0.99406289310879,0.994197278019944,0.992389841806227,0.992658402130902,0.983294394574225,0.983022118422438,0.987630909234901,0.997259325015611,1,0.994829388649058,0.994921116033525,0.993717282611629,0.993158164150346,0.982965539442615,0.983199782125225
"ERR2987459",0.992406362184764,0.988232442827266,0.991815618679722,0.992490040325952,0.996966916977507,0.997325716632462,0.993855354350537,0.994815575394513,0.984445173021953,0.983797411215761,0.993744091356081,0.988958361024059,0.994525201477791,0.994888899304118,0.997521320236866,0.997756572392518,0.995602184257754,0.995957201557525,0.985057083362098,0.984551351310591,0.992818678526419,0.992565224461615,0.994829388649058,1,0.998275843491927,0.996311130396554,0.995129563329738,0.984222826377476,0.984082203085815
"ERR2987460",0.991866359031673,0.990053484899318,0.991696435528015,0.992770821800562,0.996403412153027,0.997685334640389,0.994005015532946,0.995697813007544,0.986090869968269,0.986243988675126,0.992803402675216,0.99078763302319,0.994030888479629,0.994914930627396,0.997031932813066,0.998226866536539,0.995306250447469,0.996390116803541,0.986827675404085,0.98681100477831,0.991147188286097,0.99168398966356,0.994921116033525,0.998275843491927,1,0.995931589688935,0.996097897500034,0.985852493732733,0.986255608012692
"ERR2987461",0.98973434795345,0.988008832344385,0.991505572762709,0.991561328992184,0.994642149333257,0.995378812509324,0.996414777677208,0.995999789565513,0.98622679352287,0.985269051550256,0.990947558231912,0.989391371963974,0.992733418927756,0.994227626994763,0.995243413380642,0.996096791167769,0.997821845829966,0.997292691445009,0.987269123330976,0.986438978724178,0.989557112689037,0.991556999114779,0.993717282611629,0.996311130396554,0.995931589688935,1,0.995868824311642,0.986483567350568,0.986779609115709
"ERR2987462",0.989032364320629,0.988319573950715,0.988484018468592,0.990577534101437,0.994648735639564,0.995066883079979,0.994494013685539,0.995109852299518,0.983037575926842,0.985903113311991,0.989427723722804,0.989413671728745,0.99299049373214,0.992162848466334,0.995297280047711,0.996041600649969,0.994484747821002,0.996796697981774,0.984174771459233,0.98532400222319,0.986319720810456,0.990849591914945,0.993158164150346,0.995129563329738,0.996097897500034,0.995868824311642,1,0.982651406383174,0.985040472876997
"ERR2987463",0.976765804984002,0.993656320701158,0.984628950748929,0.982943586226134,0.981680709997866,0.985963066046136,0.985330052410496,0.988075700820892,0.997906349136133,0.993462589230932,0.976732412724949,0.993974090146617,0.979960327512279,0.985184690354605,0.981316156578884,0.985809686646341,0.986843521035129,0.986176919739802,0.997902407466767,0.99666735299049,0.976593519136404,0.977720760914997,0.982965539442615,0.984222826377476,0.985852493732733,0.986483567350568,0.982651406383174,1,0.997290305106632
"ERR2987464",0.97752626302495,0.994352746090732,0.983729145734527,0.983064906042417,0.981865867957366,0.986201512889604,0.985835000486878,0.988592197470308,0.99693591422739,0.996035268255268,0.977669683775647,0.994928091808551,0.980399538233767,0.985106634037933,0.981791518384111,0.986508484489198,0.986628628357336,0.987116044672763,0.997204093350079,0.997960772914834,0.976853308775593,0.977960272489549,0.983199782125225,0.984082203085815,0.986255608012692,0.986779609115709,0.985040472876997,0.997290305106632,1
