"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","DE_primary","contrast"
"Vitvi06g01472",131.190491857328,-1.96578886568298,-1.55879561658865,0.681327172428438,-3.20357841593754,0.00135731071254341,0.00759753394077623,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi06g01489",16034.238739798,1.75298260532588,1.68172600829421,0.270525085034067,6.57957391006848,4.71798339446943e-11,2.43609577770915e-09,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi06g01965",262.342283341995,-2.55024873080911,-2.45611619779659,0.357182496382874,-7.23981010707321,4.49313393292687e-13,3.39741849179209e-11,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi06g01512",546.37929134591,-1.12439460498676,-1.03469758259186,0.264331996472404,-4.31762747900162,1.57715321051894e-05,0.00018389952699339,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi06g01516",5556.23719208601,1.51428777133531,1.34988964554423,0.395521232510476,3.975010277823,7.03762168555247e-05,0.00065164462149412,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi06g01530",1395.84502463336,1.90740397077319,1.8022624340009,0.335431842879268,5.81519609952039,6.05628460166407e-09,1.85565225720767e-07,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi06g01531",24777.8963856114,-2.03534230613714,-1.8209445089304,0.473749113430932,-4.48425154167496,7.31703069619918e-06,9.58389234934933e-05,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi06g01542",935.422943920946,1.12852344235178,1.02455260234656,0.287024812155933,4.00805392495846,6.12211432917664e-05,0.000579872111365665,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi06g01543",175.613419480062,-1.23333520244101,-1.17295884449971,0.221835847562282,-5.63519237176328,1.74863028815211e-08,4.76250881654713e-07,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi06g01546",20176.3744457222,-2.02887593615327,-1.86722674133397,0.425394155947148,-4.93367230034304,8.06977891053274e-07,1.41847508572374e-05,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi06g01551",1893.50592199048,-1.42681278785577,-1.29724138869545,0.337802894964329,-4.34512218997852,1.39198157716337e-05,0.000164544467727643,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi06g01552",958.239930960898,1.08979389235029,1.01231125196014,0.246114440867893,4.48797090683413,7.19047452274808e-06,9.44467570547281e-05,TRUE,"0hpi_mock_only_temporal_drift"
