"mid","count"
0.0575,1985291
0.0625,1980880
0.0675,1976231
0.0725,1966203
0.0775,1956764
0.0825,1948741
0.0875,1941527
0.0925,1930539
0.0975,1922235
0.1025,1913878
0.1075,1905885
0.1125,1894241
0.1175,1883947
0.1225,1872761
0.1275,1857226
0.1325,1846694
0.1375,1837051
0.1425,1823802
0.1475,1812486
0.1525,1797199
0.1575,1783624
0.1625,1770919
0.1675,1753906
0.1725,1743670
0.1775,1727406
0.1825,1710939
0.1875,1695079
0.1925,1684157
0.1975,1665750
0.2025,1650638
0.2075,1635804
0.2125,1620200
0.2175,1602986
0.2225,1588436
0.2275,1571185
0.2325,1556300
0.2375,1538945
0.2425,1522355
0.2475,1504610
0.2525,1487988
0.2575,1468722
0.2625,1453275
0.2675,1436158
0.2725,1420420
0.2775,1401945
0.2825,1384713
0.2875,1366539
0.2925,1352878
0.2975,1333709
0.3025,1315910
0.3075,1299749
0.3125,1281998
0.3175,1265336
0.3225,1247656
0.3275,1229110
0.3325,1213915
0.3375,1195877
0.3425,1179448
0.3475,1166511
0.3525,1147898
0.3575,1130418
0.3625,1115147
0.3675,1097392
0.3725,1082038
0.3775,1065225
0.3825,1049088
0.3875,1033092
0.3925,1019449
0.3975,1004468
0.4025,986824
0.4075,972024
0.4125,957185
0.4175,941975
0.4225,927663
0.4275,912530
0.4325,898859
0.4375,881563
0.4425,867783
0.4475,853652
0.4525,839587
0.4575,823160
0.4625,812087
0.4675,798430
0.4725,784340
0.4775,770244
0.4825,758660
0.4875,745100
0.4925,731771
0.4975,718278
0.5025,704595
0.5075,692930
0.5125,681340
0.5175,667409
0.5225,654116
0.5275,643251
0.5325,629271
0.5375,617818
0.5425,607838
0.5475,597266
0.5525,584844
0.5575,571583
0.5625,561726
0.5675,549564
0.5725,539586
0.5775,529026
0.5825,515922
0.5875,507301
0.5925,495535
0.5975,486500
0.6025,475570
0.6075,465035
0.6125,455057
0.6175,445189
0.6225,435422
0.6275,426083
0.6325,416467
0.6375,405968
0.6425,396932
0.6475,388357
0.6525,376942
0.6575,369690
0.6625,360668
0.6675,351122
0.6725,341988
0.6775,333815
0.6825,324760
0.6875,316253
0.6925,308220
0.6975,299837
0.7025,290976
0.7075,283084
0.7125,274341
0.7175,266365
0.7225,257863
0.7275,250158
0.7325,242262
0.7375,234088
0.7425,227454
0.7475,219820
0.7525,211250
0.7575,204370
0.7625,196999
0.7675,189846
0.7725,182797
0.7775,175544
0.7825,168576
0.7875,160957
0.7925,153665
0.7975,147419
0.8025,141080
0.8075,134074
0.8125,128266
0.8175,122239
0.8225,116719
0.8275,109812
0.8325,103646
0.8375,98151
0.8425,92515
0.8475,86691
0.8525,81648
0.8575,76180
0.8625,70929
0.8675,66003
0.8725,60877
0.8775,55743
0.8825,51014
0.8875,46505
0.8925,42259
0.8975,38017
0.9025,34064
0.9075,29814
0.9125,26372
0.9175,22692
0.9225,19494
0.9275,16728
0.9325,13804
0.9375,11104
0.9425,8944
0.9475,6997
0.9525,5095
0.9575,3668
0.9625,2580
0.9675,1669
0.9725,983
0.9775,565
0.9825,284
0.9875,110
0.9925,48
0.9975,5
