anchor,anchor_label,partner
Vitvi01g01038,NAC29,Vitvi03g00997
Vitvi01g01038,NAC29,Vitvi03g04038
Vitvi01g01038,NAC29,Vitvi04g00202
Vitvi01g01038,NAC29,Vitvi04g00256
Vitvi01g01038,NAC29,Vitvi04g00781
Vitvi01g01038,NAC29,Vitvi04g01330
Vitvi01g01038,NAC29,Vitvi04g01466
Vitvi01g01038,NAC29,Vitvi04g01500
Vitvi01g01038,NAC29,Vitvi04g01550
Vitvi01g01038,NAC29,Vitvi04g01579
Vitvi01g01038,NAC29,Vitvi04g01696
Vitvi01g01038,NAC29,Vitvi04g01819
Vitvi01g01038,NAC29,Vitvi04g01887
Vitvi01g01038,NAC29,Vitvi04g01906
Vitvi01g01038,NAC29,Vitvi04g01909
Vitvi01g01038,NAC29,Vitvi04g02280
Vitvi01g01038,NAC29,Vitvi04g04438
Vitvi01g01038,NAC29,Vitvi05g00040
Vitvi01g01038,NAC29,Vitvi05g00108
Vitvi01g01038,NAC29,Vitvi05g00311
Vitvi01g01038,NAC29,Vitvi05g00443
Vitvi01g01038,NAC29,Vitvi05g00453
Vitvi01g01038,NAC29,Vitvi05g00503
Vitvi01g01038,NAC29,Vitvi05g00626
Vitvi01g01038,NAC29,Vitvi05g00825
Vitvi01g01038,NAC29,Vitvi05g00858
Vitvi01g01038,NAC29,Vitvi05g00966
Vitvi01g01038,NAC29,Vitvi05g01304
Vitvi01g01038,NAC29,Vitvi05g01337
Vitvi01g01038,NAC29,Vitvi05g01507
Vitvi01g01038,NAC29,Vitvi05g01560
Vitvi01g01038,NAC29,Vitvi05g01641
Vitvi01g01038,NAC29,Vitvi05g01675
Vitvi01g01038,NAC29,Vitvi05g02128
Vitvi01g01038,NAC29,Vitvi05g04045
Vitvi01g01038,NAC29,Vitvi06g00029
Vitvi01g01038,NAC29,Vitvi06g00136
Vitvi01g01038,NAC29,Vitvi06g00224
Vitvi01g01038,NAC29,Vitvi06g00290
Vitvi01g01038,NAC29,Vitvi06g00339
Vitvi01g01038,NAC29,Vitvi06g00369
Vitvi01g01038,NAC29,Vitvi06g00429
Vitvi01g01038,NAC29,Vitvi06g00542
Vitvi01g01038,NAC29,Vitvi06g00827
Vitvi01g01038,NAC29,Vitvi06g00920
Vitvi01g01038,NAC29,Vitvi06g00991
Vitvi01g01038,NAC29,Vitvi06g01050
Vitvi01g01038,NAC29,Vitvi06g01148
Vitvi01g01038,NAC29,Vitvi06g01172
Vitvi01g01038,NAC29,Vitvi06g01238
Vitvi01g01038,NAC29,Vitvi06g01480
Vitvi01g01038,NAC29,Vitvi06g01516
Vitvi01g01038,NAC29,Vitvi06g01689
Vitvi01g01038,NAC29,Vitvi06g01690
Vitvi01g01038,NAC29,Vitvi06g01762
Vitvi01g01038,NAC29,Vitvi07g00113
Vitvi01g01038,NAC29,Vitvi07g00116
Vitvi01g01038,NAC29,Vitvi07g00137
Vitvi01g01038,NAC29,Vitvi07g00217
Vitvi01g01038,NAC29,Vitvi07g00234
Vitvi01g01038,NAC29,Vitvi07g00405
Vitvi01g01038,NAC29,Vitvi07g00423
Vitvi01g01038,NAC29,Vitvi07g00434
Vitvi01g01038,NAC29,Vitvi07g01114
Vitvi01g01038,NAC29,Vitvi07g01814
Vitvi01g01038,NAC29,Vitvi07g01985
Vitvi01g01038,NAC29,Vitvi07g02140
Vitvi01g01038,NAC29,Vitvi07g03026
Vitvi01g01038,NAC29,Vitvi07g04587
Vitvi01g01038,NAC29,Vitvi07g04591
Vitvi01g01038,NAC29,Vitvi08g00145
Vitvi01g01038,NAC29,Vitvi08g00718
Vitvi01g01038,NAC29,Vitvi08g00835
Vitvi01g01038,NAC29,Vitvi08g01011
Vitvi01g01038,NAC29,Vitvi08g01069
Vitvi01g01038,NAC29,Vitvi08g01314
Vitvi01g01038,NAC29,Vitvi08g01366
Vitvi01g01038,NAC29,Vitvi08g01409
Vitvi01g01038,NAC29,Vitvi08g01591
Vitvi01g01038,NAC29,Vitvi08g01684
Vitvi01g01038,NAC29,Vitvi08g01722
Vitvi01g01038,NAC29,Vitvi08g01787
Vitvi01g01038,NAC29,Vitvi08g01803
Vitvi01g01038,NAC29,Vitvi08g01838
Vitvi01g01038,NAC29,Vitvi08g01841
Vitvi01g01038,NAC29,Vitvi08g01843
Vitvi01g01038,NAC29,Vitvi08g01857
Vitvi01g01038,NAC29,Vitvi08g02035
Vitvi01g01038,NAC29,Vitvi08g04062
Vitvi01g01038,NAC29,Vitvi09g00134
Vitvi01g01038,NAC29,Vitvi09g00139
Vitvi01g01038,NAC29,Vitvi09g00149
Vitvi01g01038,NAC29,Vitvi09g00312
Vitvi01g01038,NAC29,Vitvi09g00355
Vitvi01g01038,NAC29,Vitvi09g00551
Vitvi01g01038,NAC29,Vitvi09g01273
Vitvi01g01038,NAC29,Vitvi09g01495
Vitvi01g01038,NAC29,Vitvi09g01496
Vitvi01g01038,NAC29,Vitvi09g01654
Vitvi01g01038,NAC29,Vitvi10g00398
Vitvi01g01038,NAC29,Vitvi10g00509
Vitvi01g01038,NAC29,Vitvi10g00618
Vitvi01g01038,NAC29,Vitvi10g00694
Vitvi01g01038,NAC29,Vitvi10g00757
Vitvi01g01038,NAC29,Vitvi10g00835
Vitvi01g01038,NAC29,Vitvi10g01540
Vitvi01g01038,NAC29,Vitvi10g01790
Vitvi01g01038,NAC29,Vitvi10g01901
Vitvi01g01038,NAC29,Vitvi10g02283
Vitvi01g01038,NAC29,Vitvi10g04259
Vitvi01g01038,NAC29,Vitvi10g04381
Vitvi01g01038,NAC29,Vitvi11g00067
Vitvi01g01038,NAC29,Vitvi11g00068
Vitvi01g01038,NAC29,Vitvi11g00080
Vitvi01g01038,NAC29,Vitvi11g00164
Vitvi01g01038,NAC29,Vitvi11g00293
Vitvi01g01038,NAC29,Vitvi11g00314
Vitvi01g01038,NAC29,Vitvi11g00331
Vitvi01g01038,NAC29,Vitvi11g00339
Vitvi01g01038,NAC29,Vitvi11g00394
Vitvi01g01038,NAC29,Vitvi11g00583
Vitvi01g01038,NAC29,Vitvi11g00614
Vitvi01g01038,NAC29,Vitvi11g00723
Vitvi01g01038,NAC29,Vitvi11g00786
Vitvi01g01038,NAC29,Vitvi11g01429
Vitvi01g01038,NAC29,Vitvi11g01448
Vitvi01g01038,NAC29,Vitvi11g04093
Vitvi01g01038,NAC29,Vitvi12g00081
Vitvi01g01038,NAC29,Vitvi12g00086
Vitvi01g01038,NAC29,Vitvi12g00284
Vitvi01g01038,NAC29,Vitvi12g00463
Vitvi01g01038,NAC29,Vitvi12g00478
Vitvi01g01038,NAC29,Vitvi12g01613
Vitvi01g01038,NAC29,Vitvi12g04201
Vitvi01g01038,NAC29,Vitvi13g00097
Vitvi01g01038,NAC29,Vitvi13g00126
Vitvi01g01038,NAC29,Vitvi13g00565
Vitvi01g01038,NAC29,Vitvi13g00918
Vitvi01g01038,NAC29,Vitvi13g01126
Vitvi01g01038,NAC29,Vitvi13g01556
Vitvi01g01038,NAC29,Vitvi13g01755
Vitvi01g01038,NAC29,Vitvi13g01819
Vitvi01g01038,NAC29,Vitvi13g01823
Vitvi01g01038,NAC29,Vitvi14g00050
Vitvi01g01038,NAC29,Vitvi14g00318
Vitvi01g01038,NAC29,Vitvi14g00920
Vitvi01g01038,NAC29,Vitvi14g00973
Vitvi01g01038,NAC29,Vitvi14g01188
Vitvi01g01038,NAC29,Vitvi14g01422
Vitvi01g01038,NAC29,Vitvi14g01485
Vitvi01g01038,NAC29,Vitvi14g01530
Vitvi01g01038,NAC29,Vitvi14g01614
Vitvi01g01038,NAC29,Vitvi14g01682
Vitvi01g01038,NAC29,Vitvi14g01748
Vitvi01g01038,NAC29,Vitvi14g01807
Vitvi01g01038,NAC29,Vitvi14g01808
Vitvi01g01038,NAC29,Vitvi14g01934
Vitvi01g01038,NAC29,Vitvi14g01985
Vitvi01g01038,NAC29,Vitvi14g02655
Vitvi01g01038,NAC29,Vitvi14g04479
Vitvi01g01038,NAC29,Vitvi15g00522
Vitvi01g01038,NAC29,Vitvi15g00697
Vitvi01g01038,NAC29,Vitvi15g00842
Vitvi01g01038,NAC29,Vitvi15g01524
Vitvi01g01038,NAC29,Vitvi15g04474
Vitvi01g01038,NAC29,Vitvi15g04601
Vitvi01g01038,NAC29,Vitvi16g00935
Vitvi01g01038,NAC29,Vitvi16g00957
Vitvi01g01038,NAC29,Vitvi16g01162
Vitvi01g01038,NAC29,Vitvi16g01497
Vitvi01g01038,NAC29,Vitvi17g00019
Vitvi01g01038,NAC29,Vitvi17g00025
Vitvi01g01038,NAC29,Vitvi17g00076
Vitvi01g01038,NAC29,Vitvi17g00081
Vitvi01g01038,NAC29,Vitvi17g00116
Vitvi01g01038,NAC29,Vitvi17g00122
Vitvi01g01038,NAC29,Vitvi17g00123
Vitvi01g01038,NAC29,Vitvi17g00329
Vitvi01g01038,NAC29,Vitvi17g00556
Vitvi01g01038,NAC29,Vitvi17g00660
Vitvi01g01038,NAC29,Vitvi17g00753
Vitvi01g01038,NAC29,Vitvi17g00794
Vitvi01g01038,NAC29,Vitvi17g00936
Vitvi01g01038,NAC29,Vitvi17g00987
Vitvi01g01038,NAC29,Vitvi17g01373
Vitvi01g01038,NAC29,Vitvi17g01378
Vitvi01g01038,NAC29,Vitvi18g00291
Vitvi01g01038,NAC29,Vitvi18g00386
Vitvi01g01038,NAC29,Vitvi18g00513
Vitvi01g01038,NAC29,Vitvi18g00563
Vitvi01g01038,NAC29,Vitvi18g00622
Vitvi01g01038,NAC29,Vitvi18g00651
Vitvi01g01038,NAC29,Vitvi18g00730
Vitvi01g01038,NAC29,Vitvi18g00740
Vitvi01g01038,NAC29,Vitvi18g00783
Vitvi01g01038,NAC29,Vitvi18g00839
Vitvi01g01038,NAC29,Vitvi18g00868
Vitvi01g01038,NAC29,Vitvi18g00969
Vitvi01g01038,NAC29,Vitvi18g01067
Vitvi01g01038,NAC29,Vitvi18g01072
Vitvi01g01038,NAC29,Vitvi18g01090
Vitvi01g01038,NAC29,Vitvi18g01102
Vitvi01g01038,NAC29,Vitvi18g01251
Vitvi01g01038,NAC29,Vitvi18g01603
Vitvi01g01038,NAC29,Vitvi18g02080
Vitvi01g01038,NAC29,Vitvi18g02131
Vitvi01g01038,NAC29,Vitvi18g02472
Vitvi01g01038,NAC29,Vitvi18g02582
Vitvi01g01038,NAC29,Vitvi18g02604
Vitvi01g01038,NAC29,Vitvi18g02657
Vitvi01g01038,NAC29,Vitvi18g02734
Vitvi01g01038,NAC29,Vitvi18g02738
Vitvi01g01038,NAC29,Vitvi18g02788
Vitvi01g01038,NAC29,Vitvi18g02800
Vitvi01g01038,NAC29,Vitvi18g02837
Vitvi01g01038,NAC29,Vitvi18g04132
Vitvi01g01038,NAC29,Vitvi18g04174
Vitvi01g01038,NAC29,Vitvi19g00150
Vitvi01g01038,NAC29,Vitvi19g00164
Vitvi01g01038,NAC29,Vitvi19g00270
Vitvi01g01038,NAC29,Vitvi19g00378
Vitvi01g01038,NAC29,Vitvi19g00557
Vitvi01g01038,NAC29,Vitvi19g00565
Vitvi01g01038,NAC29,Vitvi19g00676
Vitvi01g01038,NAC29,Vitvi19g00700
Vitvi01g01038,NAC29,Vitvi19g00703
Vitvi01g01038,NAC29,Vitvi19g00727
Vitvi01g01038,NAC29,Vitvi19g00775
Vitvi01g01038,NAC29,Vitvi19g01484
Vitvi01g01038,NAC29,Vitvi19g01532
Vitvi00g04499,RDA2,Vitvi00g04728
Vitvi00g04499,RDA2,Vitvi02g01167
Vitvi00g04499,RDA2,Vitvi05g04410
Vitvi00g04499,RDA2,Vitvi08g00777
Vitvi00g04499,RDA2,Vitvi08g00786
Vitvi00g04499,RDA2,Vitvi08g01365
Vitvi00g04499,RDA2,Vitvi08g02397
Vitvi00g04499,RDA2,Vitvi10g01787
Vitvi00g04499,RDA2,Vitvi11g01319
Vitvi00g04499,RDA2,Vitvi14g02857
Vitvi00g04499,RDA2,Vitvi14g04166
Vitvi00g04499,RDA2,Vitvi14g04315
Vitvi00g04499,RDA2,Vitvi14g04425
Vitvi00g04499,RDA2,Vitvi16g01213
Vitvi00g04499,RDA2,Vitvi16g04352
