"power","gene","WGCNA_module"
10,"Vitvi02g04135","red"
10,"Vitvi03g00318","yellow"
10,"Vitvi03g00692","turquoise"
10,"Vitvi03g01258","cyan"
10,"Vitvi03g01809","salmon"
10,"Vitvi03g04266","yellow"
10,"Vitvi03g04466","cyan"
10,"Vitvi04g00017","turquoise"
10,"Vitvi04g01325","darkturquoise"
10,"Vitvi04g01375","darkturquoise"
10,"Vitvi04g01550","blue"
10,"Vitvi04g01887","blue"
10,"Vitvi04g02114","yellow"
10,"Vitvi04g04010","yellow"
10,"Vitvi04g04011","yellow"
10,"Vitvi04g04029","cyan"
10,"Vitvi05g00108","blue"
10,"Vitvi05g00675","blue"
10,"Vitvi05g00726","blue"
10,"Vitvi05g01579","salmon"
10,"Vitvi05g01674","greenyellow"
10,"Vitvi05g02234","red"
10,"Vitvi05g04062","salmon"
10,"Vitvi05g04232","darkturquoise"
10,"Vitvi05g04487","red"
10,"Vitvi05g04494","red"
10,"Vitvi06g01410","turquoise"
10,"Vitvi06g01618","yellow"
10,"Vitvi06g04121","yellow"
10,"Vitvi07g00283","orangered4"
10,"Vitvi07g00523","blue"
10,"Vitvi07g00890","red"
10,"Vitvi07g01267","turquoise"
10,"Vitvi07g01315","salmon"
10,"Vitvi07g01342","turquoise"
10,"Vitvi07g01407","darkred"
10,"Vitvi07g01719","pink"
10,"Vitvi07g01829","blue"
10,"Vitvi07g02323","red"
10,"Vitvi07g03086","pink"
10,"Vitvi08g00795","darkturquoise"
10,"Vitvi08g00957","tan"
10,"Vitvi08g01235","red"
10,"Vitvi08g01333","cyan"
10,"Vitvi08g01617","yellow"
10,"Vitvi08g01846","black"
10,"Vitvi08g01897","turquoise"
10,"Vitvi08g02218","yellow"
10,"Vitvi08g02288","lightgreen"
10,"Vitvi09g00419","salmon"
10,"Vitvi09g00867","yellow"
10,"Vitvi09g01646","blue"
10,"Vitvi09g01698","pink"
10,"Vitvi09g04280","yellow"
10,"Vitvi10g00562","turquoise"
10,"Vitvi10g00984","yellow"
10,"Vitvi10g01812","turquoise"
10,"Vitvi10g04044","yellow"
10,"Vitvi10g04085","yellow"
10,"Vitvi10g04276","turquoise"
10,"Vitvi10g04282","blue"
10,"Vitvi10g04464","darkturquoise"
10,"Vitvi10g04504","yellow"
10,"Vitvi11g00075","blue"
10,"Vitvi11g00217","yellow"
10,"Vitvi11g00285","turquoise"
10,"Vitvi11g00286","yellow"
10,"Vitvi11g01637","cyan"
10,"Vitvi12g00368","royalblue"
10,"Vitvi12g01776","red"
10,"Vitvi12g01881","greenyellow"
10,"Vitvi12g01882","greenyellow"
10,"Vitvi12g01921","salmon"
10,"Vitvi12g02011","salmon"
10,"Vitvi12g02633","salmon"
10,"Vitvi12g04108","salmon"
10,"Vitvi12g04404","salmon"
10,"Vitvi12g04463","salmon"
10,"Vitvi12g04498","salmon"
10,"Vitvi12g04515","salmon"
10,"Vitvi12g04518","cyan"
10,"Vitvi12g04543","pink"
10,"Vitvi12g04545","salmon"
10,"Vitvi12g04595","yellow"
10,"Vitvi12g04598","salmon"
10,"Vitvi12g04607","salmon"
10,"Vitvi12g04630","red"
10,"Vitvi13g00004","turquoise"
10,"Vitvi13g00551","turquoise"
10,"Vitvi13g01098","blue"
10,"Vitvi13g01468","yellow"
10,"Vitvi13g01608","yellow"
10,"Vitvi13g01616","yellow"
10,"Vitvi13g01638","yellow"
10,"Vitvi13g01984","yellow"
10,"Vitvi13g04528","yellow"
10,"Vitvi13g04529","yellow"
10,"Vitvi13g04677","yellow"
10,"Vitvi13g04698","yellow"
10,"Vitvi13g04706","yellow"
10,"Vitvi14g00438","blue"
10,"Vitvi14g01926","orangered4"
10,"Vitvi14g04416","darkturquoise"
10,"Vitvi15g01247","pink"
10,"Vitvi16g00901","yellow"
10,"Vitvi16g04295","turquoise"
10,"Vitvi16g04448","salmon"
10,"Vitvi17g00339","greenyellow"
10,"Vitvi17g00461","salmon"
10,"Vitvi17g00704","turquoise"
10,"Vitvi17g00936","blue"
10,"Vitvi17g01373","blue"
10,"Vitvi18g00174","yellow"
10,"Vitvi18g00191","greenyellow"
10,"Vitvi18g00462","yellow"
10,"Vitvi18g00473","darkred"
10,"Vitvi18g02222","yellow"
10,"Vitvi18g02825","turquoise"
10,"Vitvi18g02837","blue"
10,"Vitvi18g04551","pink"
10,"Vitvi18g04640","red"
10,"Vitvi19g00270","blue"
10,"Vitvi19g00476","yellow"
10,"Vitvi19g00709","yellow"
10,"Vitvi19g01484","blue"
10,"Vitvi19g01610","yellow"
10,"Vitvi19g01612","yellow"
10,"Vitvi19g01720","salmon"
10,"Vitvi19g01790","yellow"
10,"Vitvi19g04572","yellow"
20,"Vitvi00g04005","tan"
20,"Vitvi00g04006","tan"
20,"Vitvi00g04313","lightgreen"
20,"Vitvi00g04500","lightyellow"
20,"Vitvi00g04634","lightyellow"
20,"Vitvi00g04728","lightyellow"
20,"Vitvi01g00463","red"
20,"Vitvi01g00508","blue"
20,"Vitvi01g00612","skyblue"
20,"Vitvi01g00656","turquoise"
20,"Vitvi01g01038","blue"
20,"Vitvi01g01701","red"
20,"Vitvi01g01751","green"
20,"Vitvi01g02242","green"
20,"Vitvi01g04056","yellow"
20,"Vitvi01g04115","red"
20,"Vitvi01g04132","lightgreen"
20,"Vitvi02g00032","turquoise"
20,"Vitvi02g00086","skyblue"
20,"Vitvi02g00429","blue"
20,"Vitvi02g00446","blue"
20,"Vitvi02g01355","turquoise"
