"gene","genotype","pattern","category","group"
"Vitvi14g02039","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02043","Rpv12","UDE","CP","Group_V"
"Vitvi14g02049","Rpv12","EDE","TRS","Group_V"
"Vitvi14g02422","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02430","Rpv12","UUE","IEV","Group_II"
"Vitvi14g02444","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02463","Rpv12","UEE","IEV","Group_IV"
"Vitvi14g02469","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02474","Rpv12","DEE","IEV","Group_IV"
"Vitvi14g02476","Rpv12","EEE","EEE","Group_II"
"Vitvi14g02489","Rpv12","UEE","IEV","Group_IV"
"Vitvi14g02490","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02491","Rpv12","UEE","IEV","Group_IV"
"Vitvi14g02493","Rpv12","UEE","IEV","Group_IV"
"Vitvi14g02494","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02495","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02497","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02502","Rpv12","EEE","EEE","Group_III"
"Vitvi14g02522","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02523","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02524","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02557","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02558","Rpv12","EDE","TRS","Group_VI"
"Vitvi14g02562","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02563","Rpv12","EEU","LR","Group_V"
"Vitvi14g02566","Rpv12","EED","LR","Group_II"
"Vitvi14g02568","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02569","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02580","Rpv12","EDE","TRS","Group_VI"
"Vitvi14g02582","Rpv12","EEE","EEE","Group_VI"
"Vitvi14g02586","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02589","Rpv12","EEE","EEE","Group_V"
