"gene","genotype","pattern","category","group"
"Vitvi00g00444","Rpv12","EED","LR","Group_IV"
"Vitvi00g00447","Rpv12","EEE","EEE","Group_V"
"Vitvi00g00786","Rpv12","EEE","EEE","Group_V"
"Vitvi00g00859","Rpv12","UEE","IEV","Group_I"
"Vitvi00g01805","Rpv12","UUE","IEV","Group_I"
"Vitvi00g04001","Rpv12","DEE","IEV","Group_IV"
"Vitvi00g04005","Rpv12","UUE","IEV","Group_VI"
"Vitvi00g04006","Rpv12","UUU","SCh","Group_VI"
"Vitvi00g04011","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04017","Rpv12","DDE","IEV","Group_VI"
"Vitvi00g04018","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04019","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04022","Rpv12","DEE","IEV","Group_VI"
"Vitvi00g04024","Rpv12","EEE","EEE","Group_III"
"Vitvi00g04030","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04032","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04033","Rpv12","UEE","IEV","Group_V"
"Vitvi00g04035","Rpv12","EEE","EEE","Group_III"
"Vitvi00g04037","Rpv12","EEE","EEE","Group_III"
"Vitvi00g04039","Rpv12","DEE","IEV","Group_VI"
"Vitvi00g04040","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04044","Rpv12","UEE","IEV","Group_V"
"Vitvi00g04045","Rpv12","DEE","IEV","Group_VI"
"Vitvi00g04049","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04059","Rpv12","EEU","LR","Group_V"
"Vitvi00g04060","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04069","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04076","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04123","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04146","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04213","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04231","Rpv12","EED","LR","Group_V"
"Vitvi00g04236","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04245","Rpv12","DEE","IEV","Group_V"
"Vitvi00g04249","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04250","Rpv12","EDE","TRS","Group_I"
"Vitvi00g04251","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04252","Rpv12","EED","LR","Group_V"
"Vitvi00g04274","Rpv12","DDD","SCh","Group_I"
"Vitvi00g04275","Rpv12","DDD","SCh","Group_I"
"Vitvi00g04280","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04303","Rpv12","UEE","IEV","Group_V"
"Vitvi00g04304","Rpv12","EED","LR","Group_V"
"Vitvi00g04313","Rpv12","UUU","SCh","Group_VI"
"Vitvi00g04315","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04316","Rpv12","EEE","EEE","Group_VI"
"Vitvi00g04336","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04337","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04338","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04340","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04359","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04360","Rpv12","EEU","LR","Group_VI"
"Vitvi00g04361","Rpv12","UEU","CP","Group_V"
"Vitvi00g04369","Rpv12","UEE","IEV","Group_I"
"Vitvi00g04376","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04411","Rpv12","EED","LR","Group_I"
"Vitvi00g04412","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04449","Rpv12","UUU","SCh","Group_I"
"Vitvi00g04454","Rpv12","EED","LR","Group_V"
"Vitvi00g04463","Rpv12","UUE","IEV","Group_I"
"Vitvi00g04469","Rpv12","UEE","IEV","Group_IV"
"Vitvi00g04497","Rpv12","DEE","IEV","Group_V"
"Vitvi00g04498","Rpv12","EED","LR","Group_VI"
"Vitvi00g04499","Rpv12","DED","CP","Group_V"
"Vitvi00g04500","Rpv12","EED","LR","Group_VI"
"Vitvi00g04501","Rpv12","EED","LR","Group_VI"
"Vitvi00g04504","Rpv12","EED","LR","Group_IV"
"Vitvi00g04505","Rpv12","EEU","LR","Group_I"
"Vitvi00g04507","Rpv12","UEU","CP","Group_V"
"Vitvi00g04508","Rpv12","EED","LR","Group_I"
"Vitvi00g04509","Rpv12","EEE","EEE","Group_VI"
"Vitvi00g04522","Rpv12","EDE","TRS","Group_VI"
"Vitvi00g04527","Rpv12","EEU","LR","Group_IV"
"Vitvi00g04555","Rpv12","DED","CP","Group_III"
"Vitvi00g04557","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04563","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04564","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04567","Rpv12","EEE","EEE","Group_VI"
"Vitvi00g04570","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04581","Rpv12","UEU","CP","Group_V"
"Vitvi00g04582","Rpv12","UEE","IEV","Group_V"
"Vitvi00g04584","Rpv12","EED","LR","Group_VI"
"Vitvi00g04587","Rpv12","UUU","SCh","Group_IV"
"Vitvi00g04594","Rpv12","EEE","EEE","Group_VI"
"Vitvi00g04596","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04598","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04599","Rpv12","UEE","IEV","Group_V"
"Vitvi00g04602","Rpv12","EEE","EEE","Group_III"
"Vitvi00g04609","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04610","Rpv12","UEE","IEV","Group_I"
"Vitvi00g04617","Rpv12","EEE","EEE","Group_IV"
"Vitvi00g04625","Rpv12","DDE","IEV","Group_VI"
"Vitvi00g04629","Rpv12","EED","LR","Group_II"
"Vitvi00g04632","Rpv12","UEU","CP","Group_VI"
"Vitvi00g04634","Rpv12","EED","LR","Group_VI"
"Vitvi00g04636","Rpv12","DEE","IEV","Group_VI"
"Vitvi00g04649","Rpv12","EEU","LR","Group_IV"
"Vitvi00g04653","Rpv12","EUE","TRS","Group_VI"
"Vitvi00g04664","Rpv12","EEE","EEE","Group_VI"
"Vitvi00g04671","Rpv12","EED","LR","Group_I"
"Vitvi00g04688","Rpv12","EEE","EEE","Group_III"
"Vitvi00g04696","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04704","Rpv12","UUU","SCh","Group_I"
"Vitvi00g04705","Rpv12","UEU","CP","Group_V"
"Vitvi00g04706","Rpv12","UUU","SCh","Group_I"
"Vitvi00g04707","Rpv12","EUU","ER","Group_VI"
"Vitvi00g04708","Rpv12","UEU","CP","Group_VI"
"Vitvi00g04709","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04714","Rpv12","EDE","TRS","Group_VI"
"Vitvi00g04722","Rpv12","DED","CP","Group_V"
"Vitvi00g04728","Rpv12","EED","LR","Group_VI"
"Vitvi00g04731","Rpv12","EED","LR","Group_IV"
"Vitvi00g04735","Rpv12","EUE","TRS","Group_VI"
"Vitvi00g04737","Rpv12","DDD","SCh","Group_I"
"Vitvi00g04742","Rpv12","DEE","IEV","Group_VI"
"Vitvi00g04744","Rpv12","EEE","EEE","Group_VI"
"Vitvi00g04747","Rpv12","EEE","EEE","Group_VI"
"Vitvi00g04748","Rpv12","UEU","CP","Group_VI"
"Vitvi00g04752","Rpv12","UUE","IEV","Group_VI"
"Vitvi00g04763","Rpv12","EDE","TRS","Group_VI"
"Vitvi00g04765","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04777","Rpv12","EED","LR","Group_VI"
"Vitvi00g04778","Rpv12","EEU","LR","Group_IV"
"Vitvi00g04787","Rpv12","EEU","LR","Group_I"
"Vitvi00g04799","Rpv12","UED","CP","Group_VI"
"Vitvi00g04809","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04812","Rpv12","EEU","LR","Group_VI"
"Vitvi00g04814","Rpv12","EEU","LR","Group_VI"
"Vitvi00g04817","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04822","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04823","Rpv12","DEE","IEV","Group_I"
"Vitvi00g04831","Rpv12","EDD","ER","Group_V"
"Vitvi00g04837","Rpv12","UEE","IEV","Group_V"
"Vitvi00g04839","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04849","Rpv12","UEE","IEV","Group_V"
"Vitvi00g04860","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04867","Rpv12","DEE","IEV","Group_V"
"Vitvi00g04868","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04869","Rpv12","EDE","TRS","Group_VI"
"Vitvi00g04874","Rpv12","EEU","LR","Group_V"
"Vitvi00g04881","Rpv12","UEU","CP","Group_V"
"Vitvi01g00002","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00012","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00025","Rpv12","DEE","IEV","Group_V"
"Vitvi01g00033","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00034","Rpv12","EED","LR","Group_VI"
"Vitvi01g00036","Rpv12","EED","LR","Group_I"
"Vitvi01g00046","Rpv12","EUE","TRS","Group_VI"
"Vitvi01g00048","Rpv12","EED","LR","Group_V"
"Vitvi01g00050","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g00052","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00061","Rpv12","UED","CP","Group_V"
"Vitvi01g00064","Rpv12","EEE","EEE","Group_III"
"Vitvi01g00065","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00066","Rpv12","DEE","IEV","Group_VI"
"Vitvi01g00067","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g00075","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00083","Rpv12","DDD","SCh","Group_I"
"Vitvi01g00088","Rpv12","DDD","SCh","Group_I"
"Vitvi01g00090","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00091","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00095","Rpv12","EDD","ER","Group_VI"
"Vitvi01g00103","Rpv12","DEE","IEV","Group_V"
"Vitvi01g00104","Rpv12","UEE","IEV","Group_I"
"Vitvi01g00129","Rpv12","EEE","EEE","Group_III"
"Vitvi01g00145","Rpv12","UEE","IEV","Group_V"
"Vitvi01g00147","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00148","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g00156","Rpv12","DEE","IEV","Group_VI"
"Vitvi01g00157","Rpv12","UEE","IEV","Group_V"
"Vitvi01g00160","Rpv12","UEE","IEV","Group_II"
"Vitvi01g00162","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00181","Rpv12","DEE","IEV","Group_V"
"Vitvi01g00187","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00188","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00191","Rpv12","EED","LR","Group_V"
"Vitvi01g00193","Rpv12","EED","LR","Group_VI"
"Vitvi01g00199","Rpv12","EED","LR","Group_II"
"Vitvi01g00203","Rpv12","EED","LR","Group_V"
"Vitvi01g00211","Rpv12","EDE","TRS","Group_V"
"Vitvi01g00214","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00217","Rpv12","UED","CP","Group_VI"
"Vitvi01g00218","Rpv12","EEU","LR","Group_VI"
"Vitvi01g00222","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00226","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00228","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00230","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00232","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g00233","Rpv12","EDE","TRS","Group_V"
"Vitvi01g00234","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g00237","Rpv12","UEE","IEV","Group_V"
"Vitvi01g00241","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g00243","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00246","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00253","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00258","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00264","Rpv12","DDE","IEV","Group_VI"
"Vitvi01g00267","Rpv12","UED","CP","Group_V"
"Vitvi01g00271","Rpv12","EED","LR","Group_VI"
"Vitvi01g00277","Rpv12","EED","LR","Group_V"
"Vitvi01g00279","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00280","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00282","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g00284","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00286","Rpv12","UEU","CP","Group_VI"
"Vitvi01g00290","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00291","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00299","Rpv12","EEE","EEE","Group_III"
"Vitvi01g00300","Rpv12","DED","CP","Group_VI"
"Vitvi01g00305","Rpv12","EEE","EEE","Group_IV"
"Vitvi01g00317","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g00318","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00319","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g00320","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00325","Rpv12","UEE","IEV","Group_I"
"Vitvi01g00329","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00331","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00332","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00337","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g00340","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00341","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00346","Rpv12","EEU","LR","Group_VI"
"Vitvi01g00347","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g00355","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00358","Rpv12","DUE","CP","Group_V"
"Vitvi01g00371","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00379","Rpv12","DEE","IEV","Group_II"
"Vitvi01g00381","Rpv12","DEE","IEV","Group_VI"
"Vitvi01g00384","Rpv12","UEE","IEV","Group_V"
"Vitvi01g00388","Rpv12","DED","CP","Group_V"
"Vitvi01g00391","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00393","Rpv12","DEE","IEV","Group_V"
"Vitvi01g00394","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g00397","Rpv12","UEE","IEV","Group_V"
"Vitvi01g00402","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00403","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00407","Rpv12","DED","CP","Group_III"
"Vitvi01g00408","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g00412","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00418","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00437","Rpv12","EED","LR","Group_VI"
"Vitvi01g00441","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00442","Rpv12","EEE","EEE","Group_III"
"Vitvi01g00449","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00457","Rpv12","UEE","IEV","Group_II"
"Vitvi01g00458","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g00463","Rpv12","DDD","SCh","Group_IV"
"Vitvi01g00464","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00465","Rpv12","EED","LR","Group_V"
"Vitvi01g00466","Rpv12","UEE","IEV","Group_II"
"Vitvi01g00467","Rpv12","DEE","IEV","Group_IV"
"Vitvi01g00477","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00481","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g00483","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00491","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00497","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g00499","Rpv12","DEE","IEV","Group_VI"
"Vitvi01g00501","Rpv12","UEE","IEV","Group_II"
"Vitvi01g00503","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g00508","Rpv12","EED","LR","Group_VI"
"Vitvi01g00513","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00518","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00519","Rpv12","DEE","IEV","Group_V"
"Vitvi01g00521","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00525","Rpv12","EED","LR","Group_VI"
"Vitvi01g00528","Rpv12","UEE","IEV","Group_IV"
"Vitvi01g00536","Rpv12","EED","LR","Group_V"
"Vitvi01g00537","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00539","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00541","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00542","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00543","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00552","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00555","Rpv12","EEE","EEE","Group_III"
"Vitvi01g00556","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g00557","Rpv12","EED","LR","Group_V"
"Vitvi01g00558","Rpv12","EDD","ER","Group_VI"
"Vitvi01g00567","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g00568","Rpv12","EED","LR","Group_V"
"Vitvi01g00578","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00587","Rpv12","UEE","IEV","Group_V"
"Vitvi01g00588","Rpv12","EUE","TRS","Group_VI"
"Vitvi01g00593","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00598","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00608","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00609","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00610","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00611","Rpv12","UDE","CP","Group_V"
"Vitvi01g00612","Rpv12","UED","CP","Group_VI"
"Vitvi01g00617","Rpv12","EEU","LR","Group_V"
"Vitvi01g00619","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00621","Rpv12","DEE","IEV","Group_IV"
"Vitvi01g00632","Rpv12","UED","CP","Group_V"
"Vitvi01g00634","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00635","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00636","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00638","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00652","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00653","Rpv12","EEE","EEE","Group_III"
"Vitvi01g00655","Rpv12","EED","LR","Group_II"
"Vitvi01g00656","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00672","Rpv12","UEE","IEV","Group_V"
"Vitvi01g00674","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00676","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00682","Rpv12","EED","LR","Group_V"
"Vitvi01g00687","Rpv12","UUE","IEV","Group_VI"
"Vitvi01g00693","Rpv12","UEE","IEV","Group_II"
"Vitvi01g00695","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00697","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00698","Rpv12","EEE","EEE","Group_III"
"Vitvi01g00705","Rpv12","UEE","IEV","Group_V"
"Vitvi01g00710","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00711","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00714","Rpv12","DEE","IEV","Group_II"
"Vitvi01g00729","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00732","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00733","Rpv12","EEU","LR","Group_V"
"Vitvi01g00735","Rpv12","UEE","IEV","Group_V"
"Vitvi01g00738","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00739","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g00745","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00747","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00752","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00770","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00775","Rpv12","DEE","IEV","Group_V"
"Vitvi01g00781","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00784","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g00790","Rpv12","DEE","IEV","Group_V"
"Vitvi01g00792","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00793","Rpv12","UEE","IEV","Group_II"
"Vitvi01g00799","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00801","Rpv12","EEE","EEE","Group_III"
"Vitvi01g00803","Rpv12","DEE","IEV","Group_V"
"Vitvi01g00810","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00812","Rpv12","DDD","SCh","Group_II"
"Vitvi01g00813","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00815","Rpv12","EEU","LR","Group_V"
"Vitvi01g00817","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00822","Rpv12","DDE","IEV","Group_V"
"Vitvi01g00825","Rpv12","DEE","IEV","Group_V"
"Vitvi01g00833","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g00842","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00845","Rpv12","DDE","IEV","Group_VI"
"Vitvi01g00849","Rpv12","DEE","IEV","Group_VI"
"Vitvi01g00850","Rpv12","DDD","SCh","Group_VI"
"Vitvi01g00857","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g00859","Rpv12","UEE","IEV","Group_II"
"Vitvi01g00860","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g00864","Rpv12","UEU","CP","Group_V"
"Vitvi01g00865","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00877","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00882","Rpv12","EEE","EEE","Group_II"
"Vitvi01g00883","Rpv12","UEE","IEV","Group_II"
"Vitvi01g00889","Rpv12","DED","CP","Group_III"
"Vitvi01g00893","Rpv12","UEE","IEV","Group_V"
"Vitvi01g00900","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g00906","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00907","Rpv12","EED","LR","Group_VI"
"Vitvi01g00909","Rpv12","EEE","EEE","Group_III"
"Vitvi01g00911","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00918","Rpv12","DED","CP","Group_V"
"Vitvi01g00921","Rpv12","UEE","IEV","Group_II"
"Vitvi01g00932","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00940","Rpv12","EUE","TRS","Group_VI"
"Vitvi01g00942","Rpv12","EUE","TRS","Group_IV"
"Vitvi01g00944","Rpv12","EDD","ER","Group_VI"
"Vitvi01g00953","Rpv12","EUD","CP","Group_III"
"Vitvi01g00955","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00958","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00964","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00968","Rpv12","UEE","IEV","Group_V"
"Vitvi01g00977","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00979","Rpv12","EEE","EEE","Group_V"
"Vitvi01g00989","Rpv12","DEE","IEV","Group_V"
"Vitvi01g00994","Rpv12","UEE","IEV","Group_I"
"Vitvi01g00995","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g01006","Rpv12","EDD","ER","Group_VI"
"Vitvi01g01010","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01019","Rpv12","DED","CP","Group_III"
"Vitvi01g01021","Rpv12","DED","CP","Group_VI"
"Vitvi01g01027","Rpv12","UED","CP","Group_V"
"Vitvi01g01028","Rpv12","EEU","LR","Group_VI"
"Vitvi01g01037","Rpv12","EUE","TRS","Group_VI"
"Vitvi01g01038","Rpv12","EUD","CP","Group_III"
"Vitvi01g01048","Rpv12","DEE","IEV","Group_VI"
"Vitvi01g01071","Rpv12","EEE","EEE","Group_VI"
"Vitvi01g01072","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01121","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01132","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01133","Rpv12","UEE","IEV","Group_I"
"Vitvi01g01134","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01165","Rpv12","EEU","LR","Group_V"
"Vitvi01g01173","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01236","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g01258","Rpv12","EDE","TRS","Group_IV"
"Vitvi01g01259","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01265","Rpv12","EEE","EEE","Group_II"
"Vitvi01g01282","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g01284","Rpv12","DED","CP","Group_VI"
"Vitvi01g01301","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g01304","Rpv12","EEE","EEE","Group_IV"
"Vitvi01g01307","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g01313","Rpv12","UEU","CP","Group_VI"
"Vitvi01g01314","Rpv12","UEE","IEV","Group_V"
"Vitvi01g01315","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01320","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g01328","Rpv12","UEE","IEV","Group_V"
"Vitvi01g01339","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01342","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01355","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01356","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01357","Rpv12","UEE","IEV","Group_II"
"Vitvi01g01359","Rpv12","EED","LR","Group_VI"
"Vitvi01g01368","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01374","Rpv12","UEE","IEV","Group_V"
"Vitvi01g01376","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g01390","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01404","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g01434","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01435","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01476","Rpv12","EED","LR","Group_VI"
"Vitvi01g01505","Rpv12","UEE","IEV","Group_V"
"Vitvi01g01506","Rpv12","DEE","IEV","Group_II"
"Vitvi01g01520","Rpv12","EED","LR","Group_V"
"Vitvi01g01534","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g01536","Rpv12","EED","LR","Group_V"
"Vitvi01g01537","Rpv12","EEE","EEE","Group_IV"
"Vitvi01g01538","Rpv12","EED","LR","Group_VI"
"Vitvi01g01547","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g01557","Rpv12","EDE","TRS","Group_IV"
"Vitvi01g01558","Rpv12","DEE","IEV","Group_V"
"Vitvi01g01559","Rpv12","EED","LR","Group_VI"
"Vitvi01g01561","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g01562","Rpv12","EED","LR","Group_V"
"Vitvi01g01566","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01575","Rpv12","DEE","IEV","Group_V"
"Vitvi01g01578","Rpv12","EDE","TRS","Group_VI"
"Vitvi01g01591","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g01592","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g01595","Rpv12","UUE","IEV","Group_VI"
"Vitvi01g01611","Rpv12","EED","LR","Group_VI"
"Vitvi01g01618","Rpv12","UEE","IEV","Group_V"
"Vitvi01g01632","Rpv12","UEU","CP","Group_III"
"Vitvi01g01640","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g01641","Rpv12","UEE","IEV","Group_VI"
"Vitvi01g01644","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01651","Rpv12","EEE","EEE","Group_V"
"Vitvi01g01654","Rpv12","DEE","IEV","Group_V"
"Vitvi01g01655","Rpv12","EED","LR","Group_V"
"Vitvi01g01657","Rpv12","UDE","CP","Group_VI"
