	Cult1_0h	Cult1_6h	Cult1_24h	Cult2_0h	Cult2_6h	Cult2_24h	Cult3_0h	Cult3_6h	Cult3_24h
Vitvi01g00770	0	0	0	0	-1	0	0	0	0
Vitvi01g00775	-1	0	0	0	0	0	0	0	0
Vitvi01g00784	0	-1	0	0	0	0	0	-1	0
Vitvi01g00799	0	0	0	0	0	0	0	-1	0
Vitvi01g00810	0	0	0	0	-1	0	0	-1	0
Vitvi01g00812	0	0	-1	0	0	0	0	0	0
Vitvi01g00813	0	0	0	0	0	0	0	-1	0
Vitvi01g00816	0	-1	0	0	0	0	0	-1	0
Vitvi01g00822	0	-1	0	0	0	0	0	0	0
Vitvi01g00845	0	-1	0	0	0	0	0	-1	0
Vitvi01g00850	-1	0	0	0	0	0	0	0	0
Vitvi01g00857	0	0	0	0	0	0	-1	0	0
Vitvi01g00864	0	0	0	0	0	0	0	-1	0
Vitvi01g00889	0	0	-1	0	0	0	0	0	0
Vitvi01g00900	0	0	0	0	0	0	0	-1	0
Vitvi01g00940	0	0	0	0	1	0	0	0	0
Vitvi01g00944	0	0	0	0	0	0	0	-1	0
Vitvi01g00958	0	0	0	0	0	0	0	-1	0
Vitvi01g00964	0	0	0	0	0	0	0	-1	0
Vitvi01g00994	0	0	0	0	0	0	0	-1	0
Vitvi01g00995	0	-1	0	0	0	0	0	0	0
Vitvi01g01006	0	-1	0	0	0	0	0	-1	0
Vitvi01g01016	0	-1	0	0	-1	0	0	0	0
Vitvi01g01019	-1	0	0	0	0	0	0	0	0
Vitvi01g01021	0	0	0	0	1	0	0	1	0
Vitvi01g01028	0	0	0	0	0	0	0	-1	0
Vitvi01g01030	0	-1	0	0	0	0	0	0	0
Vitvi01g01038	0	0	0	0	1	0	1	1	1
Vitvi01g01071	0	0	0	0	0	0	0	-1	0
Vitvi01g01072	0	0	0	0	0	0	0	-1	0
Vitvi01g01121	0	0	0	0	0	0	0	-1	0
Vitvi01g01134	0	0	0	0	-1	0	0	0	0
Vitvi01g01169	0	-1	0	1	0	0	0	-1	0
Vitvi01g01236	0	0	0	0	0	0	0	0	1
Vitvi01g01258	0	0	0	0	0	0	0	-1	0
