"GeneID","Immunity_Class"
"Vitvi01g01935","Other"
"Vitvi01g00280","Other"
"Vitvi01g00281","Other"
"Vitvi01g01827","Other"
"Vitvi01g00282","Other"
"Vitvi01g00284","Other"
"Vitvi01g00286","Other"
"Vitvi01g00287","Other"
"Vitvi01g00288","Other"
"Vitvi01g00289","Other"
"Vitvi01g00290","Other"
"Vitvi01g00291","Other"
"Vitvi01g01936","Other"
"Vitvi01g00292","Other"
"Vitvi01g01938","Other"
"Vitvi01g00293","Other"
"Vitvi01g01939","Other"
"Vitvi01g00294","Other"
"Vitvi01g00295","Other"
"Vitvi01g00296","Other"
"Vitvi01g00298","Other"
"Vitvi01g01941","Other"
"Vitvi01g00299","Other"
"Vitvi01g00300","Other"
"Vitvi01g01942","Other"
"Vitvi01g01943","Other"
"Vitvi01g04072","Other"
"Vitvi01g01944","Other"
"Vitvi01g04073","Other"
"Vitvi01g01946","Other"
"Vitvi01g00302","Other"
"Vitvi01g00303","Other"
"Vitvi01g04074","Other"
"Vitvi01g04075","Other"
"Vitvi01g00305","Other"
"Vitvi01g00306","Other"
"Vitvi01g04076","Other"
"Vitvi01g00309","Other"
"Vitvi01g00310","Other"
"Vitvi01g04077","Other"
"Vitvi01g04078","Other"
"Vitvi01g00313","Other"
"Vitvi01g00314","Other"
"Vitvi01g00315","Other"
"Vitvi01g00317","Other"
"Vitvi01g00318","Other"
"Vitvi01g00319","Other"
"Vitvi01g00320","Other"
"Vitvi01g04079","Other"
"Vitvi01g04080","Other"
"Vitvi01g00325","Other"
"Vitvi01g04082","Other"
"Vitvi01g00326","Other"
"Vitvi01g01949","Other"
"Vitvi01g04083","Other"
"Vitvi01g04084","Other"
"Vitvi01g01952","Other"
"Vitvi01g00327","Other"
"Vitvi01g04087","Other"
"Vitvi01g04088","Other"
"Vitvi01g00328","Other"
"Vitvi01g00329","Other"
"Vitvi01g00330","Other"
"Vitvi01g00331","Other"
"Vitvi01g00332","Other"
"Vitvi01g01954","Other"
"Vitvi01g00333","Other"
"Vitvi01g00335","Other"
"Vitvi01g00336","Other"
"Vitvi01g00337","Other"
"Vitvi01g00338","Other"
"Vitvi01g04090","Other"
"Vitvi01g00339","Other"
"Vitvi01g01955","Other"
"Vitvi01g04091","Other"
"Vitvi01g01956","Other"
"Vitvi01g00340","Other"
"Vitvi01g01958","Other"
"Vitvi01g01959","Other"
"Vitvi01g00341","Other"
"Vitvi01g04092","Other"
"Vitvi01g00343","Other"
"Vitvi01g00344","Other"
"Vitvi01g00345","Other"
"Vitvi01g00346","Other"
"Vitvi01g01960","Other"
"Vitvi01g00347","Other"
"Vitvi01g04093","Other"
"Vitvi01g04094","Other"
"Vitvi01g04095","Other"
"Vitvi01g04096","Other"
"Vitvi01g00353","Other"
"Vitvi01g00354","Other"
"Vitvi01g00355","Other"
"Vitvi01g04097","Other"
"Vitvi01g00357","Other"
"Vitvi01g00358","Other"
"Vitvi01g00360","Other"
"Vitvi01g04098","Other"
"Vitvi01g00362","Other"
"Vitvi01g00363","Other"
"Vitvi01g00365","Other"
"Vitvi01g00366","Other"
