"method","combat","module","n_genes","pve_pc1"
"hub_anchored","protected","Vitvi12g01882",47,0.860808643976203
"hub_anchored","protected","Vitvi12g01921",53,0.876829312379499
"hub_anchored","protected","Vitvi12g02011",45,0.891127511907244
"hub_anchored","protected","Vitvi12g04108",96,0.800785757013982
"hub_anchored","protected","Vitvi12g04404",96,0.847485839249186
"hub_anchored","protected","Vitvi12g04463",63,0.876699355215912
"hub_anchored","protected","Vitvi12g04498",55,0.882006846018868
"hub_anchored","protected","Vitvi12g04515",31,0.901960437030469
"hub_anchored","protected","Vitvi12g04543",67,0.826864275706486
"hub_anchored","protected","Vitvi12g04545",53,0.843186414138491
"hub_anchored","protected","Vitvi12g04595",31,0.859916979054515
"hub_anchored","protected","Vitvi12g04598",79,0.86942186258989
"hub_anchored","protected","Vitvi12g04607",85,0.850821360482977
"hub_anchored","protected","Vitvi13g00551",84,0.844208349058703
"hub_anchored","protected","Vitvi13g01098",433,0.80843930291562
"hub_anchored","protected","Vitvi13g01468",113,0.820452233169132
"hub_anchored","protected","Vitvi13g01608",30,0.812187322438524
"hub_anchored","protected","Vitvi13g01616",50,0.840658849038427
"hub_anchored","protected","Vitvi13g01638",60,0.860775395949646
"hub_anchored","protected","Vitvi13g01984",52,0.880441859316585
"hub_anchored","protected","Vitvi13g02083",91,0.861540448689458
"hub_anchored","protected","Vitvi13g02285",68,0.831930289568755
"hub_anchored","protected","Vitvi13g04289",100,0.855739600110261
"hub_anchored","protected","Vitvi13g04528",128,0.805966749505172
"hub_anchored","protected","Vitvi13g04529",117,0.81744283532726
"hub_anchored","protected","Vitvi13g04540",58,0.818172045098747
"hub_anchored","protected","Vitvi13g04677",46,0.846229316293633
"hub_anchored","protected","Vitvi13g04698",69,0.801342950015922
"hub_anchored","protected","Vitvi13g04706",86,0.823508663274084
"hub_anchored","protected","Vitvi14g00679",683,0.837454165822205
"hub_anchored","protected","Vitvi14g01926",6,0.864298983733928
"hub_anchored","protected","Vitvi14g02663",74,0.872495350914919
"hub_anchored","protected","Vitvi14g04416",30,0.894492180562666
"hub_anchored","protected","Vitvi16g00160",36,0.828152002820563
"hub_anchored","protected","Vitvi16g00901",6,0.910985922292589
"hub_anchored","protected","Vitvi16g04295",535,0.873133332231239
"hub_anchored","protected","Vitvi16g04388",103,0.841238142648694
"hub_anchored","protected","Vitvi16g04448",27,0.834624406438482
"hub_anchored","protected","Vitvi17g00339",9,0.817093444285129
"hub_anchored","protected","Vitvi17g00461",44,0.871211963773306
"hub_anchored","protected","Vitvi17g00704",453,0.842896474371449
"hub_anchored","protected","Vitvi17g00936",652,0.806940386299837
"hub_anchored","protected","Vitvi17g01373",88,0.811284900154198
"hub_anchored","protected","Vitvi17g04171",110,0.82943238330938
"hub_anchored","protected","Vitvi18g00174",81,0.845273896511908
