"method","combat","module","size","bin_size_used","n_mapped_genes","physical_ppi_n_covered","physical_ppi_mean_score","physical_ppi_null_mean_of_means","physical_ppi_p_enrichment","detailed_coexpr_n_covered","detailed_coexpr_mean_score","detailed_coexpr_null_mean_of_means","detailed_coexpr_p_enrichment","detailed_combined_n_covered","detailed_combined_mean_score","detailed_combined_null_mean_of_means","detailed_combined_p_enrichment"
"hub_anchored","unprotected","Vitvi07g01407",51,54,37,0,NA,338.656672932331,NA,4,102.5,83.1117834073636,0.288557213930348,4,305,289.087957385556,0.318407960199005
"hub_anchored","unprotected","Vitvi07g01719",26,25,12,0,NA,329.83,NA,2,0,80.3537652316819,1,2,192,282.967302388969,0.895027624309392
"hub_anchored","unprotected","Vitvi07g01829",683,759,552,494,379.554655870445,350.836072964527,0.0497512437810945,4554,81.2867808519982,85.1665906088633,0.661691542288557,4554,294.647342995169,289.798024284509,0.298507462686567
"hub_anchored","unprotected","Vitvi07g02323",129,120,55,4,250,347.876205335917,0.92,24,102.916666666667,83.9709386086409,0.189054726368159,24,325.833333333333,286.379146520562,0.0746268656716418
"hub_anchored","unprotected","Vitvi07g03086",80,71,34,2,270,357.577000616919,0.739130434782609,28,172.857142857143,82.4974689396933,0.0248756218905473,28,281.428571428571,286.508573033137,0.532338308457711
"hub_anchored","unprotected","Vitvi08g00795",42,42,21,2,893,347.684413580247,0.018348623853211,10,251.2,78.4171053940454,0.015,10,437,281.000825939103,0.005
"hub_anchored","unprotected","Vitvi08g00957",15,15,13,0,NA,388.722222222222,NA,10,95.2,85.8698717948718,0.358778625954198,10,224.2,286.36217948718,0.603053435114504
"hub_anchored","unprotected","Vitvi08g01235",110,120,44,4,250,347.876205335917,0.92,26,85.6923076923077,83.9709386086409,0.45273631840796,26,329.153846153846,286.379146520562,0.054726368159204
"hub_anchored","unprotected","Vitvi08g01333",57,54,28,2,212,338.656672932331,0.856209150326797,28,62.5,83.1117834073636,0.646766169154229,28,238,289.087957385556,0.870646766169154
"hub_anchored","unprotected","Vitvi08g01617",32,32,17,0,NA,359.213003663004,NA,2,0,81.6212033011656,1,2,153,284.404831147356,0.995
"hub_anchored","unprotected","Vitvi08g01846",9,9,6,0,NA,386.285714285714,NA,0,NA,87.6890547263682,NA,0,NA,316.312189054726,NA
"hub_anchored","unprotected","Vitvi08g01897",44,42,35,0,NA,347.684413580247,NA,12,31.8333333333333,78.4171053940454,0.83,12,209.333333333333,281.000825939103,0.915
"hub_anchored","unprotected","Vitvi08g02218",82,92,39,0,NA,330.185634296459,NA,24,53.6666666666667,86.0477364795512,0.840796019900497,24,198.333333333333,286.903427936747,1
"hub_anchored","unprotected","Vitvi08g02288",53,54,26,0,NA,338.656672932331,NA,8,97,83.1117834073636,0.308457711442786,8,215.5,289.087957385556,0.940298507462687
"hub_anchored","unprotected","Vitvi09g00419",102,92,44,2,293,330.185634296459,0.611111111111111,12,60.5,86.0477364795512,0.776119402985075,12,251.333333333333,286.903427936747,0.855721393034826
"hub_anchored","unprotected","Vitvi09g00867",74,71,33,0,NA,357.577000616919,NA,10,43.2,82.4974689396933,0.895522388059702,10,291.6,286.508573033137,0.417910447761194
"hub_anchored","unprotected","Vitvi09g01646",9,9,4,0,NA,386.285714285714,NA,0,NA,87.6890547263682,NA,0,NA,316.312189054726,NA
"hub_anchored","unprotected","Vitvi09g01698",26,25,8,0,NA,329.83,NA,2,290,80.3537652316819,0.0220994475138122,2,306,282.967302388969,0.314917127071823
"hub_anchored","unprotected","Vitvi09g04280",56,54,24,2,151,338.656672932331,0.993464052287582,8,39.75,83.1117834073636,0.870646766169154,8,260.75,289.087957385556,0.716417910447761
"hub_anchored","unprotected","Vitvi10g00562",1459,1286,1185,840,383.67619047619,351.375367160908,0.00497512437810945,14298,64.6635893131907,84.8469624758338,1,14298,263.741782067422,290.022841792367,1
"hub_anchored","unprotected","Vitvi10g00984",68,71,23,0,NA,357.577000616919,NA,4,79.5,82.4974689396933,0.447761194029851,4,160,286.508573033137,1
"hub_anchored","unprotected","Vitvi10g01812",433,448,347,80,340.275,351.372500318086,0.661691542288557,1420,53.0098591549296,84.0404451810603,1,1420,264.664788732394,289.468937543945,1
"hub_anchored","unprotected","Vitvi10g04044",65,71,25,2,154,357.577000616919,0.989130434782609,6,166.666666666667,82.4974689396933,0.0248756218905473,6,245.333333333333,286.508573033137,0.845771144278607
"hub_anchored","unprotected","Vitvi10g04085",30,32,24,0,NA,359.213003663004,NA,0,NA,81.6212033011656,NA,0,NA,284.404831147356,NA
"hub_anchored","unprotected","Vitvi10g04276",933,988,761,332,323.777108433735,352.79111303089,0.980099502487562,6398,57.7339793685527,85.2052039570005,1,6398,257.720225070334,290.503868750273,1
"hub_anchored","unprotected","Vitvi10g04282",32,32,23,0,NA,359.213003663004,NA,4,113.5,81.6212033011656,0.27,4,222,284.404831147356,0.75
"hub_anchored","unprotected","Vitvi10g04464",43,42,22,2,893,347.684413580247,0.018348623853211,12,249.666666666667,78.4171053940454,0.015,12,430.166666666667,281.000825939103,0.005
"hub_anchored","unprotected","Vitvi10g04504",97,92,45,0,NA,330.185634296459,NA,6,94,86.0477364795512,0.373134328358209,6,194.333333333333,286.903427936747,1
"hub_anchored","unprotected","Vitvi11g00075",301,265,237,34,289.294117647059,345.666798066866,0.960199004975124,680,66.4029411764706,83.0089354248649,0.865671641791045,680,260.958823529412,288.789493550338,0.960199004975124
"hub_anchored","unprotected","Vitvi11g00217",118,120,54,2,169,347.876205335917,0.995,10,69.6,83.9709386086409,0.701492537313433,10,276.4,286.379146520562,0.626865671641791
"hub_anchored","unprotected","Vitvi11g00285",197,203,158,0,NA,350.127770229196,NA,144,24.1388888888889,84.2859398615658,1,144,205.069444444444,289.294846688071,1
