dataset,series,contrast,pct_genes_for_50pct,pct_genes_for_75pct,pct_genes_for_80pct,pct_genes_for_90pct,pct_genes_for_95pct
Froussios2019,intra_ExpB_replicate_splits,split2,4.31592576607682,12.7594459920744,16.012084592145,26.597873425668,37.4033821163731
Froussios2019,intra_ExpB_replicate_splits,split3,3.554753403696,10.4209989406364,13.2185035508298,22.6899988229293,33.1070741946875
Froussios2019,intra_ExpB_replicate_splits,split4,3.29187428885314,9.25177541491741,11.6686938439204,19.7826342841449,29.3482952093224
Froussios2019,intra_ExpB_replicate_splits,split5,3.70384902106956,10.9781457213481,13.9835994820889,23.9808529838741,34.7235845725272
Froussios2019,intra_ExpB_replicate_splits,split6,3.7823203986346,11.0566170989132,13.9325930866716,23.6591203358575,34.3194569780673
Froussios2019,intra_ExpB_replicate_splits,split7,2.75042178365441,7.6941185702515,9.76968650684663,16.6594734570565,25.1657707851061
Froussios2019,intra_ExpB_replicate_splits,split8,2.98191234747126,8.40428453721505,10.648565935575,18.2602895593832,27.6336956095264
Froussios2019,intra_ExpB_replicate_splits,split9,3.29187428885314,9.45187742770824,12.0335857495978,21.1284184093852,31.6043473143171
Froussios2019,intra_ExpB_replicate_splits,split10,4.2531486640248,12.4063247930317,15.6236512731981,26.0799623337388,36.9874838152784
OwnStudy,Susceptible,6hpi_vs_0hpi,5.93832397111086,14.6356375864573,17.8149719133326,28.5070121135695,39.6843593564905
OwnStudy,Susceptible,24hpi_vs_0hpi,4.77282280560969,13.1491459360312,16.3131950017196,26.886774427758,37.7010967174902
OwnStudy,Susceptible,24hpi_vs_6hpi,4.46711758187168,12.9351522794146,16.1221292368833,26.8638465359777,37.9341969505904
OwnStudy,Rpv12,6hpi_vs_0hpi,6.80576254346746,15.9616339944209,19.1868241048569,29.6304788108067,40.1964156062517
OwnStudy,Rpv12,24hpi_vs_0hpi,3.59203637892162,10.7073254614238,13.4357445832856,22.6069012954259,32.4697160762734
OwnStudy,Rpv12,24hpi_vs_6hpi,5.28870037066758,14.7540983606557,18.1856394971149,29.2827391188047,40.3148763804502
OwnStudy,Rpv12_1,6hpi_vs_0hpi,5.39187588367916,13.8943024188926,17.0316022775039,27.5937177576522,38.4806450380221
OwnStudy,Rpv12_1,24hpi_vs_0hpi,4.9256754174787,13.0727196300967,16.0839160839161,26.317398448546,37.2883946654438
OwnStudy,Rpv12_1,24hpi_vs_6hpi,6.07207000649624,15.4266498528794,18.8046925751844,29.8674003592036,40.7581489548703
OwnStudy,Rpv12_1_3,6hpi_vs_0hpi,5.35748404600864,14.2764339485651,17.5895143108258,28.6827926172188,40.1543811379877
OwnStudy,Rpv12_1_3,24hpi_vs_0hpi,4.73843096793916,13.1606098819214,16.3284802629065,27.1733730750124,38.5188581909893
OwnStudy,Rpv12_1_3,24hpi_vs_6hpi,4.58939967136688,12.1823531659597,14.9910199090527,24.3647063319194,34.4453360846803
