"series","from_stage","to_stage","to_contrast","d_stage","d_AggrDiv","slope_AggrDiv_per_stage","d_zscore","slope_zscore_per_stage"
"within_Syrah_background",6,7,"DEV07_vs_DEV01",1,0.45796863820974,0.45796863820974,0.00831655624585004,0.00831655624585004
"within_Syrah_background",7,8,"DEV08_vs_DEV01",1,0.53147185527952,0.53147185527952,0.00250820593173007,0.00250820593173007
"within_Syrah_background",8,9,"DEV09_vs_DEV01",1,0.352915095704819,0.352915095704819,-0.0114102967140202,-0.0114102967140202
"within_Syrah_background",9,10,"DEV10_vs_DEV01",1,1.6766059705359,1.6766059705359,0.01755642702041,0.01755642702041
"within_Syrah_background",10,11,"DEV11_vs_DEV01",1,0.37582550188392,0.37582550188392,-0.00217036446210006,-0.00217036446210006
"within_G5_bonus",0,2,"T2_vs_T1",2,3.09293773459566,1.54646886729783,2.3883438843059,1.19417194215295
"within_G5_bonus",2,3,"T3_vs_T1",1,0.12786322284884,0.12786322284884,0.40976204202908,0.40976204202908
"cross_cultivar_MV102_vs_MV32",0,1,"T1",1,-0.0135650974538899,-0.0135650974538899,0.56131265562176,0.56131265562176
"cross_cultivar_MV102_vs_MV32",1,4,"T4",3,0.92795092997154,0.30931697665718,-0.53808859159833,-0.17936286386611
"cross_cultivar_MV102_vs_MV32",4,6,"T6",2,-0.65598876949913,-0.327994384749565,-0.35983061917851,-0.179915309589255
"OwnStudy_within_Susceptible",0,1,"6hpi_vs_0hpi",1,0.348972692565458,0.348972692565458,1.94780359398466,1.94780359398466
"OwnStudy_within_Susceptible",1,2,"24hpi_vs_0hpi",1,0.308374657391509,0.308374657391509,0.28415467773345,0.28415467773345
"OwnStudy_within_Rpv12",0,1,"6hpi_vs_0hpi",1,1.82501646818632,1.82501646818632,2.72750394147003,2.72750394147003
"OwnStudy_within_Rpv12",1,2,"24hpi_vs_0hpi",1,-0.0585846723432399,-0.0585846723432399,0.1343217749041,0.1343217749041
"OwnStudy_within_Rpv12_1",0,1,"6hpi_vs_0hpi",1,1.5234498414086,1.5234498414086,2.74013280997119,2.74013280997119
"OwnStudy_within_Rpv12_1",1,2,"24hpi_vs_0hpi",1,-0.528446481800938,-0.528446481800938,-0.25874617731076,-0.25874617731076
"OwnStudy_within_Rpv12_1_3",0,1,"6hpi_vs_0hpi",1,0.32324750696988,0.32324750696988,2.02861546986981,2.02861546986981
"OwnStudy_within_Rpv12_1_3",1,2,"24hpi_vs_0hpi",1,0.215734835147555,0.215734835147555,0.42034880365086,0.42034880365086
"within_mock",0,1,"12h_vs_0h",1,0.862221807888797,0.862221807888797,2.67770498192021,2.67770498192021
"within_mock",1,2,"24h_vs_0h",1,-0.236444760432967,-0.236444760432967,-0.0319235610663098,-0.0319235610663098
"within_mock",2,3,"48h_vs_0h",1,0.323156857907491,0.323156857907491,0.0971063888056598,0.0971063888056598
"within_mock",3,4,"96h_vs_0h",1,1.47787979720844,1.47787979720844,0.11976083550116,0.11976083550116
"within_mock",4,5,"120h_vs_0h",1,-0.54950279376121,-0.54950279376121,-0.33384424142275,-0.33384424142275
"within_inoculated",0,1,"24h_vs_12h",1,0.47208057655617,0.47208057655617,2.6558887154808,2.6558887154808
"within_inoculated",1,2,"48h_vs_12h",1,0.189438296487533,0.189438296487533,0.03187276177704,0.03187276177704
"within_inoculated",2,3,"96h_vs_12h",1,1.02089154982561,1.02089154982561,0.15338996419427,0.15338996419427
"cross_condition_inoculated_vs_mock",12,24,"24hpi",12,0.01796811165809,0.00149734263817417,0.41038899861574,0.0341990832179783
"OwnStudy_cross_genotype_Rpv12",0,6,"Rpv12_6hpi",6,-0.8654419020052,-0.144240317000867,-2.38329633016848,-0.397216055028079
"OwnStudy_cross_genotype_Rpv12",6,24,"Rpv12_24hpi",18,0.32764370267595,0.0182024279264417,1.30208999693922,0.0723383331632898
"OwnStudy_cross_genotype_Rpv12_1",0,6,"Rpv12_1_6hpi",6,-0.39799083667712,-0.0663318061128533,-1.27867943650882,-0.213113239418137
"OwnStudy_cross_genotype_Rpv12_1",6,24,"Rpv12_1_24hpi",18,0.15606635537318,0.00867035307628778,0.926319198469201,0.0514621776927334
"OwnStudy_cross_genotype_Rpv12_1_3",0,6,"Rpv12_1_3_6hpi",6,0.45555731934862,0.0759262198914367,0.52147697426746,0.0869128290445766
