"gene","module_size","spearman_rho","pvalue","padj_bonferroni","padj_BH","selected_bonferroni"
"Vitvi08g02109",1849,-0.552471922567315,0.000476236747738388,1,0.000884420942592356,FALSE
"Vitvi08g02126",7,-0.412638183243226,0.0123836432952852,1,0.0153487089354463,FALSE
"Vitvi08g02129",81,-0.743071818302731,2.0980841983956e-07,0.00141515779181783,1.03750571247642e-06,TRUE
"Vitvi08g02143",6,-0.57638349405403,0.000234110207241294,1,0.000473627278896979,FALSE
"Vitvi08g02147",206,-0.680676474781128,4.92239733135686e-06,0.033201570000002,1.59011350574722e-05,TRUE
"Vitvi08g02154",11,0.450861617656902,0.00578597884359727,1,0.00783877011041214,FALSE
"Vitvi08g02162",1534,-0.787340853700365,1.22427146158592e-08,8.25771100839703e-05,1.17463883476487e-07,TRUE
"Vitvi08g02166",55,-0.90218287166956,5.74562478055104e-14,3.87542391448168e-10,4.84427989310209e-11,TRUE
"Vitvi08g02167",4,0.731763852262692,3.96103875756544e-07,0.00267172064197789,1.72993206485866e-06,TRUE
"Vitvi08g02176",1499,-0.787340853700365,1.22427146158592e-08,8.25771100839703e-05,1.17463883476487e-07,TRUE
"Vitvi08g02189",753,-0.53094704246729,0.000863545476365859,1,0.00150390246271307,FALSE
"Vitvi08g02195",297,-0.411175350750953,0.0127285678576514,1,0.015590010931516,FALSE
"Vitvi08g02201",787,-0.645026290982713,2.1682165883838e-05,0.146246208886487,5.95950321460837e-05,FALSE
"Vitvi08g02206",1462,-0.595521682767366,0.000127313692999972,0.858730859284811,0.000275587567164576,FALSE
"Vitvi08g02210",4,-0.353127065939054,0.0346365270501543,1,0.0389957227429963,FALSE
"Vitvi08g02214",40,0.816811769737353,1.23759826433005e-09,8.34760029290621e-06,1.90150348357777e-08,TRUE
"Vitvi08g02216",7,0.14028335496209,0.414476147144056,1,0.420523708256116,FALSE
"Vitvi08g02217",3,-0.544541179824902,0.000595760055322695,1,0.00108137824896436,FALSE
"Vitvi08g02218",82,0.819835009235113,9.56123689312744e-10,6.44905428441446e-06,1.74005856069634e-08,TRUE
"Vitvi08g02226",6,0.357355149260092,0.0323807708262475,1,0.0367938509472775,FALSE
"Vitvi08g02228",3,-0.477778367312887,0.00320946608121904,1,0.00463352926323254,FALSE
"Vitvi08g02235",76,-0.565032847949674,0.000330175842845806,1,0.000642537813039515,FALSE
"Vitvi08g02238",114,0.771433338085278,3.65240298083622e-08,0.000246354581057403,3.08715013856402e-07,TRUE
"Vitvi08g02246",4,-0.566821842633998,0.000313017471211837,1,0.000611440151556281,FALSE
"Vitvi08g02249",50,0.726054906433203,5.39506797819208e-07,0.00363897335129056,2.27720485061987e-06,TRUE
"Vitvi08g02251",190,-0.478898349698169,0.00312849885508842,1,0.00453410502311375,FALSE
"Vitvi08g02257",45,-0.430524779021586,0.00876561976487687,1,0.0111699336916963,FALSE
"Vitvi08g02259",4,-0.430524779021586,0.00876561976487687,1,0.0111699336916963,FALSE
"Vitvi08g02261",66,0.686110003872268,3.85660767515649e-06,0.0260128187689305,1.28331617014951e-05,TRUE
"Vitvi08g02264",5,-0.57638349405403,0.000234110207241294,1,0.000473627278896979,FALSE
