"gene","module_size","spearman_rho","pvalue","padj_bonferroni","padj_BH","selected_bonferroni"
"Vitvi04g01206",658,-0.645746403000758,2.10820008752169e-05,0.148332958158026,5.29571432195744e-05,FALSE
"Vitvi04g01220",160,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g01221",14,-0.658986837051021,1.24168566581515e-05,0.087365003446754,3.46824150245153e-05,FALSE
"Vitvi04g01222",464,-0.502247202333923,0.00180036184177854,1,0.00287567444239588,FALSE
"Vitvi04g01227",1515,-0.819760771205674,9.62256253728296e-10,6.77043500123229e-06,1.23773948834228e-08,TRUE
"Vitvi04g01233",46,0.810756052907024,2.04654995415464e-09,1.4399525477432e-05,1.90722191754066e-08,TRUE
"Vitvi04g01244",131,-0.638571442967416,2.77964224488528e-05,0.195575628350128,6.71158642244777e-05,FALSE
"Vitvi04g01247",13,0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g01248",3,0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g01254",30,0.816811769737353,1.23759826433005e-09,8.70774138782626e-06,1.26935005653447e-08,TRUE
"Vitvi04g01263",386,0.169307497368039,0.323571829826417,1,0.32923375193907,FALSE
"Vitvi04g01264",25,0.459548921427535,0.00480814938579871,1,0.00625788736190894,FALSE
"Vitvi04g01265",737,-0.401500636615636,0.0152203400780548,1,0.017965158998355,FALSE
"Vitvi04g01274",1226,-0.57399680266734,0.000251925466762095,1,0.000472049955829054,FALSE
"Vitvi04g01278",1219,-0.696016511613758,2.43837926334964e-06,0.0171564364969281,8.00206926162689e-06,TRUE
"Vitvi04g01287",74,0.624221522900733,4.73386834040072e-05,0.333074976430595,0.000107478211174765,FALSE
"Vitvi04g01293",3,-0.547634969577418,0.000546287609716421,1,0.000955901423020328,FALSE
"Vitvi04g01300",1456,-0.723551230754522,6.16320832208703e-07,0.00433643337542043,2.38265570078046e-06,TRUE
"Vitvi04g01306",327,-0.537084619459437,0.000731709404133355,1,0.00124115413873729,FALSE
"Vitvi04g01309",211,-0.645026290982713,2.1682165883838e-05,0.152555719158684,5.41169631637767e-05,FALSE
"Vitvi04g01317",1019,-0.803875153790643,3.54813370040871e-09,2.49646687160757e-05,3.09735343871906e-08,TRUE
"Vitvi04g01319",30,0.816811769737353,1.23759826433005e-09,8.70774138782626e-06,1.26935005653447e-08,TRUE
"Vitvi04g01325",44,0.816811769737353,1.23759826433005e-09,8.70774138782626e-06,1.26935005653447e-08,TRUE
"Vitvi04g01337",14,-0.28361519782547,0.0936884845412919,1,0.0993058417042075,FALSE
"Vitvi04g01338",3,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g01349",6,-0.816811769737353,1.23759826433008e-09,8.70774138782648e-06,1.26935005653447e-08,TRUE
"Vitvi04g01353",30,0.816811769737353,1.23759826433005e-09,8.70774138782626e-06,1.26935005653447e-08,TRUE
"Vitvi04g01357",16,-0.645310738915201,2.14432683486358e-05,0.150874836101001,5.36539246447374e-05,FALSE
"Vitvi04g01375",41,0.816811769737353,1.23759826433005e-09,8.70774138782626e-06,1.26935005653447e-08,TRUE
"Vitvi04g01378",20,-0.645746403000758,2.10820008752169e-05,0.148332958158026,5.29571432195744e-05,FALSE
"Vitvi04g01382",225,0.581171762700682,0.000201731083518181,1,0.0003846558004428,FALSE
"Vitvi04g01389",1544,-0.884224678378342,8.74713631353133e-13,6.15448511020064e-09,8.4308015208228e-11,TRUE
"Vitvi04g01390",3,-0.516597122400606,0.00125690591977388,1,0.00205282963127414,FALSE
"Vitvi04g01392",444,-0.430524779021586,0.00876561976487687,1,0.0108621965979086,FALSE
"Vitvi04g01402",5,0.251123601166961,0.139579734523285,1,0.14586113353718,FALSE
"Vitvi04g01407",334,-0.430524779021586,0.00876561976487687,1,0.0108621965979086,FALSE
"Vitvi04g01408",77,-0.602084182241456,0.000102390038824264,0.720416313167522,0.000210401960621356,FALSE
"Vitvi04g01412",228,0.701115533676863,1.9121456150538e-06,0.0134538565475186,6.43417338475313e-06,TRUE
"Vitvi04g01424",1095,-0.824356049428621,6.44165101155286e-10,4.53234565172859e-06,8.88695225829135e-09,TRUE
"Vitvi04g01425",1318,-0.582933306486462,0.000190869311580325,1,0.000367270530032874,FALSE
"Vitvi04g01426",954,-0.497785744864844,0.00200686623174574,1,0.00318670972840512,FALSE
"Vitvi04g01430",1415,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g01453",326,-0.503280624130037,0.00175527745304602,1,0.0028130953430716,FALSE
"Vitvi04g01454",510,-0.599325477318007,0.000112275268449246,0.789968788808894,0.000229775680281819,FALSE
"Vitvi04g01466",135,0.850316013631005,5.24901265229646e-11,3.69320530215579e-07,1.08944109208135e-09,TRUE
"Vitvi04g01468",57,-0.469223635562852,0.00389036020229628,1,0.00516366240018047,FALSE
"Vitvi04g01470",185,0.716831347329236,8.74877563158911e-07,0.0061556385343861,3.27601837913044e-06,TRUE
"Vitvi04g01471",6,-0.645746403000758,2.10820008752169e-05,0.148332958158026,5.29571432195744e-05,FALSE
"Vitvi04g01475",904,-0.824392187992147,6.42105911361328e-10,4.51785719233831e-06,8.88695225829135e-09,TRUE
"Vitvi04g01481",1485,-0.884224678378342,8.74713631353133e-13,6.15448511020064e-09,8.4308015208228e-11,TRUE
"Vitvi04g01483",9,0.39182592248032,0.0181099832764267,1,0.0210649433514528,FALSE
"Vitvi04g01486",454,-0.449874207292219,0.00590725996608227,1,0.00756387281553318,FALSE
"Vitvi04g01500",513,0.538122002500631,0.00071128356377806,1,0.00121117888546525,FALSE
"Vitvi04g01503",467,-0.624221522900733,4.73386834040076e-05,0.333074976430597,0.000107478211174765,FALSE
"Vitvi04g01511",27,-0.588346722734024,0.000160693769450826,1,0.000313631445729823,FALSE
"Vitvi04g01540",236,0.401500636615636,0.0152203400780549,1,0.017965158998355,FALSE
"Vitvi04g01550",799,0.858013524145033,2.27675679290711e-11,1.60192607948944e-07,6.70261957945372e-10,TRUE
"Vitvi04g01555",59,-0.805467161824335,3.13002579938549e-09,2.20228615244763e-05,2.78218767073941e-08,TRUE
"Vitvi04g01575",5,0.411175350750953,0.0127285678576514,1,0.0152881876829012,FALSE
"Vitvi04g01576",21,-0.823576516347011,6.90105235035939e-10,4.85558043371287e-06,9.41003960021873e-09,TRUE
"Vitvi04g01579",158,0.353127065939054,0.0346365270501542,1,0.0385117895582942,FALSE
"Vitvi04g01585",314,-0.811139465780844,1.98345837029642e-09,1.39556130934056e-05,1.87072561573802e-08,TRUE
"Vitvi04g01596",335,-0.620993213607731,5.31697610018876e-05,0.374102438409281,0.000119445222991469,FALSE
"Vitvi04g01624",265,-0.426278244475532,0.009530611444583,1,0.0117934192972364,FALSE
"Vitvi04g01625",41,0.528768587943932,0.000915158666668094,1,0.00152910386575082,FALSE
"Vitvi04g01626",53,0.701470675600752,1.87969052288907e-06,0.0132255025190475,6.39840470200656e-06,TRUE
"Vitvi04g01635",339,-0.593945973501367,0.000134056706039763,0.943222983695771,0.000267353453428507,FALSE
"Vitvi04g01636",285,-0.686348778737637,3.81502240835494e-06,0.0268424976651854,1.18824690859608e-05,TRUE
"Vitvi04g01643",972,-0.822219787351317,7.77392751568902e-10,5.46973540003879e-06,1.05593347491096e-08,TRUE
"Vitvi04g01654",140,0.237030496315255,0.163946637501507,1,0.170438614282004,FALSE
"Vitvi04g01655",86,0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g01657",1092,-0.530534807027005,0.000873110001630482,1,0.00146231896488266,FALSE
"Vitvi04g01666",260,-0.484754956984147,0.00273340432550801,1,0.00423472834636439,FALSE
"Vitvi04g01674",11,-0.0717496003334175,0.677526151858529,1,0.681594796179098,FALSE
"Vitvi04g01685",405,0.701580119190414,1.86979108701368e-06,0.0131558500882282,6.3801406829429e-06,TRUE
"Vitvi04g01689",30,-0.638571442967416,2.77964224488528e-05,0.195575628350128,6.71158642244777e-05,FALSE
"Vitvi04g01695",418,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g01696",299,0.867494336566525,7.59013278498443e-12,5.34041742751505e-08,2.88556436427387e-10,TRUE
"Vitvi04g01700",187,-0.343452351803737,0.0402822983143647,1,0.0443754894222436,FALSE
"Vitvi04g01702",115,0.333777637668421,0.0466511603903606,1,0.0510240268158833,FALSE
"Vitvi04g01714",136,0.648398350106183,1.89995765720117e-05,0.133681020760674,5.16941302245453e-05,FALSE
"Vitvi04g01715",44,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g01720",67,0.602582743783759,0.000100689603007755,0.708452046762564,0.00020739228535204,FALSE
"Vitvi04g01728",58,0.459548921427535,0.00480814938579871,1,0.00625788736190894,FALSE
"Vitvi04g01733",1664,-0.372476494209687,0.0252748166470032,1,0.0287152607667228,FALSE
"Vitvi04g01740",15,-0.866758511891856,8.29025229610732e-12,5.83302151554111e-08,2.88556436427387e-10,TRUE
"Vitvi04g01743",80,-0.256379924585888,0.131210130347675,1,0.137380130524738,FALSE
"Vitvi04g01781",1474,-0.786652582458707,1.28599367880675e-08,9.04825152408429e-05,9.65661848888398e-08,TRUE
"Vitvi04g01792",41,0.713238185116801,1.05085825073372e-06,0.00739383865216244,3.82772193350016e-06,TRUE
"Vitvi04g01808",1246,-0.701115533676863,1.91214561505384e-06,0.0134538565475188,6.43417338475313e-06,TRUE
"Vitvi04g01813",3,0.420850064886269,0.010590608809886,1,0.0129098273711639,FALSE
"Vitvi04g01826",73,-0.458486870270251,0.00491945937882392,1,0.00637915889963234,FALSE
"Vitvi04g01836",755,0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g01873",3,-0.440199493156902,0.00721598030084795,1,0.0091021221579,FALSE
"Vitvi04g01877",14,0.324102923533104,0.0538052002373616,1,0.0584218192700735,FALSE
"Vitvi04g01887",309,0.816275876347149,1.29488393267205e-09,9.11080335028055e-06,1.31279587179835e-08,TRUE
"Vitvi04g01888",22,-0.449874207292219,0.00590725996608227,1,0.00756387281553318,FALSE
"Vitvi04g01895",3,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g01903",31,0.695506609407448,2.49770503451919e-06,0.017573852622877,8.1587059530534e-06,TRUE
"Vitvi04g01906",250,0.645310738915201,2.14432683486358e-05,0.150874836101001,5.36539246447374e-05,FALSE
"Vitvi04g01909",41,-0.617046562867391,6.11763032283906e-05,0.430436469514956,0.000134890777033831,FALSE
"Vitvi04g01918",33,0.624221522900733,4.73386834040072e-05,0.333074976430595,0.000107478211174765,FALSE
"Vitvi04g01920",62,-0.713238185116801,1.05085825073373e-06,0.00739383865216252,3.82772193350016e-06,TRUE
"Vitvi04g01934",615,-0.582933306486462,0.000190869311580325,1,0.000367270530032874,FALSE
"Vitvi04g01935",6,-0.645746403000758,2.10820008752169e-05,0.148332958158026,5.29571432195744e-05,FALSE
"Vitvi04g01937",12,-0.552682403185747,0.000473378889663964,1,0.000841064698064083,FALSE
"Vitvi04g01941",101,-0.377972985626722,0.0230350028031709,1,0.0264169813181793,FALSE
"Vitvi04g01955",4,0.57399680266734,0.000251925466762095,1,0.000472049955829054,FALSE
"Vitvi04g01980",38,0.657601168216189,1.31399847653192e-05,0.0924529328087862,3.6413128321696e-05,FALSE
