"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g00082"	0.113751566352347	0.546232729308821	0.7	0.707087309185202	0.808540783898305	-0.113751566352351	"D7T9S3"
"Vitvi01g01848"	-0.285334779271414	0.400956463865674	0.7	0.594348572725774	0.808540783898305	0.285334779271413	"F6HEY9"
"Vitvi01g01849"	-0.000725539246283241	0.814182141507011	1	0.892204508945459	1	0.000725539246283269	"F6HEY8"
"Vitvi01g04015"	-0.14306990203272	0.586682877410504	0.7	0.736632963197173	0.808540783898305	0.14306990203272	"F6HEY5"
"Vitvi01g01850"	0.132162390475763	0.281568329185611	0.2	0.492636331246791	0.416936190552059	-0.132162390475763	"F6HEY9"
"Vitvi01g04016"	0.0198829192366172	0.698027256873714	1	0.817271063474994	1	-0.019882919236617	"F6HEY9"
"Vitvi01g04017"	-0.93648559297757	0.0772545285988103	0.1	0.229806831178986	0.266215666327569	0.93648559297757	"F6HEY6"
"Vitvi01g01852"	0.579845609638706	0.203071570994556	0.4	0.407217947570075	0.658298220237721	-0.579845609638707	"F6HEY5"
"Vitvi01g01853"	-1.31663281090788	0.0712672642978582	0.1	0.219488412311481	0.266215666327569	1.31663281090788	"F6HEY9"
"Vitvi01g04018"	0.270060180915503	0.150460208673114	0.4	0.341224820241506	0.658298220237721	-0.270060180915503	"F6HEY5"
"Vitvi01g00083"	1.02978130520627	0.121121357858879	0.2	0.300630046332211	0.416936190552059	-1.02978130520627	"F6HEY4"
"Vitvi01g04022"	-0.482310256422338	0.0258373501544516	0.1	0.121973315404148	0.266215666327569	0.482310256422338	"F6HEY3"
"Vitvi01g01854"	-0.386251474224542	0.0256809980009411	0.1	0.121703374988524	0.266215666327569	0.38625147422454	"F6HEY2"
"Vitvi01g01855"	-0.463589759165036	0.0697352906997125	0.1	0.216837312538115	0.266215666327569	0.463589759165034	"F6HEY1"
"Vitvi01g00085"	-0.0281285973164683	0.627591977157355	0.4	0.766806165385696	0.658298220237721	0.0281285973164671	"F6HEY0"
"Vitvi01g01856"	-0.247394940017875	0.0749168388982129	0.1	0.22566277078839	0.266215666327569	0.247394940017872	"F6HEX9"
"Vitvi01g00086"	-0.172876959532903	0.0577302721947548	0.1	0.193313306854068	0.266215666327569	0.1728769595329	"D7T9R5"
"Vitvi01g01857"	0.281138116216723	0.41794411328211	0.7	0.606946698139819	0.808540783898305	-0.281138116216723	"D7T9R4"
"Vitvi01g01858"	-0.0394107651299449	0.823070505407811	1	0.897814907633194	1	0.0394107651299436	"F6HEX8"
"Vitvi01g00087"	0.126546789984231	0.306796305488315	0.7	0.516671119011758	0.808540783898305	-0.126546789984234	"D7T9R2"
"Vitvi01g00088"	1.09161967109658	0.000921750889227381	0.1	0.0250741154056043	0.266215666327569	-1.09161967109658	"F6HFU1"
"Vitvi01g00089"	0.0962607489465837	0.387363761453396	0.4	0.584968681024521	0.658298220237721	-0.0962607489465839	"F6HFU0"
"Vitvi01g01859"	0.0718950530008641	0.832452748065154	0.7	0.904519845711551	0.808540783898305	-0.0718950530008673	"F6HFT9"
"Vitvi01g00090"	-0.0805554962573186	0.569841628070949	0.7	0.724103407059758	0.808540783898305	0.0805554962573165	"D7T9Q8"
"Vitvi01g00091"	0.253966046819534	0.0623125958000821	0.2	0.202561806327668	0.416936190552059	-0.253966046819537	"D7T9Q7"
"Vitvi01g00092"	0.210467270721613	0.0822783630395512	0.1	0.238840342191029	0.266215666327569	-0.210467270721614	"D7T9Q5"
"Vitvi01g00095"	1.14286767583345	4.78352840659862e-05	0.1	0.0107913926614034	0.266215666327569	-1.14286767583345	"D7T9Q3"
"Vitvi01g00097"	-0.115200579176498	0.616403501985957	0.7	0.758732984170767	0.808540783898305	0.115200579176497	"D7T9Q0"
"Vitvi01g00098"	-0.350975940942235	0.00756513250837176	0.1	0.0630962830077713	0.266215666327569	0.350975940942233	"D7T9P9"
"Vitvi01g04023"	-0.0360932803323876	0.582960352187969	1	0.733754483017025	1	0.0360932803323868	NA
"Vitvi01g04024"	-0.115562623096208	0.444916996471229	0.7	0.628563453465264	0.808540783898305	0.115562623096206	NA
"Vitvi01g00099"	-0.19783428127327	0.252214264541322	0.4	0.46274942780494	0.658298220237721	0.19783428127327	"A5BDR5"
"Vitvi01g04025"	-0.0376584888390768	0.732022432722539	0.7	0.839967334995884	0.808540783898305	0.0376584888390763	"F6HFT6"
"Vitvi01g00101"	0.200113722849826	0.406544768784824	0.7	0.598664681465875	0.808540783898305	-0.200113722849827	"F6HFT5"
