"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","pvalue_threshold_test","padj_threshold_test","FSOS_svalue","DE_primary_threshold_test","DE_zero_null_plus_effect_filter","DE_primary","leading_signal","genotype","timing","contrast"
"Vitvi07g02402",514.098133269058,5.55979482857269,5.46353503672418,0.499232905290746,11.1064246710706,1.16740609269283e-28,1.06519320368816e-25,4.16519423072893e-20,4.95260526734718e-17,1.55535230498841e-20,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi01g00083",104.52413287097,-7.31160503262455,-7.18160370837727,0.642109816085724,-11.0823902796403,1.5273956674006e-28,1.34388998793147e-25,5.52052991472274e-22,8.49479659054307e-19,0,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi09g01214",1440.24996613048,13.3610162453624,13.4785320951939,1.98306630880074,11.0615505052928,1.92736571587777e-28,1.63733040608154e-25,7.00657130204961e-25,1.2218993246021e-21,8.33334493433547e-12,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi12g04596",216.377006259651,4.58775810245313,4.50392817035254,0.433629983289763,10.9891960822283,4.30745592057006e-28,3.53728280197213e-25,4.20456288549798e-18,3.54797292005618e-15,1.38566969526907e-17,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi18g04660",217.321042314486,3.93731592361357,3.86812366248219,0.360660150813584,10.891446979864,1.2661241252662e-27,1.00620109516316e-24,2.23246607103625e-16,1.4243678037131e-13,6.03682533512773e-17,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi09g01376",153.805367086232,4.39800759280661,4.30996802396271,0.421836210875873,10.4432427732473,1.5734223929547e-25,1.17463133554036e-22,3.55243526657407e-16,2.21257509853122e-13,1.83343204565176e-16,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi18g04642",446.507887389829,-5.4296233141741,-5.31314815754547,0.538357551249413,-10.3108962054884,6.29118836059204e-25,4.55852107210428e-22,2.01730569629309e-17,1.50773427740946e-14,3.18985241313536e-17,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi12g04536",1033.1032665114,1.63023616961738,1.60449385537756,0.160156887442022,10.2453406664802,1.24186621674511e-24,8.74131889020931e-22,3.73548333182386e-05,0.00283236256455595,1.04712240969203e-05,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi00g04737",101.846453234561,-3.76051210513587,-3.67672728143569,0.371952612439852,-10.2147132100703,1.70382238239817e-24,1.16598245035448e-21,3.22997388492582e-14,1.45677391130646e-11,2.84674709047547e-14,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi03g01185",1473.2831193416,5.98110940742117,5.85313915133229,0.618046948337587,10.1722459810569,2.63755554812376e-24,1.75618428333992e-21,1.21108790935649e-17,9.60025715783532e-15,1.22265686974312e-16,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi11g00257",701.631280470466,-2.47423389653054,-2.43052438753602,0.244637984316095,-10.0733431602568,7.24719044905393e-24,4.69846799744454e-21,9.74236569793276e-10,2.27545128832342e-07,1.35427512582086e-10,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi14g04255",79.4687369316443,4.77775927834901,4.67512660152419,0.473691959932612,10.0602949345822,8.2750069044431e-24,5.10883305189943e-21,8.98239080154055e-16,4.99936938249998e-13,3.9151896208837e-16,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi14g00157",313.045756340676,3.5823704968041,3.51116455301682,0.361303663521102,10.060058471398,8.29490672495443e-24,5.10883305189943e-21,2.05565006394896e-13,7.90790441512367e-11,1.29765547519497e-13,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi12g02066",432.249431784711,-7.98419319856573,-7.78124996311953,0.806902575142448,-10.0338206147589,1.08245209008696e-23,6.50421699789814e-21,8.38644918185003e-19,8.43773554415442e-16,0,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi00g04728",693.374023655188,-9.19627601397163,-9.00734198381976,0.891517786102681,-10.0077105491609,1.40977184459683e-23,8.26931884844942e-21,2.34251004503168e-19,2.66424870730364e-16,0,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
