"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","pvalue_threshold_test","padj_threshold_test","FSOS_svalue","DE_primary_threshold_test","DE_zero_null_plus_effect_filter","DE_primary","leading_signal","genotype","timing","contrast"
"Vitvi11g00030",19660.553912097,-2.54621236502267,-2.35384863636225,0.517690467867939,-5.28742384969244,1.24050975673577e-07,3.51183524777017e-06,0.000661738345646445,0.0169334853079448,0.000923609132531754,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi13g00043",735.530656763883,-1.0551940899367,-1.01452591110066,0.199519144379868,-5.287079966944,1.24284317330635e-07,3.51183524777017e-06,0.391062233581635,1,0.14799642771437,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi01g00291",113.002569841229,-8.76963645061669,-9.8840432608537,3.35585147746284,-5.28644627632003,1.24715420901401e-07,3.51960045722797e-06,1.41110634412992e-06,0.000109171870513239,0.000840782927254402,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi03g01839",93.5093329274428,-3.20908767302181,-2.9775465929952,0.632200516803231,-5.28614325925139,1.24922076216003e-07,3.52131399184105e-06,0.000136901754485293,0.004882635056423,0.000145593893558102,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi15g00804",1247.50551501491,-2.9941036563746,-2.7687006857663,0.604791702651325,-5.28282806561353,1.27204763111255e-07,3.5773003835798e-06,0.000217064372884091,0.00703333323685256,0.000319861852368306,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi15g04598",95.5050848892096,-2.41707565775425,-2.25645413324846,0.460965691968809,-5.28194010273025,1.27822992289216e-07,3.5905017240355e-06,0.000978506542686562,0.0231704414733117,0.000651126474347403,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi09g04166",34.808378623546,3.02578340910583,2.81783231032513,0.577715194594664,5.27474371810771,1.32941737168732e-07,3.72561112211886e-06,0.000206621920443163,0.00676471558284229,0.000135765099726232,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi10g01678",458.586974382677,7.81455474463139,7.23357220672624,1.48067823272893,5.27263941067715,1.34475615209056e-07,3.76422519649573e-06,2.13502140874015e-06,0.000154261431900467,1.84207456658179e-06,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi09g00618",629.241335218044,-2.73251850524502,-2.52146828633706,0.560688172485844,-5.27156386627045,1.35266201563408e-07,3.78196776074562e-06,0.000415334519153016,0.0117075909748693,0.000676195045693354,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi06g01762",1262.84087859912,4.8107804849975,4.47857316129226,0.903657880470673,5.26846872358845,1.37566475051146e-07,3.83738899018393e-06,1.50090367560116e-05,0.000796175570027756,8.42523358378039e-06,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi14g01841",182.614029299751,-2.01913141157058,-1.87236157177207,0.412479669247865,-5.26572576050494,1.39636601441774e-07,3.89063690091057e-06,0.00393251751773172,0.0685673422787011,0.00385024479208632,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi07g02789",1491.61052124425,-2.89847314032093,-2.66487378455302,0.602891736751081,-5.26331025073449,1.4148452227703e-07,3.93304151845906e-06,0.000282984407153019,0.00855599147321649,0.000593681084059441,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi12g00381",1704.05883208306,-3.31414236894589,-3.04715313481839,0.684784007837439,-5.26251170149473,1.42100616908658e-07,3.94562230769737e-06,0.000119103603659124,0.00439111585103373,0.000258501738105784,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi18g02631",20.3405704969822,4.14041066196312,3.82499640610436,0.784463413429272,5.2621037063709,1.42416393011758e-07,3.94984499652954e-06,3.28712917116562e-05,0.00152493682435034,2.3508054866087e-05,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi19g00555",39.8339705711993,-7.52973585031855,-9.35767793945112,3.27607809310656,-5.26005234890871,1.44014395856169e-07,3.9850862529755e-06,2.54096687292215e-06,0.000178963784461497,0.00116956950595156,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi18g00697",150.914541564578,-4.81526071375166,-4.40521578241423,1.00816776189083,-5.2579371205811,1.45680310199394e-07,4.02187666453224e-06,1.54992928310403e-05,0.000816337633529711,5.8064261578928e-05,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi13g04540",20.4908133668983,-6.22256334290534,-5.74857936701713,1.15208767099957,-5.25619950259231,1.47062755852949e-07,4.05540255540091e-06,5.13338781839046e-06,0.000325123182129999,2.1761090268223e-06,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi10g00835",1762.64304695792,1.09658563395972,1.05088350666003,0.206495405493649,5.25528205844744,1.47797782140204e-07,4.07101904710157e-06,0.321726110103525,1,0.120007294649001,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi15g01543",143.999889747756,-2.16330740568732,-2.02101303732885,0.420611764536676,-5.25446100692075,1.48458593497155e-07,4.08455804161101e-06,0.00235990739040936,0.0460694964475566,0.00162544661038143,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi05g00028",474.987575275098,1.99982550106549,1.88170116135247,0.382131336885698,5.25093624148315,1.51328058044835e-07,4.158763909526e-06,0.0043294078551581,0.0733548727156976,0.00226792340771095,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi10g04023",52.7909481688745,5.05066807204723,4.64275298990152,0.964241283675599,5.24779131191932,1.53933524218811e-07,4.22555404536485e-06,1.28388360769958e-05,0.000695732099827547,1.13011591356037e-05,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi19g02165",130.359607803928,1.62309121986702,1.5339263098047,0.313309622513002,5.24334871752249,1.57688106931677e-07,4.32370037744823e-06,0.022063734709507,0.251482568239277,0.00998611548785882,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi06g00947",1807.32714174433,-2.79852435221075,-2.56370160158954,0.590635328458276,-5.24173861682405,1.59070597645761e-07,4.35665658410281e-06,0.000377615186803999,0.0108239269001813,0.000832410291312503,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi04g01265",589.001616505553,-1.2682838015287,-1.20432175457831,0.24903832201679,-5.23989600608163,1.60667113000869e-07,4.39539316280948e-06,0.133842262737074,0.857013651471398,0.0522976857041247,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi14g02690",3613.44697606908,-1.18189553735012,-1.12836684874382,0.225525719446428,-5.23733166760438,1.62914772666994e-07,4.45183527710294e-06,0.210111800476759,1,0.0767639845534695,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi05g00726",95.0899063078398,7.34161691289936,6.61742982761986,1.40758246082618,5.23549357753186,1.64544546701586e-07,4.48620945464696e-06,3.05893077342283e-06,0.000208438361428032,4.89745723965937e-06,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi11g01075",935.299739815113,-9.10863998054488,-9.1801052272663,2.32728344112356,-5.22877895545329,1.70633226921748e-07,4.64696290338021e-06,1.62526525177804e-06,0.000122571084158493,3.27868100533235e-05,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
