"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","pvalue_threshold_test","padj_threshold_test","FSOS_svalue","DE_primary_threshold_test","DE_zero_null_plus_effect_filter","DE_primary","leading_signal","genotype","timing","contrast"
"Vitvi17g01186",197.868203372637,2.62004462284187,2.25608690239249,0.738108791033104,3.78262670516387,0.000155182054915016,0.00134325668072655,0.00967037454436039,0.143633339569999,0.0107728039522482,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi12g00675",17.3026489859773,3.8820342804513,3.285841426126,1.08862992354409,3.78112759219617,0.000156119629812624,0.00134921581223094,0.00250031588279321,0.0544907414694381,0.00397460269702953,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi15g00528",46.6708365752451,2.76344329513142,2.37242151432616,0.790928769416741,3.780970032151,0.000156218480005897,0.00134958671824643,0.00791624490753006,0.124763967253739,0.00983658672924746,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi04g01696",84.755269777647,-2.87743929466036,-2.50779043598197,0.771815792813079,-3.7805076366702,0.000156508918410575,0.00135161191565096,0.00681910342935692,0.112704137929404,0.00582270662152144,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi05g00274",1110.87126657937,-1.33238168234685,-1.21218862303624,0.344145069453727,-3.77664095261142,0.00015895761935016,0.00137177696613019,0.173061214776359,0.988244260959123,0.0763819689388943,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi10g00694",42.7832829659596,-6.69278339233514,-6.64067546040755,3.00462047306212,-3.77633952185953,0.000159150017136321,0.00137245559809946,0.000665950125970914,0.0203118747696551,0.00704011321683956,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi02g00022",2074.59107696055,3.92331956759448,3.17216178677961,1.31158332946765,3.77609633448103,0.000159305398932536,0.00137281427530113,0.00245041961734545,0.0535397901231075,0.0116755199569823,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi09g00993",4877.84955783495,1.19671000525516,1.08825209856099,0.326793673900439,3.77550473160747,0.00015968399311589,0.00137511061417883,0.267431055134551,1,0.121805439616465,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi08g01523",3082.54263431656,3.17677902124267,2.63421858931992,1.00096321458213,3.77462098513752,0.000160251120979903,0.00137853389977457,0.00484914419217011,0.0885305321518544,0.012523416251473,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi10g01569",81.5299839945879,-1.41249931975067,-1.28378617606816,0.367835356920976,-3.77461529276025,0.000160254780093153,0.00137853389977457,0.1351612902404,0.845821482302145,0.0623266358576013,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi12g04424",21.9513951428483,2.45285786458845,2.10271600228365,0.69538162601757,3.77312134392954,0.000161217827107127,0.00138583004997074,0.0127131230331312,0.172724745192187,0.0144670679636197,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi03g04372",5.14958761090981,5.46449880732243,4.78746999587257,1.60712759671231,3.77294174234614,0.000161333970015717,0.00138633453080813,0.00103039727847719,0.0280666006364326,0.00196308951009882,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi05g00761",1141.89389901275,-2.5253640847678,-2.18711019798777,0.699428800977923,-3.77231406150013,0.000161740490911041,0.00138898173877316,0.0113471721207215,0.16035645922619,0.0108619254539356,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi02g00575",226.012059456986,-2.76023758441575,-2.36763736579528,0.78431467758084,-3.77210938806605,0.000161873257020627,0.00138898997818304,0.00807485626404794,0.126297645139691,0.00964445164408802,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi19g01571",163.973723358557,-3.71772459962982,-2.97706702111262,1.22784093729323,-3.77131534149825,0.000162389304771489,0.00139242769539135,0.00291845786277599,0.0612112531791226,0.0134621811468049,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi10g00372",22445.9075682802,2.46735046099049,2.13869918018513,0.704149842654038,3.77042480123181,0.000162969904819973,0.00139641364822483,0.0124711235077551,0.170061767338967,0.0130898075211596,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi08g00960",937.632732393623,1.42644148170346,1.27449914037803,0.397239885439219,3.76991645060109,0.000163302206164605,0.00139826789657408,0.129863948148056,0.824948027227782,0.0697432289547259,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi04g00735",2777.87168674769,3.33303536358888,2.75108831228292,1.06306121566292,3.76917493878562,0.000163788064918971,0.00140143341079073,0.00416635824555596,0.0785818054093794,0.012011928454126,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi02g01577",4.15516321082023,4.76447710466586,4.26603097868261,1.43054679860553,3.76845324743235,0.000164262242520183,0.00140499243168008,0.0014555879465566,0.0367131626520387,0.00248417778689676,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi01g00610",265.269344178343,2.97141683123934,2.45265750687037,0.945440481355895,3.76776072402989,0.00016471846979443,0.00140839544920971,0.0062141233415859,0.105213516722785,0.0162548919258367,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi12g04522",4.59278586959796,6.80667286094629,6.23381483420354,2.73963563677962,3.76641193859464,0.00016561045986541,0.00141351778779359,0.000664429701343983,0.020289626510922,0.00642276014253153,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi17g01492",191.139646090204,-1.73011477966147,-1.5479663666207,0.45672870092993,-3.76543622647653,0.000166258556578288,0.00141854763496376,0.0560270493145761,0.476983020898836,0.0315672205831861,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi10g01155",8.81297900392416,-8.23078846269998,-8.18994192993702,3.49689193932169,-3.76460744720097,0.000166810929528902,0.00142259070412639,0.000483231510041457,0.0157301668325805,0.00456844837657118,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi12g00858",10.7471580761381,4.02264590493205,3.41918680042845,1.19992065048169,3.76446013665359,0.000166909291034929,0.00142259070412639,0.00233858812319693,0.0514910935177033,0.00497627693690537,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi10g01456",26.0157885303174,-2.28832327305208,-2.0049356847984,0.612106549408535,-3.76373183353615,0.000167396392406462,0.00142573510496842,0.0170462569066659,0.212362086407424,0.0121570012959151,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
